loop_id	sample	group	center_value	background_mean	enrichment
1	ctrl_M1	ctrl	49.0690078735352	49.0690078735352	1
1	ctrl_M2	ctrl	27.6180229187012	27.6180229187012	1
1	ctrl_M3	ctrl	38.2398223876953	38.2398223876953	1
1	mut_M1	mut	40.8914833068848	40.8914833068848	1
1	mut_M2	mut	51.853889465332	51.853889465332	1
1	mut_M3	mut	37.2658157348633	37.2658157348633	1
2	ctrl_M1	ctrl	13.7764272689819	13.7764272689819	1
2	ctrl_M2	ctrl	26.8505783081055	26.8505783081055	1
2	ctrl_M3	ctrl	12.0752229690552	12.0752229690552	1
2	mut_M1	mut	18.9689464569092	18.9689464569092	1
2	mut_M2	mut	19.7947578430176	19.7947578430176	1
2	mut_M3	mut	24.1137828826904	24.1137828826904	1
3	ctrl_M1	ctrl	60.4701309204102	60.4701309204102	1
3	ctrl_M2	ctrl	38.0000762939453	38.0000762939453	1
3	ctrl_M3	ctrl	49.8543930053711	49.8543930053711	1
3	mut_M1	mut	46.9434013366699	46.9434013366699	1
3	mut_M2	mut	49.2522087097168	49.2522087097168	1
3	mut_M3	mut	52.9572563171387	52.9572563171387	1
4	ctrl_M1	ctrl	58.7727127075195	58.7727127075195	1
4	ctrl_M2	ctrl	50.4750671386719	50.4750671386719	1
4	ctrl_M3	ctrl	46.1312866210938	46.1312866210938	1
4	mut_M1	mut	49.0915031433105	49.0915031433105	1
4	mut_M2	mut	66.2062835693359	66.2062835693359	1
4	mut_M3	mut	51.3799781799316	51.3799781799316	1
5	ctrl_M1	ctrl	60.706714630127	60.706714630127	1
5	ctrl_M2	ctrl	59.8931465148926	59.8931465148926	1
5	ctrl_M3	ctrl	65.1664657592773	65.1664657592773	1
5	mut_M1	mut	67.7849884033203	67.7849884033203	1
5	mut_M2	mut	79.0232772827148	79.0232772827148	1
5	mut_M3	mut	72.1558151245117	72.1558151245117	1
6	ctrl_M1	ctrl	44.9227256774902	44.9227256774902	1
6	ctrl_M2	ctrl	32.4866638183594	32.4866638183594	1
6	ctrl_M3	ctrl	38.2606620788574	38.2606620788574	1
6	mut_M1	mut	33.8223304748535	33.8223304748535	1
6	mut_M2	mut	43.2931938171387	43.2931938171387	1
6	mut_M3	mut	34.8182220458984	34.8182220458984	1
7	ctrl_M1	ctrl	25.9346199035645	25.9346199035645	1
7	ctrl_M2	ctrl	18.1588859558105	18.1588859558105	1
7	ctrl_M3	ctrl	17.1968193054199	17.1968193054199	1
7	mut_M1	mut	20.1063594818115	20.1063594818115	1
7	mut_M2	mut	24.2708187103271	24.2708187103271	1
7	mut_M3	mut	19.5737533569336	19.5737533569336	1
8	ctrl_M1	ctrl	18.0742282867432	18.0742282867432	1
8	ctrl_M2	ctrl	17.3766822814941	17.3766822814941	1
8	ctrl_M3	ctrl	19.4948921203613	19.4948921203613	1
8	mut_M1	mut	14.7142562866211	14.7142562866211	1
8	mut_M2	mut	20.4535503387451	20.4535503387451	1
8	mut_M3	mut	23.6845760345459	23.6845760345459	1
9	ctrl_M1	ctrl	56.8364944458008	56.8364944458008	1
9	ctrl_M2	ctrl	35.5262145996094	35.5262145996094	1
9	ctrl_M3	ctrl	40.9628944396973	40.9628944396973	1
9	mut_M1	mut	42.3448448181152	42.3448448181152	1
9	mut_M2	mut	52.1286926269531	52.1286926269531	1
9	mut_M3	mut	43.265682220459	43.265682220459	1
10	ctrl_M1	ctrl	35.531307220459	35.531307220459	1
10	ctrl_M2	ctrl	33.7178955078125	33.7178955078125	1
10	ctrl_M3	ctrl	25.0087604522705	25.0087604522705	1
10	mut_M1	mut	32.668270111084	32.668270111084	1
10	mut_M2	mut	36.4912605285645	36.4912605285645	1
10	mut_M3	mut	42.0561332702637	42.0561332702637	1
11	ctrl_M1	ctrl	39.8140449523926	39.8140449523926	1
11	ctrl_M2	ctrl	38.3368186950684	38.3368186950684	1
11	ctrl_M3	ctrl	30.1760768890381	30.1760768890381	1
11	mut_M1	mut	34.217960357666	34.217960357666	1
11	mut_M2	mut	47.5858383178711	47.5858383178711	1
11	mut_M3	mut	33.7615203857422	33.7615203857422	1
12	ctrl_M1	ctrl	13.4437580108643	13.4437580108643	1
12	ctrl_M2	ctrl	7.65780401229858	7.65780401229858	1
12	ctrl_M3	ctrl	9.31337738037109	9.31337738037109	1
12	mut_M1	mut	8.7855863571167	8.7855863571167	1
12	mut_M2	mut	18.6705799102783	18.6705799102783	1
12	mut_M3	mut	11.1908473968506	11.1908473968506	1
13	ctrl_M1	ctrl	10.6452207565308	10.6452207565308	1
13	ctrl_M2	ctrl	3.66903614997864	3.66903614997864	1
13	ctrl_M3	ctrl	5.85073184967041	5.85073184967041	1
13	mut_M1	mut	9.25308704376221	9.25308704376221	1
13	mut_M2	mut	6.40320634841919	6.40320634841919	1
13	mut_M3	mut	9.77782821655273	9.77782821655273	1
14	ctrl_M1	ctrl	66.1305694580078	66.1305694580078	1
14	ctrl_M2	ctrl	47.6349563598633	47.6349563598633	1
14	ctrl_M3	ctrl	51.0242004394531	51.0242004394531	1
14	mut_M1	mut	54.1386108398438	54.1386108398438	1
14	mut_M2	mut	63.1163787841797	63.1163787841797	1
14	mut_M3	mut	52.6149673461914	52.6149673461914	1
15	ctrl_M1	ctrl	51.0524940490723	51.0524940490723	1
15	ctrl_M2	ctrl	40.1883659362793	40.1883659362793	1
15	ctrl_M3	ctrl	43.6223602294922	43.6223602294922	1
15	mut_M1	mut	45.9739875793457	45.9739875793457	1
15	mut_M2	mut	54.3668441772461	54.3668441772461	1
15	mut_M3	mut	56.1882133483887	56.1882133483887	1
16	ctrl_M1	ctrl	39.3820838928223	39.3820838928223	1
16	ctrl_M2	ctrl	23.1202774047852	23.1202774047852	1
16	ctrl_M3	ctrl	44.5771446228027	44.5771446228027	1
16	mut_M1	mut	46.670482635498	46.670482635498	1
16	mut_M2	mut	60.2720565795898	60.2720565795898	1
16	mut_M3	mut	39.7313842773438	39.7313842773438	1
17	ctrl_M1	ctrl	68.646354675293	68.646354675293	1
17	ctrl_M2	ctrl	47.9521675109863	47.9521675109863	1
17	ctrl_M3	ctrl	39.3571701049805	39.3571701049805	1
