from_label	to_label	count	rate	pct_of_total	is_diagonal	category	tp	tp_label
A.1	A.1	6864	0.287762545591749	28.78	TRUE	Stable	250402	late/adult
A.2	A.1	786	0.0329518299584958	3.3	FALSE	Within_A	250402	late/adult
B.1	A.1	79	0.00331195237496332	0.33	FALSE	B_to_A	250402	late/adult
B.2	A.1	18	0.000754622060118224	0.08	FALSE	B_to_A	250402	late/adult
A.1	A.2	384	0.0160986039491888	1.61	FALSE	Within_A	250402	late/adult
A.2	A.2	2328	0.097597786441957	9.76	TRUE	Stable	250402	late/adult
B.1	A.2	852	0.0357187775122626	3.57	FALSE	B_to_A	250402	late/adult
B.2	A.2	86	0.00360541650945374	0.36	FALSE	B_to_A	250402	late/adult
A.1	B.1	23	0.000964239299039953	0.1	FALSE	A_to_B	250402	late/adult
A.2	B.1	233	0.00976816333375257	0.98	FALSE	A_to_B	250402	late/adult
B.1	B.1	2069	0.0867396134658114	8.67	TRUE	Stable	250402	late/adult
B.2	B.1	887	0.0371860981847147	3.72	FALSE	Within_B	250402	late/adult
A.1	B.2	15	0.000628851716765187	0.06	FALSE	A_to_B	250402	late/adult
A.2	B.2	12	0.000503081373412149	0.05	FALSE	A_to_B	250402	late/adult
B.1	B.2	284	0.0119062591707542	1.19	FALSE	Within_B	250402	late/adult
B.2	B.2	8933	0.374502159057561	37.45	TRUE	Stable	250402	late/adult
A.1	A.1	7270	0.305167275322168	30.52	TRUE	Stable	250831	early/P12
A.2	A.1	1258	0.0528061117407547	5.28	FALSE	Within_A	250831	early/P12
B.1	A.1	27	0.0011333585190782	0.11	FALSE	B_to_A	250831	early/P12
B.2	A.1	3	0.000125928724342022	0.01	FALSE	B_to_A	250831	early/P12
A.1	A.2	335	0.0140620408848592	1.41	FALSE	Within_A	250831	early/P12
A.2	A.2	2987	0.125383033203207	12.54	TRUE	Stable	250831	early/P12
B.1	A.2	1250	0.052470301809176	5.25	FALSE	B_to_A	250831	early/P12
B.2	A.2	37	0.00155312093355161	0.16	FALSE	B_to_A	250831	early/P12
A.1	B.1	10	0.000419762414473408	0.04	FALSE	A_to_B	250831	early/P12
A.2	B.1	232	0.00973848801578307	0.97	FALSE	A_to_B	250831	early/P12
B.1	B.1	2183	0.091634135079545	9.16	TRUE	Stable	250831	early/P12
B.2	B.1	966	0.0405490492381312	4.05	FALSE	Within_B	250831	early/P12
A.1	B.2	15	0.000629643621710112	0.06	FALSE	A_to_B	250831	early/P12
A.2	B.2	12	0.00050371489736809	0.05	FALSE	A_to_B	250831	early/P12
B.1	B.2	226	0.00948663056709902	0.95	FALSE	Within_B	250831	early/P12
B.2	B.2	7012	0.294337405028754	29.43	TRUE	Stable	250831	early/P12
