subcompartment	median_signal	n_bins	mark	genome_median	fold_enrichment	log2_fold	condition	tp
B.2	0.143809994518757	8018	H3K27ac	0.4741599868536	0.303294243516924	-1.72120997881911	ctrl	250831
B.1	0.353424992799759	3686	H3K27ac	0.4741599868536	0.745370766405225	-0.423969857507288	ctrl	250831
A.2	0.663719989538193	4489	H3K27ac	0.4741599868536	1.39978068150049	0.485200802528838	ctrl	250831
A.1	1.50301998513937	7630	H3K27ac	0.4741599868536	3.169858332233	1.66441836467004	ctrl	250831
B.2	0.0409074999392033	8018	H3K4me3	0.140749999403954	0.290639432415189	-1.78269764143322	ctrl	250831
B.1	0.0898599996268749	3686	H3K4me3	0.140749999403954	0.638436944990501	-0.647383955212501	ctrl	250831
A.2	0.223199999928474	4489	H3K4me3	0.140749999403954	1.58579041473307	0.665202110508785	ctrl	250831
A.1	1.7651800083369	7630	H3K4me3	0.140749999403954	12.5412434515955	3.64860849187219	ctrl	250831
B.2	0.0822925002165139	8018	ATAC	0.250435000538826	0.328598239221581	-1.6056033451931	ctrl	250831
B.1	0.189849999908358	3686	ATAC	0.250435000538826	0.758080937168863	-0.399576207680283	ctrl	250831
A.2	0.341350000694394	4489	ATAC	0.250435000538826	1.36302833054469	0.446815548872072	ctrl	250831
A.1	0.902435003332794	7630	ATAC	0.250435000538826	3.60346996782059	1.84938682163099	ctrl	250831
B.2	0.506362460918725	8018	H3K36me3	0.852693285055459	0.593838921677202	-0.751856440649241	ctrl	250831
B.1	0.780616680044681	3686	H3K36me3	0.852693285055459	0.915471827591453	-0.127412605172209	ctrl	250831
A.2	0.992267485693097	4489	H3K36me3	0.852693285055459	1.16368629035065	0.218702185089182	ctrl	250831
A.1	1.27061415136978	7630	H3K36me3	0.852693285055459	1.4901186319148	0.575427191668767	ctrl	250831
B.2	0	8018	RNA	0.102	0	NA	ctrl	250831
B.1	0.0335	3686	RNA	0.102	0.32843137254902	-1.60633615151372	ctrl	250831
A.2	0.3025	4489	RNA	0.102	2.9656862745098	1.56836599019046	ctrl	250831
A.1	1.74925	7630	RNA	0.102	17.1495098039216	4.10009543434326	ctrl	250831
B.2	0.603734998941422	8018	DNAmethylation	1.02427500021458	0.589426666485997	-0.762615763409437	ctrl	250831
B.1	0.976902499616146	3686	DNAmethylation	1.02427500021458	0.953750212991134	-0.0683166207580518	ctrl	250831
A.2	1.24827000010014	4489	DNAmethylation	1.02427500021458	1.21868638777539	0.285326915940317	ctrl	250831
A.1	1.44576000005007	7630	DNAmethylation	1.02427500021458	1.41149593590315	0.497224974865665	ctrl	250831
B.2	0.222887498900294	8018	H3K27me1	0.37877499756217	0.588443007946191	-0.7650254011784	ctrl	250831
B.1	0.234854999646544	3686	H3K27me1	0.37877499756217	0.620038284359032	-0.689570797210899	ctrl	250831
A.2	0.442319997519255	4489	H3K27me1	0.37877499756217	1.16776450495958	0.223749365158054	ctrl	250831
A.1	1.77395998856425	7630	H3K27me1	0.37877499756217	4.6834136360151	2.22756046154213	ctrl	250831
B.2	0.270722502760589	8018	H2AK119ub	0.63780000294745	0.424463000171693	-1.23628929327689	ctrl	250831
B.1	0.619550003170967	3686	H2AK119ub	0.63780000294745	0.971386014907268	-0.0418833789284129	ctrl	250831
A.2	0.891720001965761	4489	H2AK119ub	0.63780000294745	1.39811852907632	0.483486674062324	ctrl	250831
A.1	1.04309750301391	7630	H2AK119ub	0.63780000294745	1.63546174066081	0.709698009983499	ctrl	250831
B.2	0.279122500553727	8018	H3K27me3	0.442969999402761	0.630116037045526	-0.666310566822232	ctrl	250831
B.1	0.755334997825325	3686	H3K27me3	0.442969999402761	1.70516061774773	0.769907640430814	ctrl	250831
A.2	0.958804997861385	4489	H3K27me3	0.442969999402761	2.16449195014133	1.114028435102	ctrl	250831
A.1	0.398195000462234	7630	H3K27me3	0.442969999402761	0.898920922408073	-0.153733886675518	ctrl	250831
B.2	0.0774949998855591	7265	H3K27ac	0.389904999285936	0.198753542600074	-2.33094751954189	mut	250831
A.2	0.482775000095367	4609	H3K27ac	0.389904999285936	1.23818622736182	0.308228317044895	mut	250831
B.1	0.230414998829365	3391	H3K27ac	0.389904999285936	0.590951640146553	-0.758888020957281	mut	250831
A.1	1.27328499230742	8558	H3K27ac	0.389904999285936	3.26562879326834	1.70736080787839	mut	250831
B.2	0.0174350000619888	7265	H3K4me3	0.129939999639988	0.134177313454627	-2.89778733194318	mut	250831
A.2	0.201040000557899	4609	H3K4me3	0.129939999639988	1.54717562809682	0.62963697403495	mut	250831
