mark	tp	A.1	A.2	B.1	B.2
H3K27ac	250402	-0.0695652593770913	-0.171942735560893	-0.310346991528515	-0.719457745975763
H3K4me3	250402	0.00672689881905862	0.359888110753184	-0.0627169734884376	-1.05073563789872
ATAC	250402	0.000242058986602595	0.0578932825603775	0.09794773713704	0.0583650883756602
H3K36me3	250402	-0.124287242224547	-0.235734496004691	-0.324957972215483	-0.397875491277152
RNA	250402	-0.0640013441349724	-0.147668503181159	0.0146467759644013	0
DNAmethylation	250402	-0.242307272139035	-0.223202987982151	-0.256904783798603	-0.341522893338365
H3K27me1	250402	-0.239469689583204	0.497595484511446	1.18237455639606	1.34777451358511
H2AK119ub	250402	-0.287800811671751	-0.0915585764537428	-0.164621948595571	-0.32252412198008
H3K27me3	250402	0.400956852959345	0.307818533272365	0.128854989247369	-0.0666627007047863
H3K27ac	250831	-0.017556714864794	-0.25863295014276	-0.428303679171186	-0.782244001649657
H3K4me3	250831	0.0456442926301485	0.177917790982575	-0.439105457826427	-1.158552167537
ATAC	250831	0.00715225278880443	0.087823250826708	0.0603489158871316	0.0576080195753811
H3K36me3	250831	-0.147432710788255	-0.270206265087154	-0.355560538482317	-0.396864696889026
RNA	250831	-0.0766400260571999	-0.0119726416660759	0.0319428925027542	NA
DNAmethylation	250831	-0.243620118096743	-0.231883393419994	-0.256492936458106	-0.364758182914472
H3K27me1	250831	-0.18225423979015	0.649003022071233	1.17286718075581	1.28713180736949
H2AK119ub	250831	-0.372935437290433	-0.128888206785439	-0.148624094823469	-0.336627660611437
H3K27me3	250831	0.35326197950811	0.247400384420211	0.224622661494266	-0.142602421991551
