mark	tp	condition	A.1	A.2	B.1	B.2
H3K27ac	250402	ctrl	3.89293349663899	1.5838409064808	0.889239666378142	0.358254403933674
H3K4me3	250402	ctrl	14.7538209049009	2.74082823929268	0.855667703893449	0.336626221770741
ATAC	250402	ctrl	3.89822882900646	1.73865351630984	0.966659960858207	0.395612359242809
H3K36me3	250402	ctrl	1.47798957149162	1.17198113268231	0.99897879281143	0.669222264924463
RNA	250402	ctrl	21.8232323232323	5.03535353535354	0.494949494949495	0.0101010101010101
DNAmethylation	250402	ctrl	1.31635950905963	1.23778374278203	1.10098611559299	0.674496662710729
H3K27me1	250402	ctrl	5.58749750867895	1.50532316646344	0.670215446087022	0.555578389479774
H2AK119ub	250402	ctrl	1.47113983740322	1.47874559435394	1.2540922263284	0.519439567271682
H3K27me3	250402	ctrl	0.661688897955838	1.74719647177222	2.24734342600988	0.876209584253991
H3K27ac	250402	mut	4.31544585048191	1.50371250151575	0.790276103695334	0.24612848413544
H3K4me3	250402	mut	15.3472189375152	2.4439294509761	0.757588204377385	0.163850427703894
ATAC	250402	mut	3.57746076968351	1.50649473776089	0.90070279569899	0.365838783071172
H3K36me3	250402	mut	1.68116296233054	1.18234328318269	0.966272510257688	0.610837553077478
RNA	250402	mut	18.9757281553398	3.55097087378641	0.41747572815534	0.00485436893203884
DNAmethylation	250402	mut	1.38646571224086	1.27796188400259	1.08701666586849	0.613528325734483
H3K27me1	250402	mut	2.40120667766213	1.02755878071058	0.777979511388078	0.742885973954133
H2AK119ub	250402	mut	1.50673658234366	1.72480158652193	1.29758125460054	0.454525700692539
H3K27me3	250402	mut	0.822145977138684	1.98922603824728	2.09777954998116	0.642890053184547
H3K27ac	250831	ctrl	3.169858332233	1.39978068150049	0.745370766405225	0.303294243516924
H3K4me3	250831	ctrl	12.5412434515955	1.58579041473307	0.638436944990501	0.290639432415189
ATAC	250831	ctrl	3.60346996782059	1.36302833054469	0.758080937168863	0.328598239221581
H3K36me3	250831	ctrl	1.4901186319148	1.16368629035065	0.915471827591453	0.593838921677202
RNA	250831	ctrl	17.1495098039216	2.9656862745098	0.32843137254902	0
DNAmethylation	250831	ctrl	1.41149593590315	1.21868638777539	0.953750212991134	0.589426666485997
H3K27me1	250831	ctrl	4.6834136360151	1.16776450495958	0.620038284359032	0.588443007946191
H2AK119ub	250831	ctrl	1.63546174066081	1.39811852907632	0.971386014907268	0.424463000171693
H3K27me3	250831	ctrl	0.898920922408073	2.16449195014133	1.70516061774773	0.630116037045526
H3K27ac	250831	mut	3.26562879326834	1.23818622736182	0.590951640146553	0.198753542600074
H3K4me3	250831	mut	11.6562260131183	1.54717562809682	0.419578266531983	0.134177313454627
ATAC	250831	mut	3.06581783318546	1.16523823404357	0.67076945788222	0.304878044864207
H3K36me3	250831	mut	1.59391922840772	1.11526094312468	0.83379179790662	0.545360243228304
RNA	250831	mut	12.6729857819905	2.18483412322275	0.260663507109005	0
DNAmethylation	250831	mut	1.48668569596019	1.1565016639649	0.878791471673142	0.536032000598686
H3K27me1	250831	mut	1.8268072992698	0.889137697710395	0.721581594553686	0.794920088011279
H2AK119ub	250831	mut	1.57898426230585	1.36698750050355	0.947020806465594	0.370779117468848
H3K27me3	250831	mut	1.27728818476926	1.96749999612891	1.40748901934414	0.444738203240466
