direction	ctrl_label	mut_label	N	transition_category	pct_of_direction
A_to_B_in_Mutant	A.1	A.1	441	Stable	34.48
A_to_B_in_Mutant	A.1	A.2	7	Within_A_shift	0.55
A_to_B_in_Mutant	A.2	A.1	192	Within_A_shift	15.01
A_to_B_in_Mutant	A.2	A.2	291	Stable	22.75
A_to_B_in_Mutant	A.2	B.1	9	True_A_to_B	0.7
A_to_B_in_Mutant	B.1	A.1	12	True_B_to_A	0.94
A_to_B_in_Mutant	B.1	A.2	122	True_B_to_A	9.54
A_to_B_in_Mutant	B.1	B.1	133	Stable	10.4
A_to_B_in_Mutant	B.1	B.2	3	Within_B_shift	0.23
A_to_B_in_Mutant	B.2	A.1	1	True_B_to_A	0.08
A_to_B_in_Mutant	B.2	A.2	4	True_B_to_A	0.31
A_to_B_in_Mutant	B.2	B.1	14	Within_B_shift	1.09
A_to_B_in_Mutant	B.2	B.2	50	Stable	3.91
B_to_A_in_Mutant	A.1	A.1	217	Stable	5.78
B_to_A_in_Mutant	A.1	A.2	697	Within_A_shift	18.55
B_to_A_in_Mutant	A.1	B.1	57	True_A_to_B	1.52
B_to_A_in_Mutant	A.2	A.1	4	Within_A_shift	0.11
B_to_A_in_Mutant	A.2	A.2	573	Stable	15.25
B_to_A_in_Mutant	A.2	B.1	1265	True_A_to_B	33.67
B_to_A_in_Mutant	A.2	B.2	35	True_A_to_B	0.93
B_to_A_in_Mutant	B.1	A.2	3	True_B_to_A	0.08
B_to_A_in_Mutant	B.1	B.1	435	Stable	11.58
B_to_A_in_Mutant	B.1	B.2	414	Within_B_shift	11.02
B_to_A_in_Mutant	B.2	B.2	57	Stable	1.52
