GROUP	transition	N	pct	timepoint
clust4	B_to_A	746	9.8	250402
clust4	Within_A	806	10.6	250402
clust2	Within_A	1686	8	250402
clust4	Stable	5508	72.5	250402
clust1	Stable	21233	89.2	250402
clust3	Stable	14946	87.5	250402
clust2	Stable	17875	85.3	250402
clust6	Stable	3773	81	250402
clust1	A_to_B	263	1.1	250402
clust3	A_to_B	327	1.9	250402
clust1	Within_B	357	1.5	250402
clust5	Stable	810	62.8	250402
clust2	Within_B	402	1.9	250402
clust4	Within_B	452	6	250402
clust2	B_to_A	783	3.7	250402
clust1	Within_A	1353	5.7	250402
clust3	Within_A	1156	6.8	250402
clust1	B_to_A	603	2.5	250402
clust6	B_to_A	123	2.6	250402
clust3	B_to_A	365	2.1	250402
clust2	A_to_B	202	1	250402
clust6	Within_A	403	8.7	250402
clust5	Within_A	114	8.8	250402
clust5	B_to_A	216	16.8	250402
clust6	A_to_B	201	4.3	250402
clust5	Within_B	139	10.8	250402
clust3	Within_B	289	1.7	250402
clust6	Within_B	157	3.4	250402
clust4	A_to_B	81	1.1	250402
clust5	A_to_B	10	0.8	250402
