dist_bin	enhancer_class	hic_contact_WT	hic_contact_KO	delta_contact
<50kb	Activity_Lost	0.0233138453203811	0.0226075354007099	-0.000706309919671213
50-100kb	Activity_Lost	0.00675093254120353	0.00618432732847834	-0.000566605212725182
100-200kb	Activity_Lost	0.00419256753926702	0.00374854589877836	-0.000444021640488656
200-500kb	Activity_Lost	0.00240088484251968	0.00211465977690289	-0.000286225065616798
500kb-1Mb	Activity_Lost	0.00121846314496314	0.00101544656019656	-0.000203016584766585
1-5Mb	Activity_Lost	0.000506678781400321	0.00037064564404062	-0.000136033137359701
<50kb	K119ub_Only	0.0218863182608696	0.0221690704347826	0.000282752173913044
50-100kb	K119ub_Only	0.0059608544600939	0.00588625039123631	-7.46040688575901e-05
100-200kb	K119ub_Only	0.00359667780429594	0.00358605250596659	-1.06252983293556e-05
200-500kb	K119ub_Only	0.00188272291993721	0.00188399607535322	1.27315541601261e-06
500kb-1Mb	K119ub_Only	0.00109319605695509	0.00101404271631982	-7.91533406352683e-05
1-5Mb	K119ub_Only	0.000351943631039532	0.000347125915080527	-4.81771595900438e-06
<50kb	Activity_Gain	0.0216620626468285	0.0230940078308536	0.00143194518402506
50-100kb	Activity_Gain	0.00498401842546064	0.00572896649916248	0.000744948073701843
100-200kb	Activity_Gain	0.00317695106382979	0.00392713617021277	0.000750185106382979
200-500kb	Activity_Gain	0.00197037298387097	0.00250860483870968	0.00053823185483871
500kb-1Mb	Activity_Gain	0.000993193277310924	0.00118726470588235	0.000194071428571429
1-5Mb	Activity_Gain	0.00026139336492891	0.000377270142180095	0.000115876777251185
<50kb	Stable	0.0252342814500898	0.0256163544152195	0.000382072965129669
50-100kb	Stable	0.00633468500751358	0.00639732736099873	6.26423534851463e-05
100-200kb	Stable	0.00396560970464135	0.00404802720408617	8.24174994448146e-05
200-500kb	Stable	0.002204798738659	0.00221592365567604	1.11249170170392e-05
500kb-1Mb	Stable	0.00110366675291074	0.00108536351875809	-1.8303234152652e-05
1-5Mb	Stable	0.000404170249854735	0.000399272709664924	-4.89754018981212e-06
