Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Concordant	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	24/578	232/28832	0.103448275862069	5.16024340770791	9.09983502393127	6.36639264516079e-11	2.15464887390428e-07	1.71352206597011e-07	Cadm2/Cdh23/Cdh24/Cdh7/Clstn2/Cntn6/Cx3cl1/Dsc2/Dscam/Dscaml1/Dsg2/Emb/Esam/Fat3/Il1rapl1/Jaml/L1cam/Lrrc4c/Mcam/Mdga2/Palld/Pcdh19/Sdk2/Tenm4	24
Concordant	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	17/578	112/28832	0.151785714285714	7.57142857142857	9.96621810134329	9.98678504706504e-11	2.15464887390428e-07	1.71352206597011e-07	Cadm2/Cdh23/Cdh24/Cdh7/Clstn2/Cntn6/Dsc2/Dscam/Dscaml1/Dsg2/Emb/Esam/Fat3/L1cam/Palld/Pcdh19/Sdk2	17
Concordant	GO:0099173	postsynapse organization	27/578	313/28832	0.0862619808306709	4.30295057320053	8.40351343619386	2.62852713081438e-10	3.78069818982135e-07	3.00666612156312e-07	Actn2/Arc/Arhgef15/Cdkl5/Chrna7/Cit/Cntnap2/Cpne6/Csmd2/Dact1/Dbn1/Dok7/Efna1/Elmo1/Epha5/Gdnf/Grid1/Il1rapl1/Itgb3/Lama5/Lrfn2/Nptxr/Pak3/Prickle1/Sema4c/Shisa7/Zdhhc2	27
Concordant	GO:0008038	neuron recognition	12/578	53/28832	0.226415094339623	11.2941176470588	10.7285990315779	4.74944614019009e-10	5.12346502373006e-07	4.07452484658413e-07	Cnr1/Cntn6/Cntnap2/Diaph2/Dscam/Dscaml1/Emb/Ext1/L1cam/Plxnd1/Sema3a/Tnn	12
Concordant	GO:0007015	actin filament organization	32/578	474/28832	0.0675105485232067	3.36758500868702	7.4337979870573	2.89264346684597e-09	2.46319594823014e-06	1.95889950386785e-06	Actn2/Add3/Aqp2/Arhgef15/Cald1/Carmil1/Cit/Coro6/Cx3cl1/Daam2/Dbn1/Diaph2/Dpysl3/Elmo1/Esam/Fhdc1/Fmn1/Gas7/Inf2/Iqgap2/Itgb5/Kiss1r/Pak3/Prkn/Rflnb/Rgcc/Snx9/Svil/Tgfb3/Tgfbr1/Tle6/Wipf3	32
Concordant	GO:0007411	axon guidance	23/578	261/28832	0.0881226053639847	4.39576290286229	7.88222258129341	3.71358455533334e-09	2.46319594823014e-06	1.95889950386785e-06	Arhgef25/Bcl11b/Boc/Cntn6/Diaph2/Dscam/Dscaml1/Efna1/Emb/Epha5/Epha8/Ext1/Gdnf/L1cam/Lama5/Mef2c/Ndp/Nfib/Ntf3/Otx2/Sema3a/Sema4c/Unc5c	23
Concordant	GO:0097485	neuron projection guidance	23/578	262/28832	0.0877862595419847	4.378985181859	7.85842684363769	3.99591463212306e-09	2.46319594823014e-06	1.95889950386785e-06	Arhgef25/Bcl11b/Boc/Cntn6/Diaph2/Dscam/Dscaml1/Efna1/Emb/Epha5/Epha8/Ext1/Gdnf/L1cam/Lama5/Mef2c/Ndp/Nfib/Ntf3/Otx2/Sema3a/Sema4c/Unc5c	23
Concordant	GO:0060560	developmental growth involved in morphogenesis	24/578	287/28832	0.083623693379791	4.17134658741545	7.72277592371592	4.80910102924747e-09	2.59390886765035e-06	2.06285123096668e-06	Cdkl5/Cpne5/Cpne6/Dbn1/Dscam/Emx1/Ext1/Fmn1/Fstl4/L1cam/Mgll/Nkd1/Pak6/Prickle1/Prkn/Rasal1/Sema3a/Slc12a2/Spag6/Spry2/Syt1/Syt4/Tnc/Tnn	24
Concordant	GO:0007416	synapse assembly	23/578	305/28832	0.0754098360655738	3.76162005785921	6.9348903523085	6.83466774001232e-08	3.27684347757257e-05	2.60596688098715e-05	Arhgef15/Clstn2/Cntnap2/Csmd2/Dscam/Elmo1/Gabra3/Hapln4/Il1rapl1/Il1rapl2/L1cam/Lrrn1/Mdga2/Mef2c/Nptxr/Plxnc1/Plxnd1/Prickle1/Sdk2/Sema4c/Snca/Tpbg/Zdhhc2	23
Concordant	GO:0016358	dendrite development	24/578	332/28832	0.072289156626506	3.60595322466336	6.83072859398148	7.87367218925376e-08	3.397489549663e-05	2.70191277231234e-05	Arc/Bmp5/Cdkl5/Chrna7/Cit/Cntnap2/Dact1/Dbn1/Dscam/Efna1/Epha5/Fat3/Fstl4/Grip1/Il1rapl1/Mef2c/Ndp/Pak3/Prickle1/Sdc2/Sema3a/Sez6/Tpbg/Wls	24
Concordant	GO:0032970	regulation of actin filament-based process	27/578	416/28832	0.0649038461538462	3.23755656108597	6.57495852093554	1.11903475833477e-07	4.38966816564958e-05	3.49096010734101e-05	Actn2/Add3/Arhgef15/Carmil1/Cit/Cx3cl1/Daam2/Dbn1/Dsc2/Dsg2/Epha5/Esam/Fmn1/Iqgap2/Itgb3/Kiss1r/Mef2c/Myh7b/Pak3/Pde4d/Prkn/Rgcc/Snx9/Svil/Tgfb3/Tgfbr1/Trpm4	27
Concordant	GO:0070593	dendrite self-avoidance	6/578	14/28832	0.428571428571429	21.3781512605042	10.9081394847512	1.65676692247058e-07	5.95745772538381e-05	4.73777207653869e-05	Cntn6/Dscam/Dscaml1/Emb/Ext1/Tnn	6
Concordant	GO:0060078	regulation of postsynaptic membrane potential	16/578	167/28832	0.0958083832335329	4.77914758717858	7.00535127154246	2.83795686665061e-07	9.41983375353644e-05	7.49128695164452e-05	Chrna4/Chrna7/Chrnb4/Cntnap2/Cx3cl1/Dbn1/Gabra3/Grid1/Mef2c/P2rx3/Prkn/Sez6/Slc29a1/Slc8a3/Snca/Unc13b	16
Concordant	GO:0048813	dendrite morphogenesis	17/578	194/28832	0.0876288659793814	4.37113402061856	6.73843964516159	4.35886332159657e-07	0.000134346394519208	0.000106841311491765	Arc/Cdkl5/Chrna7/Cit/Cntnap2/Dact1/Dbn1/Dscam/Efna1/Epha5/Grip1/Il1rapl1/Pak3/Sdc2/Sema3a/Tpbg/Wls	17
Concordant	GO:0050807	regulation of synapse organization	25/578	393/28832	0.0636132315521628	3.17317766801377	6.20423372187711	4.78930626912279e-07	0.000137263083697213	0.000109160859389624	Arc/Arhgef15/Camkv/Cdkl5/Chrna7/Clstn2/Dact1/Dbn1/Efna1/Elmo1/Grid1/Il10ra/Il1rapl1/Il1rapl2/L1cam/Lrfn2/Lrrn1/Mdga2/Mef2c/Pak3/Plxnc1/Prickle1/Sema4c/Snca/Tpbg	25
Concordant	GO:0006836	neurotransmitter transport	19/578	242/28832	0.0785123966942149	3.91638308215848	6.5162685972828	5.0897087813567e-07	0.000137263083697213	0.000109160859389624	Cplx2/Doc2b/Gdnf/Itgb3/Kcnc4/Mctp1/Mef2c/Prkcb/Prkn/Ptprn2/Slc29a1/Snca/Sv2c/Syde1/Syn2/Syn3/Syt1/Syt4/Unc13b	19
