enhancer_class	partner_type	n	median_logFC	mean_logFC	sd_logFC	wilcox_p	weight	contribution
Activity_Lost	Active_Promoter	211	-0.372156783496988	-0.389190247832083	0.19631238379628	3.40677832715934e-32	0.181427343078246	-0.0675194164384045
Activity_Lost	Repressed_Promoter	9	-0.30669740167315	-0.0307451479863907	0.381067032089907	0.905447456264417	0.00773860705073087	-0.00237341067502868
Activity_Lost	Bivalent_Promoter	9	-0.341513712695852	-0.486606952795989	0.269615434918752	0.00878880387467771	0.00773860705073087	-0.0026428404249894
Activity_Lost	Polycomb	23	0.30471697168891	0.0181225967733361	0.400461901554599	0.914968406824032	0.0197764402407567	0.00602621698095007
Activity_Lost	Active_Enhancer	545	-0.375007123722967	-0.383185737649258	0.179851078874268	3.21896673259555e-78	0.468615649183147	-0.175734206731743
Activity_Lost	Poised_Enhancer	249	-0.345686006442807	-0.275420179115881	0.344363949736306	2.46328603290939e-18	0.214101461736887	-0.074011879281392
Activity_Lost	Other	117	-0.359649050004829	-0.255786840789767	0.334292901586556	7.12622097370426e-10	0.100601891659501	-0.0361813747640284
K119ub_Only	Active_Promoter	65	-0.323707866444996	-0.172344723865761	0.392880297096522	0.0164660864957142	0.21523178807947	-0.0696722229103468
K119ub_Only	Repressed_Promoter	7	0.321687796514344	0.145286028155594	0.631605659169591	0.9375	0.0231788079470199	0.00745633965430599
K119ub_Only	Polycomb	15	0.350417839996033	0.267793274026945	0.284628475328825	0.038127744213291	0.0496688741721854	0.017404859602452
K119ub_Only	Active_Enhancer	73	-0.36902452620198	-0.33446059035868	0.205972143223867	5.42353168010949e-11	0.241721854304636	-0.0892012927574323
K119ub_Only	Poised_Enhancer	83	-0.308168081780191	-0.00477211262342413	0.470840668392957	0.603161548579364	0.274834437086093	-0.0846952012839598
K119ub_Only	Other	59	-0.30797880981345	-0.0299967103495143	0.414750005733753	0.930828626103958	0.195364238410596	-0.0601680456258065
Activity_Gain	Active_Promoter	23	0.337048456639416	0.171655500044986	0.348861849420334	0.00929307485246024	0.0525114155251142	0.0176988915586908
Activity_Gain	Repressed_Promoter	42	0.389941853654605	0.226228029732909	0.443988604771097	0.0163541533753109	0.0958904109589041	0.0373916845970169
Activity_Gain	Bivalent_Promoter	4	0.364004023303133	0.391926376294458	0.0849700390796651	0.0975125381781096	0.0091324200913242	0.00332423765573637
Activity_Gain	Polycomb	122	0.38804734820413	0.241176064665677	0.492995662930871	1.52039301687552e-05	0.278538812785388	0.108086247673296
Activity_Gain	Active_Enhancer	9	0.354195376025862	0.0794651662328149	0.526548551396397	0.406529266292585	0.0205479452054795	0.0072779871786136
Activity_Gain	Poised_Enhancer	117	0.371017064691278	0.337566230113148	0.265348258369764	5.4598874218805e-14	0.267123287671233	0.0991072981024647
Activity_Gain	Other	121	0.356058151486337	0.208601000218488	0.434792827231993	2.45561906341925e-05	0.276255707762557	0.0983630966434858
Stable	Active_Promoter	322	-0.321846902788882	-0.16526136738162	0.368757626476152	4.91978264295336e-12	0.123798539023453	-0.0398441763544867
Stable	Repressed_Promoter	187	0.324243640472188	0.093867510160096	0.478545216466134	0.0547732865020836	0.0718954248366013	0.0233116342823142
Stable	Bivalent_Promoter	9	0.372548002764556	0.208416523921091	0.382664965927079	0.203125	0.00346020761245675	0.00128909343517147
Stable	Polycomb	367	0.350779151030465	0.245731302586459	0.384858406349031	1.17906237631782e-24	0.141099577085736	0.0494947898608922
Stable	Active_Enhancer	355	-0.361753110230178	-0.28827838770904	0.297220816063223	1.67749907499478e-31	0.136485966935794	-0.0493742230417967
Stable	Poised_Enhancer	588	0.302509583570206	-0.00489093509054131	0.408573667965408	0.403681964575118	0.226066897347174	0.068387402975502
Stable	Other	773	0.318619691702003	0.0669328447646521	0.393644451920276	3.527728277357e-07	0.297193387158785	0.0946916653924061
