enhancer_class	partner_type	Freq	proportion
Activity_Lost	Active_Promoter	2956	0.220432513049963
K119ub_Only	Active_Promoter	1575	0.293186895011169
Activity_Gain	Active_Promoter	552	0.15807560137457
Stable	Active_Promoter	16680	0.236948646920946
Activity_Lost	Repressed_Promoter	187	0.013944817300522
K119ub_Only	Repressed_Promoter	82	0.0152643335815339
Activity_Gain	Repressed_Promoter	198	0.056701030927835
Stable	Repressed_Promoter	2772	0.0393777967185169
Activity_Lost	Bivalent_Promoter	82	0.00611483967188665
K119ub_Only	Bivalent_Promoter	48	0.00893521965748325
Activity_Gain	Bivalent_Promoter	23	0.0065864833906071
Stable	Bivalent_Promoter	351	0.00498614958448753
Activity_Lost	Polycomb	193	0.0143922445935869
K119ub_Only	Polycomb	111	0.02066269545793
Activity_Gain	Polycomb	422	0.120847651775487
Stable	Polycomb	2805	0.039846580012785
Activity_Lost	Active_Enhancer	4494	0.335123042505593
K119ub_Only	Active_Enhancer	1326	0.246835443037975
Activity_Gain	Active_Enhancer	410	0.117411225658648
Stable	Active_Enhancer	11573	0.164400880744371
Activity_Lost	Poised_Enhancer	3204	0.238926174496644
K119ub_Only	Poised_Enhancer	1260	0.234549516008935
Activity_Gain	Poised_Enhancer	1052	0.301260022909507
Stable	Poised_Enhancer	16084	0.228482136515378
Activity_Lost	Other	2294	0.171066368381805
K119ub_Only	Other	970	0.180565897244974
Activity_Gain	Other	835	0.239117983963345
Stable	Other	20130	0.285957809503516
