Context	Annotation	ModType	Total	Significant	Hyper	Hypo
CG	genes	mc	20979	8836	6635	2201
CG	genes	hmc	20979	9930	1307	8623
CG	promoters	mc	20372	641	364	277
CG	promoters	hmc	20372	110	38	72
CG	cpg_islands	mc	8842	291	84	207
CG	cpg_islands	hmc	8842	70	12	58
CG	cpg_shores	mc	32542	6037	4219	1818
CG	cpg_shores	hmc	32542	1803	450	1353
CG	cpg_shelves	mc	29087	4045	3484	561
CG	cpg_shelves	hmc	29087	2247	396	1851
CG	tss_region	mc	13952	58	17	41
CG	tss_region	hmc	13952	10	6	4
CHG	genes	mc	20766	70	45	25
CHG	genes	hmc	20766	7	6	1
CHG	promoters	mc	18873	0	0	0
CHG	promoters	hmc	18873	0	0	0
CHG	cpg_islands	mc	1738	0	0	0
CHG	cpg_islands	hmc	1738	0	0	0
CHG	cpg_shores	mc	30714	0	0	0
CHG	cpg_shores	hmc	30714	0	0	0
CHG	cpg_shelves	mc	28621	0	0	0
CHG	cpg_shelves	hmc	28621	0	0	0
CHG	tss_region	mc	8573	0	0	0
CHG	tss_region	hmc	8573	0	0	0
CHH	genes	mc	0	0	0	0
CHH	genes	hmc	0	0	0	0
CHH	promoters	mc	0	0	0	0
CHH	promoters	hmc	0	0	0	0
CHH	cpg_islands	mc	0	0	0	0
CHH	cpg_islands	hmc	0	0	0	0
CHH	cpg_shores	mc	0	0	0	0
CHH	cpg_shores	hmc	0	0	0	0
CHH	cpg_shelves	mc	0	0	0	0
CHH	cpg_shelves	hmc	0	0	0	0
CHH	tss_region	mc	0	0	0	0
CHH	tss_region	hmc	0	0	0	0
