ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0050803	regulation of synapse structure or activity	39/649	401/28832	0.0972568578553616	4.32066213510907	10.1615369284229	2.18004570729576e-14	9.72954399166098e-11	7.46723024372675e-11	Cux2/Ptk2/Sipa1l1/Lrtm1/Dbn1/Lrrtm1/Dlgap4/Fzd1/Nrp2/Grin2b/Mdga1/Lrfn2/Ephb1/Dlg5/Eef2k/Tpbg/Farp1/Tanc2/Nectin3/Nrcam/Prickle1/Robo1/Adgrl2/Zmynd8/Slc17a6/Dock1/Ntrk3/Mdga2/Ptn/Ptpn13/Prickle2/Ptprt/Neurod2/Nlgn1/Disc1/Kcnk13/Ntng2/Adgrb1/Fam107a	39
GO:0050807	regulation of synapse organization	38/649	393/28832	0.0966921119592875	4.29557314639473	9.982255028329	5.68917735374078e-14	1.26953992648725e-10	9.74346479424868e-11	Cux2/Ptk2/Sipa1l1/Lrtm1/Dbn1/Lrrtm1/Dlgap4/Fzd1/Nrp2/Grin2b/Mdga1/Lrfn2/Ephb1/Dlg5/Eef2k/Tpbg/Farp1/Tanc2/Nectin3/Nrcam/Prickle1/Robo1/Adgrl2/Zmynd8/Dock1/Ntrk3/Mdga2/Ptn/Ptpn13/Prickle2/Ptprt/Neurod2/Nlgn1/Disc1/Kcnk13/Ntng2/Adgrb1/Fam107a	38
GO:0007416	synapse assembly	33/649	305/28832	0.108196721311475	4.80666851903306	10.1420446987021	1.14103765450574e-13	1.6974836840197e-10	1.30278474658304e-10	Csmd2/Sdk1/Cux2/Ptk2/Sipa1l1/Lrtm1/Fzd5/Lrrtm1/Fzd1/Mdga1/Ephb1/Dlg5/Eef2k/Tpbg/Farp1/Nectin3/Prickle1/Robo1/Adgrl2/Kirrel3/Dock1/Ntrk3/Adgrf1/Mdga2/Efnb2/Ptpn13/Prickle2/Nlgn1/Plxna4/Ntng2/Cntnap2/Adgrb1/Fam107a	33
GO:1901888	regulation of cell junction assembly	32/649	311/28832	0.102893890675241	4.57108883813336	9.60853254817997	1.068873878826e-12	1.19259603030011e-09	9.15293579394688e-10	Cux2/Tjp1/Limch1/Ptk2/Sipa1l1/Lrtm1/Fzd5/Lrrtm1/Fzd1/Mdga1/Ephb1/Dlg5/Eef2k/Tpbg/Farp1/Nectin3/Prickle1/Robo1/Irx3/Adgrl2/Thy1/Wnt4/Dock1/Ntrk3/Mdga2/Ptpn13/Prickle2/Nlgn1/Ntng2/Cntnap2/Adgrb1/Fam107a	32
GO:0099173	postsynapse organization	31/649	313/28832	0.0990415335463259	4.39994683391012	9.17773976692573	6.57108132516442e-12	5.86534719084176e-09	4.50153655412316e-09	Csmd2/Cttn/Cux2/Ctnnd2/Sipa1l1/Dbn1/Lrrtm1/Grip2/Nrp2/Grin2b/Lrfn2/Ephb1/Dlg5/Eef2k/Farp1/Tanc2/Nectin3/Nrcam/Prickle1/Mesd/Zmynd8/Dock1/Ntrk3/Ptn/Prickle2/Nlgn1/Disc1/Ntng2/Cntnap2/Adgrb1/Fam107a	31
GO:0051963	regulation of synapse assembly	25/649	209/28832	0.119617224880383	5.31402746957041	9.49854457310731	1.23716818047015e-11	9.20246931573047e-09	7.06271098114012e-09	Cux2/Ptk2/Sipa1l1/Lrtm1/Lrrtm1/Fzd1/Mdga1/Ephb1/Dlg5/Eef2k/Tpbg/Farp1/Nectin3/Prickle1/Robo1/Adgrl2/Dock1/Ntrk3/Mdga2/Ptpn13/Prickle2/Nlgn1/Ntng2/Adgrb1/Fam107a	25
GO:0021953	central nervous system neuron differentiation	28/649	270/28832	0.103703703703704	4.60706500028534	9.03649753151905	2.33106001922792e-11	1.48621726654489e-08	1.14064200038611e-08	Tgif1/Fezf2/Ptk2/Nfib/Phox2b/Emx1/Nrp2/Ttc21b/Chd5/Ephb1/Kndc1/Gli2/Robo1/Shh/Wnt3/Fgf8/Ulk4/Dcc/Lhx4/Gdpd5/Pax3/Psap/Lingo1/Bmpr1b/Plxna4/Disc1/Zeb2/Hes1	28
GO:0007389	pattern specification process	35/649	500/28832	0.07	3.1097688751926	7.22170689286728	4.10384221389857e-09	2.28943097507866e-06	1.75709244263499e-06	Tgif1/Foxj1/Fezf2/Fzd5/Smad6/Otx2/Scmh1/Pcsk6/Emx1/Nrp2/Ttc21b/Sostdc1/Ovol2/Pcsk5/Smad5/Prickle1/Zbtb16/Gli2/Robo1/Shh/Wnt3/Fgf8/Irx3/Pax3/Bmpr1b/Mdga2/Shroom3/Pbx1/Pax1/Zeb2/Sim2/Bhlhe41/Meox1/Crb2/Hes1	35
GO:0030900	forebrain development	34/649	482/28832	0.0705394190871369	3.13373271359065	7.16878563954773	5.65466992967677e-09	2.80408798846083e-06	2.15208139779745e-06	Kcna2/Ncoa1/Tcf7l2/Apaf1/Fezf2/Nfib/Plcb1/Inhbb/Otx2/Emx1/Ngf/Nrp2/Ttc21b/Mdga1/Pax5/Chd5/Kcnc1/Gli2/Robo1/Shh/Fgf8/Ulk4/Id2/Gdpd5/Wnt4/Kirrel3/Mdk/Plxna4/Disc1/Zeb2/Trp73/Hes1/Cntnap2/Hmga2	34
GO:0060485	mesenchyme development	27/649	329/28832	0.0820668693009119	3.64584279766393	7.32445458934571	9.36820906658464e-09	3.89762100849064e-06	2.99134609989234e-06	Fbxl17/Tcf7l2/Sema5b/Ptk2/Timp3/Phox2b/Nrp2/Tgfbr3/Dlg5/Ovol2/Rbm24/Prickle1/Robo1/Shh/Fgf8/Itga4/Wnt4/Pax3/Mdk/Pax1/Zeb2/Meox1/Crb2/Hes1/Hmga2/Ldlrad4/Tgfb2	27
