category	n	pct_of_tested
Gene bodies tested	20969	100
Significant 5mC change (q<0.05)	10775	51.3853784157566
5mC Hypermethylated (mut > ctrl)	7513	35.8290810243693
5mC Hypomethylated (mut < ctrl)	3262	15.5562973913873
Coordinated (mC up / hmC down)	6589	31.4225761838905
Genes with any MeCP2 peak	21195	101.077781486957
Genes with sig MeCP2 change (FDR<0.05)	2570	12.2561877056607
Genes with sig MeCP2 Up	2052	9.78587438599838
mC Hyper + any MeCP2 peak	6862	32.7244980685774
mC Hyper + sig MeCP2 Up	947	4.51619056702752
