mark	decile	group	n	median_fold	mean_fold	se
ATAC	1	Neuronal	242	0.08970553876475	0.152042519904491	0.0228161308024098
ATAC	1	Non-neuronal	1050	0.0802024876075599	0.118256110086198	0.00732335134230039
ATAC	2	Neuronal	243	0.0839721243799509	0.122561028137246	0.0146283362073775
ATAC	2	Non-neuronal	1019	0.0782818280371946	0.10481951204242	0.007119181654695
ATAC	3	Neuronal	240	0.0803677464839261	0.110833237792505	0.0190727547972521
ATAC	3	Non-neuronal	1052	0.0806289913079642	0.107083408383189	0.00686857255016207
ATAC	4	Neuronal	325	0.0844886778400798	0.144794287201118	0.0148401634086859
ATAC	4	Non-neuronal	1049	0.0831328667980616	0.115933113917984	0.00798579483130826
ATAC	5	Neuronal	324	0.0867493005347971	0.140545427378385	0.01618275995058
ATAC	5	Non-neuronal	1073	0.0820271789004006	0.131767674699716	0.00859973262665823
ATAC	6	Neuronal	313	0.101910026393714	0.158956251424731	0.0179874877095843
ATAC	6	Non-neuronal	1122	0.0952898763474556	0.141101064251476	0.00831518786129978
ATAC	7	Neuronal	408	0.096028234534873	0.147649564590602	0.0142236867272402
ATAC	7	Non-neuronal	1093	0.0886103934000942	0.126075822135317	0.00825868131463824
ATAC	8	Neuronal	410	0.117783063181852	0.170246798218973	0.0170661268555733
ATAC	8	Non-neuronal	1114	0.0859055900861484	0.125723558331343	0.00876673733922512
ATAC	9	Neuronal	458	0.131788770441521	0.163193171964888	0.0171542067053557
ATAC	9	Non-neuronal	1106	0.0989222847380027	0.135347457852362	0.00965037583787053
ATAC	10	Neuronal	623	0.217202029409488	0.291992742188672	0.0173045033030209
ATAC	10	Non-neuronal	928	0.14965647678931	0.205094237537831	0.0116803649030397
K27ac	1	Neuronal	159	0.0980240853048223	0.0543018081521726	0.0264105668634787
K27ac	1	Non-neuronal	622	0.0991379610948548	0.0808362887729328	0.0137798745570191
K27ac	2	Neuronal	175	0.0727972205192717	0.0517114243997834	0.0227749774963356
K27ac	2	Non-neuronal	640	0.0819513288196138	0.0500282499585104	0.0123008486791125
K27ac	3	Neuronal	161	0.0376957819771423	-0.00746614711878128	0.0361713052413559
K27ac	3	Non-neuronal	661	0.068476650193241	0.0311279855543262	0.0126865762172389
K27ac	4	Neuronal	206	0.0401542860605495	0.0054225391199687	0.0283711886355049
K27ac	4	Non-neuronal	629	0.0417529867956352	-0.0199231131300944	0.0151618994981606
K27ac	5	Neuronal	222	0.0428300206560303	0.00491399862790688	0.0252122807674068
K27ac	5	Non-neuronal	618	0.0294226746079035	-0.025104553804023	0.0158802878325915
K27ac	6	Neuronal	202	0.013379656479552	-0.0541824695108363	0.0352322762642333
K27ac	6	Non-neuronal	634	0.0126187945420713	-0.0715639902340685	0.0194542469414979
K27ac	7	Neuronal	270	0.0399491417937199	-0.0346553468071214	0.0302644035228602
K27ac	7	Non-neuronal	637	-0.0085153505505206	-0.0967931010057013	0.0209912405467871
K27ac	8	Neuronal	254	0.021874527812841	-0.0329831361131836	0.038672060540802
K27ac	8	Non-neuronal	672	-0.00417310774919168	-0.0874776092042432	0.0200937537204414
K27ac	9	Neuronal	270	0.0169285135108385	-0.0356984907446387	0.0349279487354682
K27ac	9	Non-neuronal	620	-0.0285716923563644	-0.129465409305561	0.0242526238903532
K27ac	10	Neuronal	264	0.0766923423955207	0.0970738817058685	0.0378536284934386
K27ac	10	Non-neuronal	422	-0.0114344893648537	-0.0658421501262455	0.0309895698633042
K27me3	1	Neuronal	20	-0.433143982514939	-0.331168387607641	0.112560919818113
K27me3	1	Non-neuronal	65	-0.0292364552522555	0.00795090141156762	0.087340997581454
K27me3	2	Neuronal	22	-0.0777496212137883	-0.0123358247172587	0.107938241613111
K27me3	2	Non-neuronal	115	-0.100470008307248	-0.0786403960304531	0.046523761020752
K27me3	3	Neuronal	43	-0.172610451781049	-0.135319883522421	0.0635323489980361
K27me3	3	Non-neuronal	151	-0.0493352295095558	0.0215375055497046	0.0556257095389952
K27me3	4	Neuronal	74	-0.136732309596364	-0.0460128852010873	0.0753426176202357
K27me3	4	Non-neuronal	191	-0.065372019092437	0.0533466714679371	0.0476621254409262
K27me3	5	Neuronal	85	-0.19127023233185	-0.190049502792094	0.0528640463711041
K27me3	5	Non-neuronal	253	-0.00731319445429039	0.0766805999056714	0.0416738746516598
K27me3	6	Neuronal	106	-0.0980684863005983	0.0904156502196697	0.0784652366478596
K27me3	6	Non-neuronal	319	-0.0713982652500117	0.0722926587786019	0.0435718001839714
K27me3	7	Neuronal	142	-0.137360771778843	0.0320048231517563	0.0690360989463532
K27me3	7	Non-neuronal	305	-0.0340296160057569	0.148532176039058	0.0471066822860714
K27me3	8	Neuronal	182	-0.0703769367283033	0.182769558988043	0.0681283542914095
K27me3	8	Non-neuronal	351	-0.0554905476312815	0.0623055182493898	0.0387284599574674
K27me3	9	Neuronal	232	-0.0759610691093209	0.0392044453968666	0.0431552776328997
K27me3	9	Non-neuronal	443	-0.0534791574172197	0.0611547084136064	0.0287065810401572
K27me3	10	Neuronal	482	-0.0940065345841838	-0.0365019080783304	0.0232468251909692
K27me3	10	Non-neuronal	588	-0.0947149966419587	0.00516624822773703	0.0254176219388175
