mark	group_a	group_b	n_a	n_b	median_a	median_b	wilcox_p	p_adj
ATAC	Triple overlap	Neuronal only	15	3612	0.0167374727653374	0.106932955525537	0.00505524056369931	0.00649959501047054
ATAC	Triple overlap	Coordinated only	15	4310	0.0167374727653374	0.0638436515846326	0.0639761922594937	0.0719732162919304
ATAC	Triple overlap	Rest of genome	15	6559	0.0167374727653374	0.116437958284318	0.00362782468069494	0.00502314186557761
ATAC	Neuronal only	Coordinated only	3612	4310	0.106932955525537	0.0638436515846326	1.16991305869459e-83	1.05292175282513e-82
ATAC	Neuronal only	Rest of genome	3612	6559	0.106932955525537	0.116437958284318	0.0967820314640191	0.102475092138373
ATAC	Coordinated only	Rest of genome	4310	6559	0.0638436515846326	0.116437958284318	9.72348432878595e-134	1.75022717918147e-132
K27ac	Triple overlap	Neuronal only	14	2196	-0.518191571464854	0.0469174733765842	0.000132375073657273	0.000297843915728863
K27ac	Triple overlap	Coordinated only	14	3429	-0.518191571464854	0.0192362719664731	0.000419503486412793	0.000686460250493661
K27ac	Triple overlap	Rest of genome	14	2853	-0.518191571464854	0.0766381767355143	8.98729411300769e-05	0.000231101848620198
K27ac	Neuronal only	Coordinated only	2196	3429	0.0469174733765842	0.0192362719664731	2.41206673651796e-12	7.23620020955387e-12
K27ac	Neuronal only	Rest of genome	2196	2853	0.0469174733765842	0.0766381767355143	0.00080266350492103	0.00120399525738155
K27ac	Coordinated only	Rest of genome	3429	2853	0.0192362719664731	0.0766381767355143	2.98863111972513e-30	1.07590720310105e-29
K27me3	Triple overlap	Neuronal only	6	1385	2.14884248394889	-0.103494522226695	0.000276224549969612	0.000497204189945301
K27me3	Triple overlap	Coordinated only	6	481	2.14884248394889	0.236618741783609	0.00696305818036478	0.00835566981643774
K27me3	Triple overlap	Rest of genome	6	2308	2.14884248394889	-0.100782430162199	0.000265592843279199	0.000497204189945301
K27me3	Neuronal only	Coordinated only	1385	481	-0.103494522226695	0.236618741783609	1.56658170125541e-46	7.04961765564934e-46
K27me3	Neuronal only	Rest of genome	1385	2308	-0.103494522226695	-0.100782430162199	0.703205312964885	0.703205312964885
K27me3	Coordinated only	Rest of genome	481	2308	0.236618741783609	-0.100782430162199	4.35966555206787e-55	2.61579933124072e-54
