metric	gene_class	n	mean	median
MeCP2 fold	Synapse/axon	17	0.638335497054892	0.440779576067772
MeCP2 fold	Broader neuronal	8	0.851864181323603	0.954529940632171
MeCP2 fold	Non-neuronal	47	0.728372264069612	0.65357747397222
K119ub log2FC	Synapse/axon	17	0.440825	0.413917
K119ub log2FC	Broader neuronal	8	0.593651375	0.5240265
K119ub log2FC	Non-neuronal	47	0.807405744680851	0.802676
5mC diff	Synapse/axon	17	0.0417354114874903	0.0329149367253684
5mC diff	Broader neuronal	8	0.0468693064567322	0.0384098387073298
5mC diff	Non-neuronal	47	0.0557817802950299	0.0410307049998834
5hmC diff	Synapse/axon	17	-0.0200572422375671	-0.018213570919368
5hmC diff	Broader neuronal	8	-0.0225079634994981	-0.0259680888290135
5hmC diff	Non-neuronal	47	-0.0160180655797259	-0.0112052711172921
K27me3 fold	Synapse/axon	8	0.70480724894334	0.00181250193630743
K27me3 fold	Broader neuronal	5	2.01425981083768	2.67703053297392
K27me3 fold	Non-neuronal	4	0.790510931148202	0.73259130703291
K27ac fold	Synapse/axon	13	-0.436943906467972	-0.11627922465245
K27ac fold	Broader neuronal	6	-0.613721513187349	-0.424982876102175
K27ac fold	Non-neuronal	37	-0.927689167389988	-0.925630542209818
K119ub DiffBind	Synapse/axon	16	0.633473766909112	0.618094742204413
K119ub DiffBind	Broader neuronal	7	0.405781458350837	0.388004383546054
K119ub DiffBind	Non-neuronal	40	0.867982935471564	0.879444734737409
ATAC fold	Synapse/axon	17	0.117357218392508	0.0744108355785561
ATAC fold	Broader neuronal	6	-0.0934032824365259	-0.0675079002632003
ATAC fold	Non-neuronal	43	-0.0703248326404073	-0.0266320853005566
