Gene_Name	mean_ctrl_pc1	mean_mut_pc1	n_bins	ctrl_label	mc_diff	mc_sig	mc_direction	hmc_diff	hmc_sig	hmc_direction
0610040J01Rik	-0.895833333333335	-0.975500000000001	2	B.2	-0.0147585280320162	TRUE	Hypomethylated	0.00513643863186417	TRUE	Hypermethylated
1110002E22Rik	1.63133333333333	1.62733333333333	1	A.1	-0.0115823910944359	FALSE	Hypomethylated	0.00118158409637498	FALSE	Hypermethylated
1110004F10Rik	0.6655	0.783333333333333	2	B.1	0.00876479388734297	TRUE	Hypermethylated	-0.00288357532489843	FALSE	Hypomethylated
1110032F04Rik	0.123333333333333	0.148444444444444	3	B.1	-0.0286657822688701	FALSE	Hypomethylated	0.0193618785540773	FALSE	Hypermethylated
1110038F14Rik	1.46733333333333	1.44733333333333	1	A.1	0.0338685892985557	FALSE	Hypermethylated	-0.00691498938477153	FALSE	Hypomethylated
1110059E24Rik	1.17333333333333	1.058	1	A.1	0.0405534839634105	TRUE	Hypermethylated	-0.0379783402117584	TRUE	Hypomethylated
1110059G10Rik	0.675	0.469333333333333	1	A.1	0.0202977526326662	FALSE	Hypermethylated	-0.00573169973229094	FALSE	Hypomethylated
1190005I06Rik	1.615	1.634	1	A.1	-0.0131913284317379	TRUE	Hypomethylated	0.00672942292290674	FALSE	Hypermethylated
1500009L16Rik	1.24266666666666	1.34644444444445	3	A.1	-0.00160626803010322	FALSE	Hypomethylated	0.012559110825439	TRUE	Hypermethylated
1500011B03Rik	1.35266666666667	1.33366666666667	1	A.1	0.0486209412835271	TRUE	Hypermethylated	-0.0231333815003732	TRUE	Hypomethylated
1600014C10Rik	1.12133333333333	1.01733333333333	1	A.1	0.0586341861139184	TRUE	Hypermethylated	-0.0185889291059423	TRUE	Hypomethylated
1700001F09Rik	-1.13233333333333	-1.213	1	B.2	-0.0165622602620117	FALSE	Hypomethylated	0.00293141768327399	FALSE	Hypermethylated
1700001K19Rik	1.50633333333333	1.41866666666667	1	A.1	0.0221956173654407	TRUE	Hypermethylated	-0.0215130810387609	TRUE	Hypomethylated
1700003H04Rik	-1.09324242424242	-1.19390909090909	11	B.2	-0.00788975415031423	FALSE	Hypomethylated	0.00755354809597074	TRUE	Hypermethylated
1700006A11Rik	-0.765666666666667	-0.989666666666667	1	B.2	-0.00230036701285863	FALSE	Hypomethylated	0.00206852352539726	FALSE	Hypermethylated
1700008O03Rik	1.18233333333333	1.04966666666667	1	A.1	-0.00294252227032588	FALSE	Hypomethylated	0.00404399204082177	FALSE	Hypermethylated
1700008P02Rik	-1.05742592592593	-1.11664814814815	18	B.2	-0.00905244596809829	FALSE	Hypomethylated	-0.00116544023859456	FALSE	Hypomethylated
1700009N14Rik	-1.16047222222222	-1.02030555555555	12	B.2	0.0066300695165944	FALSE	Hypermethylated	-0.00511180042253491	FALSE	Hypomethylated
1700010B08Rik	0.441666666666667	0.337666666666667	1	A.2	-0.0202841743195137	FALSE	Hypomethylated	-0.00284539614886908	FALSE	Hypomethylated
1700010I14Rik	0.776916666666667	0.784250000000001	4	A.1	-0.0046202218339928	FALSE	Hypomethylated	-0.000810398831288611	FALSE	Hypomethylated
1700011L22Rik	1.189	1.03026666666667	5	A.1	0.0106158822583213	TRUE	Hypermethylated	0.00626333387536795	FALSE	Hypermethylated
1700012A03Rik	0.28025	0.77025	8	B.1	-0.00333158547399615	FALSE	Hypomethylated	0.0310112797148558	TRUE	Hypermethylated
1700012B09Rik	-0.234	-0.396	1	B.1	-0.0067365163676274	FALSE	Hypomethylated	-0.00178671816831613	FALSE	Hypomethylated
1700017B05Rik	0.702166666666665	0.895333333333332	2	B.1	-0.0252713653390511	TRUE	Hypomethylated	0.00758231183058466	FALSE	Hypermethylated
1700017N19Rik	-0.330555555555556	-0.415333333333333	3	B.2	0.0133544142840057	TRUE	Hypermethylated	0.00186165199824236	FALSE	Hypermethylated
1700018B08Rik	0.720866666666667	1.04933333333333	5	A.2	-0.00148632650116243	FALSE	Hypomethylated	-0.00248425727021831	FALSE	Hypomethylated
1700019A02Rik	0.322	-0.00333333333333335	2	A.1	0.0226803104872516	TRUE	Hypermethylated	-0.0214100573444768	TRUE	Hypomethylated
1700019D03Rik	0.833	0.915	4	A.1	0.0202343810969583	TRUE	Hypermethylated	0.00753689579154349	TRUE	Hypermethylated
1700020N01Rik	-0.391916666666666	-0.396416666666667	4	B.1	0.00349404627188354	FALSE	Hypermethylated	0.00220231445940061	FALSE	Hypermethylated
1700020N15Rik	0.154133333333333	0.236433333333333	10	NA	0.0225554203894996	FALSE	Hypermethylated	-0.000623595287917535	FALSE	Hypomethylated
1700024G13Rik	1.05466666666667	1.279	1	A.1	-0.000907634546384539	FALSE	Hypomethylated	0.00697714300733182	FALSE	Hypermethylated
1700025C18Rik	1.508	1.445	1	A.1	-0.0236697280271946	TRUE	Hypomethylated	0.012731495285646	TRUE	Hypermethylated
