category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Metabolism	Glycan biosynthesis and metabolism	mmu00512	Mucin type O-glycan biosynthesis	2/27	32/11156	0.0625	25.8240740740741	6.92637746899677	0.00267542149518784	0.178081658145965	0.170914284907892	212996/270049	2
Metabolism	Glycan biosynthesis and metabolism	mmu00514	Other types of O-glycan biosynthesis	2/27	45/11156	0.0444444444444444	18.3637860082305	5.74860814936688	0.00523769582782251	0.178081658145965	0.170914284907892	212996/270049	2
Environmental Information Processing	Signal transduction	mmu04014	Ras signaling pathway	3/27	237/11156	0.0126582278481013	5.23019221753399	3.24213757952001	0.0190147583751245	0.386677661163641	0.371114783160151	14389/66922/22341	3
Human Diseases	Endocrine and metabolic disease	mmu04933	AGE-RAGE signaling pathway in diabetic complications	2/27	101/11156	0.0198019801980198	8.18188485515218	3.57115211486151	0.0245893132132949	0.386677661163641	0.371114783160151	50490/22341	2
Metabolism	Metabolism of cofactors and vitamins	mmu00785	Lipoic acid metabolism	1/27	19/11156	0.0526315789473684	21.7465886939571	4.45787601913604	0.0450317529989657	0.386677661163641	0.371114783160151	12040	1
Metabolism	Glycan biosynthesis and metabolism	mmu00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1/27	21/11156	0.0476190476190476	19.6754850088183	4.21915056835571	0.0496567045381878	0.386677661163641	0.371114783160151	234356	1
Environmental Information Processing	Signal transduction	mmu04072	Phospholipase D signaling pathway	2/27	149/11156	0.0134228187919463	5.54610986825752	2.75161188417194	0.0500246359573501	0.386677661163641	0.371114783160151	14389/66922	2
NA	NA	mmu04518	Integrin signaling	2/27	153/11156	0.0130718954248366	5.40111353183249	2.6998605243627	0.05244723537948	0.386677661163641	0.371114783160151	57342/22341	2
Cellular Processes	Transport and catabolism	mmu04140	Autophagy - animal	2/27	167/11156	0.0119760479041916	4.94832557108006	2.53209912755154	0.061249704780229	0.386677661163641	0.371114783160151	78610/66922	2
Metabolism	Carbohydrate metabolism	mmu00640	Propanoate metabolism	1/27	31/11156	0.032258064516129	13.3285543608124	3.38556837884197	0.0724597946943619	0.386677661163641	0.371114783160151	12040	1
Metabolism	Global and overview maps	mmu01210	2-Oxocarboxylic acid metabolism	1/27	34/11156	0.0294117647058824	12.1525054466231	3.20781309060618	0.0791973484848173	0.386677661163641	0.371114783160151	12040	1
Metabolism	Carbohydrate metabolism	mmu00500	Starch and sucrose metabolism	1/27	35/11156	0.0285714285714286	11.805291005291	3.15345884622405	0.0814327082754045	0.386677661163641	0.371114783160151	70974	1
Cellular Processes	Cellular community - eukaryotes	mmu04510	Focal adhesion	2/27	202/11156	0.0099009900990099	4.09094242757609	2.18357860563739	0.0852380504117221	0.386677661163641	0.371114783160151	57342/22341	2
Metabolism	Glycan biosynthesis and metabolism	mmu00513	Various types of N-glycan biosynthesis	1/27	44/11156	0.0227272727272727	9.39057239057239	2.7466948216335	0.10131717691372	0.386677661163641	0.371114783160151	80286	1
Metabolism	Carbohydrate metabolism	mmu00620	Pyruvate metabolism	1/27	44/11156	0.0227272727272727	9.39057239057239	2.7466948216335	0.10131717691372	0.386677661163641	0.371114783160151	109264	1
Metabolism	Amino acid metabolism	mmu00330	Arginine and proline metabolism	1/27	54/11156	0.0185185185185185	7.65157750342935	2.41329005052306	0.122924859210657	0.386677661163641	0.371114783160151	320452	1
Metabolism	Glycan biosynthesis and metabolism	mmu00510	N-Glycan biosynthesis	1/27	55/11156	0.0181818181818182	7.51245791245791	2.38470038182342	0.125057900896957	0.386677661163641	0.371114783160151	80286	1
Metabolism	Lipid metabolism	mmu00600	Sphingolipid metabolism	1/27	56/11156	0.0178571428571429	7.37830687830688	2.35682063976988	0.127185946719476	0.386677661163641	0.371114783160151	66190	1
Metabolism	Nucleotide metabolism	mmu00240	Pyrimidine metabolism	1/27	57/11156	0.0175438596491228	7.2488628979857	2.32962005594686	0.129309007930159	0.386677661163641	0.371114783160151	320685	1
Metabolism	Amino acid metabolism	mmu00280	Valine, leucine and isoleucine degradation	1/27	57/11156	0.0175438596491228	7.2488628979857	2.32962005594686	0.129309007930159	0.386677661163641	0.371114783160151	12040	1
Cellular Processes	Transport and catabolism	mmu04144	Endocytosis	2/27	268/11156	0.00746268656716418	3.08347153123273	1.70047209578113	0.136517996730617	0.386677661163641	0.371114783160151	52348/234353	2
Human Diseases	Endocrine and metabolic disease	mmu04940	Type I diabetes mellitus	1/27	65/11156	0.0153846153846154	6.35669515669516	2.13332417938025	0.146115393817069	0.386677661163641	0.371114783160151	12876	1
Organismal Systems	Immune system	mmu04664	Fc epsilon RI signaling pathway	1/27	66/11156	0.0151515151515152	6.26038159371493	2.11111573320701	0.148194095860792	0.386677661163641	0.371114783160151	14389	1
Environmental Information Processing	Signal transduction	mmu04010	MAPK signaling pathway	2/27	299/11156	0.00668896321070234	2.76378050291094	1.52269811801951	0.162578302598291	0.386677661163641	0.371114783160151	66922/22341	2
Metabolism	Metabolism of other amino acids	mmu00480	Glutathione metabolism	1/27	73/11156	0.0136986301369863	5.66007102993404	1.96749618073643	0.162609167956547	0.386677661163641	0.371114783160151	14782	1
Organismal Systems	Endocrine system	mmu04918	Thyroid hormone synthesis	1/27	74/11156	0.0135135135135135	5.58358358358358	1.9485005846458	0.164649188931479	0.386677661163641	0.371114783160151	14782	1
Human Diseases	Cancer: specific types	mmu05220	Chronic myeloid leukemia	1/27	76/11156	0.0131578947368421	5.43664717348928	1.91152686796984	0.168714883112843	0.386677661163641	0.371114783160151	14389	1
Metabolism	Carbohydrate metabolism	mmu00562	Inositol phosphate metabolism	1/27	77/11156	0.012987012987013	5.36604136604137	1.89352710266264	0.170740577892261	0.386677661163641	0.371114783160151	54384	1
Human Diseases	Drug resistance: antineoplastic	mmu01521	EGFR tyrosine kinase inhibitor resistance	1/27	80/11156	0.0125	5.16481481481482	1.84135622246852	0.176789181933218	0.386677661163641	0.371114783160151	211323	1
Metabolism	Global and overview maps	mmu01232	Nucleotide metabolism	1/27	84/11156	0.0119047619047619	4.91887125220459	1.77572700066645	0.184787932296373	0.386677661163641	0.371114783160151	320685	1
