Region	Modification	Run	Significant	Total	Percentage
Gene bodies	5mC	No Sex Cov (run-4)	10765	20969	51.3376889694311
Gene bodies	5mC	Sex Cov (run-5)	10775	20969	51.3853784157566
Gene bodies	5hmC	No Sex Cov (run-4)	11465	20969	54.675950212218
Gene bodies	5hmC	Sex Cov (run-5)	11484	20969	54.7665601602365
CpG islands	5mC	No Sex Cov (run-4)	1	1	100
CpG islands	5mC	Sex Cov (run-5)	1	1	100
CpG islands	5hmC	No Sex Cov (run-4)	1	1	100
CpG islands	5hmC	Sex Cov (run-5)	1	1	100
CpG shores	5mC	No Sex Cov (run-4)	1	1	100
CpG shores	5mC	Sex Cov (run-5)	1	1	100
CpG shores	5hmC	No Sex Cov (run-4)	1	1	100
CpG shores	5hmC	Sex Cov (run-5)	1	1	100
CpG shelves	5mC	No Sex Cov (run-4)	1	1	100
CpG shelves	5mC	Sex Cov (run-5)	1	1	100
CpG shelves	5hmC	No Sex Cov (run-4)	1	1	100
CpG shelves	5hmC	Sex Cov (run-5)	1	1	100
Promoters	5mC	No Sex Cov (run-4)	1700	20395	8.33537631772493
Promoters	5mC	Sex Cov (run-5)	1692	20395	8.29615101740623
Promoters	5hmC	No Sex Cov (run-4)	437	20395	2.14268202990929
Promoters	5hmC	Sex Cov (run-5)	430	20395	2.10835989213042
TSS regions	5mC	No Sex Cov (run-4)	195	14154	1.37770241627808
TSS regions	5mC	Sex Cov (run-5)	192	14154	1.35650699448919
TSS regions	5hmC	No Sex Cov (run-4)	32	14154	0.226084499081532
TSS regions	5hmC	Sex Cov (run-5)	31	14154	0.219019358485234
