term	estimate	or	or_lower	or_upper	p_value	model	standardized_beta	standardized_se
(Intercept)	-2.14726147978031	0.116803589179885	0.0662456064354639	0.205946917530212	1.16358389363118e-13	Full	0.058539853191582	0.0241255693475563
k119ub	-0.878074051286453	0.415582532063491	0.386580111800924	0.446760802442009	4.27407852930908e-125	Full	-1.04905932630743	0.0440972963486263
atac_count	-0.0238387321344388	0.976443165966472	0.96296877956855	0.990106093356223	0.000772552091491437	Full	-0.104618311741778	0.0311137513949044
cpg_density	24.8399246584978	61353905075.9774	10694.8045882469	351974796454797632	0.00175764259730723	Full	0.0819900645664465	0.0262083543805595
baseline_mc	0.670315397626971	1.95485377965915	1.23068841508865	3.10513469778002	0.00452335978493715	Full	0.106823212121539	0.0376250410032451
baseline_hmc	17.4798258269921	39029402.3707869	13452331.6188456	113236447.969122	5.63963445338139e-227	Full	1.25057903448455	0.0388814051675183
log_gene_length	-0.43194010425255	0.649248262730558	0.566474354394135	0.74411719328315	5.38659913528821e-10	Full	-0.2420714422565	0.0389971924143815
log_expression	0.952719463067715	2.5927509711925	2.35690981150748	2.85219127426858	2.29569901279115e-85	Full	0.749163908306879	0.0382619294405008
(Intercept)	0.557070274654993	1.74555101663469	1.53388666235388	1.98642339519308	3.00225989947284e-17	DNMT3A recruitment	0.0249250987300112	0.0198017675350031
k119ub	-0.779864970028349	0.458467914035203	0.434136454909441	0.484163045565099	7.03339077829393e-173	DNMT3A recruitment	-0.931726223853311	0.0332405008111655
atac_count	0.100343071907911	1.10555013621691	1.09335027062047	1.11788613085137	2.75770191290334e-70	DNMT3A recruitment	0.440364140122362	0.0248462242782537
cpg_density	10.0011964729388	22052.8356373231	0.139069315782253	3497015548.76599	0.101620334500049	DNMT3A recruitment	0.0330113217262696	0.0201651457342491
(Intercept)	-2.40643691396467	0.0901358850005628	0.0807486811832818	0.100614370981414	0	TET impediment	0.157616083359768	0.0213049786204652
baseline_hmc	18.4327700232668	101216265.001979	46087457.0113758	222288947.260035	0	TET impediment	1.31875660356848	0.0287174179456414
atac_count	-0.0447106006084032	0.956274186959927	0.946198450850024	0.966457216056904	1.30563964255514e-16	TET impediment	-0.196216288946617	0.0237174986296345
(Intercept)	0.861187117147017	2.36596770808425	2.21247278271602	2.53011166484299	9.97915126252991e-140	K119ub only	0.0336741473798035	0.0193083792368473
k119ub	-0.631210106114883	0.53194769820673	0.50726188605617	0.557834841145754	1.96328321313071e-149	K119ub only	-0.754124151270817	0.0289652174844507
(Intercept)	-2.14726147978031	0.116803589179885	0.0662456064354639	0.205946917530212	1.16358389363118e-13	Stepwise	0.058539853191582	0.0241255693475563
k119ub	-0.878074051286453	0.415582532063491	0.386580111800924	0.446760802442009	4.27407852930908e-125	Stepwise	-1.04905932630743	0.0440972963486263
atac_count	-0.0238387321344388	0.976443165966472	0.96296877956855	0.990106093356223	0.000772552091491437	Stepwise	-0.104618311741778	0.0311137513949044
cpg_density	24.8399246584978	61353905075.9774	10694.8045882469	351974796454797632	0.00175764259730723	Stepwise	0.0819900645664465	0.0262083543805595
baseline_mc	0.670315397626971	1.95485377965915	1.23068841508865	3.10513469778002	0.00452335978493715	Stepwise	0.106823212121539	0.0376250410032451
baseline_hmc	17.4798258269921	39029402.3707869	13452331.6188456	113236447.969122	5.63963445338139e-227	Stepwise	1.25057903448455	0.0388814051675183
log_gene_length	-0.43194010425255	0.649248262730558	0.566474354394135	0.74411719328315	5.38659913528821e-10	Stepwise	-0.2420714422565	0.0389971924143815
log_expression	0.952719463067715	2.5927509711925	2.35690981150748	2.85219127426858	2.29569901279115e-85	Stepwise	0.749163908306879	0.0382619294405008
