model	stratum	n_genes	n_hyper	auc	auc_ci_lower	auc_ci_upper	aic	mcfadden_r2
Full	All genes	11936	5518	0.856565261190583	0.849860045174894	0.863270477206262	11466.9545463269	0.305113431048978
DNMT3A recruitment	All genes	11936	5518	0.692649744494663	0.683290058995778	0.702009429993541	15190.131955865	0.0786916897197198
TET impediment	All genes	11936	5518	0.79293710117352	0.784997149057767	0.80087705328927	13356.2073451145	0.189859697783269
K119ub only	All genes	11936	5518	0.64471390325619	0.634913378577536	0.654514427934843	15656.5304215889	0.0501461589026815
Stepwise	All genes	11936	5518	0.85664257410321	0.849939047747872	0.863346100458553	11465.1209972614	0.305103330186355
Full	Non-promoter	6596	1945	0.867501198017507	0.858057116164158	0.87694527987086	5527.04577316493	0.311155188886014
DNMT3A recruitment	Non-promoter	6596	1945	0.714868295454609	0.701510050769207	0.728226540140009	7337.7104507871	0.0838339547862171
TET impediment	Non-promoter	6596	1945	0.790053663446342	0.778597035142019	0.801510291750669	6647.26865579954	0.169884693203299
K119ub only	Non-promoter	6596	1945	0.68204361060092	0.668186138995277	0.695901082206565	7510.81135003213	0.0616974963879597
Stepwise	Non-promoter	6596	1945	0.867326096773288	0.857885114113821	0.876767079432748	5526.00152884935	0.311035725653263
