ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006119	oxidative phosphorylation	46/1938	154/28832	0.298701298701299	4.4438368648895	11.5029051843264	2.26253338885148e-18	1.31475815226159e-14	1.00504114746876e-14	Cox6b2/Uqcc3/Ndufb7/Cox8a/Dnajc30/Cox6a1/Ndufc2/Ndufb4/Ndufa2/Apoc3/Cox7c/Uqcr11/Coa6/Ak4/Snca/Bdnf/Uqcc2/Ndufa5/Cox7a1/Ndufv3/Ndufa6/Cox7b/Atp5pb/Ndufb3/Cox5b/Cox4i1/Cox7a2/Cox7a2l/Ndufa3/Ndufs5/Chchd10/Cox5a/Ndufb9/Ndufs6/Uqcrfs1/Ndufa7/Sdhb/Ndufs8/Ndufv2/Dguok/Cycs/Cox6b1/Ndufb2/Ndufb8/Ndufs4/Cyc1	46
GO:0009060	aerobic respiration	53/1938	206/28832	0.257281553398058	3.82762732072901	10.933381066457	9.17961180480205e-18	2.66713620988524e-14	2.03884009559288e-14	Cox6b2/Uqcc3/Bloc1s1/Ndufb7/Cox8a/Dnajc30/Cox6a1/Ndufc2/Ndufb4/Ndufa2/Apoc3/Cox7c/Uqcr11/Coa6/Ak4/Snca/Bdnf/Uqcc2/Ndufa5/Aco2/Cox7a1/Ndufv3/Ndufa6/Cox7b/Atp5pb/Ndufb3/Cox5b/Cox4i1/Pdhb/Cox7a2/Cox7a2l/Ndufa3/Ndufs5/Chchd10/Cox5a/Mfn2/Ndufb9/Ndufs6/Mdh1/Uqcrfs1/Ndufa7/Sdhb/Ndufs8/Ndufv2/Idh3b/Dguok/Cycs/Ndp/Cox6b1/Ndufb2/Ndufb8/Ndufs4/Cyc1	53
GO:0007005	mitochondrion organization	88/1938	498/28832	0.176706827309237	2.62890157119707	9.84316143583946	5.93332853214832e-17	1.11217955672871e-13	8.50183903376564e-14	Ier3/Higd2a/Gclm/Mcu/Hmgcl/Uqcc3/Ndufb7/Ndufc2/Ndufb4/Ndufa2/Nptx1/Timm29/Cox14/Jun/Tmem126a/Bad/Triap1/Micos13/Endog/Gdap1/Romo1/Surf1/Ndufaf3/Marcks/Snca/Bcl2l1/Uqcc2/Ndufa5/Sharpin/Bnip3l/Cox7a1/Bcl2l2/Tomm22/Pet117/Cntnap1/Ppm1k/Lyrm2/Stat2/Dynlt1c/Rnf7/Ndufa6/Opa3/Rab5if/Pld6/Ndufb3/Micu1/Rap1gds1/Dynlt1b/Fmc1/Slc25a36/Tmem70/Fundc1/Cox7a2/Timm9/Mul1/Sdhaf1/Moap1/Cox7a2l/Usp30/Ndufa3/Ndufs5/Chchd10/Tmem11/Micos10/Lonp1/Mfn2/Atg3/Dynlt1a/Atf2/Golph3/Cox18/Ndufb9/Ndufs6/Prdx3/Armcx3/Ctcf/Mfsd14a/Trabd/Nme3/Ndufs8/Gsk3a/Mtx2/Ndufb2/Akt3/Ndufb8/Mief1/Tfam/Ndufs4	88
GO:0006091	generation of precursor metabolites and energy	88/1938	500/28832	0.176	2.61838596491228	9.79958147863586	7.65568443798802e-17	1.11217955672871e-13	8.50183903376564e-14	Ier3/Cox6b2/Hmgcl/Ndor1/Uqcc3/Bloc1s1/Thap11/Ndufb7/Cox8a/Dnajc30/Cox6a1/Ndufc2/Ndufb4/Galt/Ndufa2/Gapdh/Eno2/Apoc3/Cox7c/Epm2aip1/Jmjd8/Mt3/Uqcr11/Phlda2/Coa6/Ak4/H6pd/Snca/Bdnf/Zbtb20/Uqcc2/Ndufa5/Aco2/Cox7a1/Irs2/Ndufv3/Chchd5/Mlst8/Ddit4/Ndufa6/Mtln/Atg12/Cox7b/Cisd1/Atp5pb/Aldoa/Ndufb3/Nr1d1/Dgat1/Hmgcll1/Tpi1/Cox5b/Cox4i1/Pdhb/Cox7a2/Cox7a2l/Ndufa3/Ndufs5/Chchd10/Gpd1/Cox5a/Hif1a/Mfn2/Atg3/Ndufb9/Ndufs6/Ptges3/Mdh1/Stk40/Bpgm/Uqcrfs1/Oxct1/Ndufa7/Sdhb/Ndufs8/Gsk3a/Ppp1r2/Ndufv2/Cxxc5/Idh3b/Dguok/Cycs/Ndp/Cox6b1/Ndufb2/Ndufb8/Ndufs4/Cyc1	88
GO:0045333	cellular respiration	56/1938	261/28832	0.21455938697318	3.19204140619749	9.54960318356794	6.44353534048361e-15	7.48867677271005e-12	5.72457244986123e-12	Cox6b2/Uqcc3/Bloc1s1/Ndufb7/Cox8a/Dnajc30/Cox6a1/Ndufc2/Ndufb4/Ndufa2/Apoc3/Cox7c/Uqcr11/Coa6/Ak4/Snca/Bdnf/Uqcc2/Ndufa5/Aco2/Cox7a1/Ndufv3/Chchd5/Ndufa6/Mtln/Cox7b/Cisd1/Atp5pb/Ndufb3/Cox5b/Cox4i1/Pdhb/Cox7a2/Cox7a2l/Ndufa3/Ndufs5/Chchd10/Cox5a/Mfn2/Ndufb9/Ndufs6/Mdh1/Uqcrfs1/Ndufa7/Sdhb/Ndufs8/Ndufv2/Idh3b/Dguok/Cycs/Ndp/Cox6b1/Ndufb2/Ndufb8/Ndufs4/Cyc1	56
GO:0015980	energy derivation by oxidation of organic compounds	67/1938	371/28832	0.180592991913747	2.68671679197995	8.7777475207564	1.08403658796191e-13	1.04988943544111e-10	8.02567438806888e-11	Cox6b2/Uqcc3/Bloc1s1/Ndufb7/Cox8a/Dnajc30/Cox6a1/Ndufc2/Ndufb4/Ndufa2/Apoc3/Cox7c/Epm2aip1/Mt3/Uqcr11/Phlda2/Coa6/Ak4/Snca/Bdnf/Uqcc2/Ndufa5/Aco2/Cox7a1/Irs2/Ndufv3/Chchd5/Ndufa6/Mtln/Atg12/Cox7b/Cisd1/Atp5pb/Ndufb3/Nr1d1/Cox5b/Cox4i1/Pdhb/Cox7a2/Cox7a2l/Ndufa3/Ndufs5/Chchd10/Cox5a/Mfn2/Atg3/Ndufb9/Ndufs6/Ptges3/Mdh1/Stk40/Uqcrfs1/Ndufa7/Sdhb/Ndufs8/Gsk3a/Ppp1r2/Ndufv2/Idh3b/Dguok/Cycs/Ndp/Cox6b1/Ndufb2/Ndufb8/Ndufs4/Cyc1	67
GO:0042775	mitochondrial ATP synthesis coupled electron transport	28/1938	81/28832	0.345679012345679	5.1427333766515	10.022638227915	1.64974118512633e-13	1.36952086096702e-10	1.04690342875686e-10	Uqcc3/Cox8a/Cox6a1/Ndufc2/Cox7c/Uqcr11/Coa6/Snca/Bdnf/Cox7a1/Ndufv3/Cox7b/Cox5b/Cox4i1/Cox7a2/Cox7a2l/Cox5a/Ndufb9/Ndufs6/Uqcrfs1/Ndufa7/Sdhb/Ndufs8/Ndufv2/Dguok/Cycs/Ndufb8/Cyc1	28
GO:0006887	exocytosis	69/1938	397/28832	0.173803526448363	2.58570860400371	8.54025933780026	3.15472924977125e-13	2.13931773136524e-10	1.63535958596877e-10	Syt1/Syn2/Syt4/Exoc3l/Vamp2/Pram1/Exph5/Wipf3/Pla2g3/Cdk5r2/Lin7c/Lyn/Stxbp5l/Sdcbp/Gnai2/Cplx2/Lgi3/Fbxo45/Rims3/Napb/Syt12/Rab33b/Arhgap17/Snca/Bcl2l1/Ctbp2/Rims2/Sphk2/Lin7b/Rab27a/Scrn1/Arl8b/Pfn2/Doc2g/Orai1/Rab9/Cdk16/Exoc8/Ywhaz/Prrt2/Rab11a/Vsnl1/Tmed10/Sv2b/Rab3d/Tmem167b/Napa/Scamp1/Rab40c/Rapgef4/Syt9/Pi4k2a/Rab7/Syt13/Vamp3/Atp2a2/Crhr1/Rab15/Arf1/Osbpl2/Il1rapl1/Snap25/Cbl/Rab3c/Rab11fip5/Rab11fip2/Ykt6/Smcr8/Rab37	69
GO:0042773	ATP synthesis coupled electron transport	28/1938	83/28832	0.337349397590361	5.01881209046713	9.84247712339303	3.31334702844384e-13	2.13931773136524e-10	1.63535958596877e-10	Uqcc3/Cox8a/Cox6a1/Ndufc2/Cox7c/Uqcr11/Coa6/Snca/Bdnf/Cox7a1/Ndufv3/Cox7b/Cox5b/Cox4i1/Cox7a2/Cox7a2l/Cox5a/Ndufb9/Ndufs6/Uqcrfs1/Ndufa7/Sdhb/Ndufs8/Ndufv2/Dguok/Cycs/Ndufb8/Cyc1	28
GO:0022900	electron transport chain	33/1938	114/28832	0.289473684210526	4.30655586334257	9.49577102148226	3.69982487621016e-13	2.14996823556573e-10	1.64350115553757e-10	Ndor1/Uqcc3/Thap11/Cox8a/Cox6a1/Ndufc2/Cox7c/Uqcr11/Coa6/Snca/Bdnf/Ndufa5/Cox7a1/Ndufv3/Cox7b/Ndufb3/Cox5b/Cox4i1/Cox7a2/Cox7a2l/Cox5a/Ndufb9/Ndufs6/Uqcrfs1/Ndufa7/Sdhb/Ndufs8/Ndufv2/Dguok/Cycs/Ndufb8/Ndufs4/Cyc1	33
