Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
D10 (Most TET-impaired)	Environmental Information Processing	Signaling molecules and interaction	mmu04080	Neuroactive ligand-receptor interaction	96/804	392/11035	0.244897959183673	3.36125494974109	13.3441020805697	1.70505623339841e-27	5.57553388321279e-25	4.37930232578117e-25	381677/108068/94226/237213/213788/21336/320343/17199/19222/11438/14599/69462/14812/57249/12671/19111/11609/21333/16644/239336/216749/108073/11548/217674/11550/11540/13611/15465/19228/243764/11607/18166/100043254/26361/230777/20609/11541/14061/18216/223780/504186/11549/19065/19773/14802/15550/208990/16995/14395/64095/12918/108015/13488/54140/21334/20607/110637/12424/14427/18442/14803/18610/11554/226304/13035/170732/382348/22044/19109/22353/11516/15563/100312987/217212/212108/53978/231602/14807/18441/14799/22354/503558/11448/23936/20604/12061/18976/14765/435207/13491/14428/381073/20608/623503/18429/209517	96
D10 (Most TET-impaired)	NA	NA	mmu04382	Cornified envelope formation	51/804	221/11035	0.230769230769231	3.16733639494834	9.12356877129248	6.60992246736921e-14	1.08072232341487e-11	8.48853201072678e-12	114141/18772/20197/12826/16672/74591/71888/16782/239673/69514/16663/16678/16682/20200/406219/12827/77055/16664/105866/13505/66203/545975/70843/621628/14027/20193/16665/16691/53617/74127/20194/16671/406221/72930/223915/21872/12737/406220/69520/110310/110308/16673/76585/94060/75677/57255/67855/99681/12739/229562/67718	51
D10 (Most TET-impaired)	NA	NA	mmu04082	Neuroactive ligand signaling	45/804	196/11035	0.229591836734694	3.15117651538227	8.51814340770556	2.4745646232237e-12	2.69727543931384e-10	2.11857462479503e-10	108068/213788/21336/20508/11438/14812/57249/12671/21333/18795/20538/108073/11548/11550/11540/15465/243764/11541/243616/242607/11549/14802/14709/15550/14395/108015/12647/64337/13488/21334/14706/110637/104245/18442/18610/11554/15563/232333/231602/14807/18441/14799/18976/13491/22348	45
D10 (Most TET-impaired)	NA	NA	mmu04081	Hormone signaling	45/804	220/11035	0.204545454545455	2.8074118046133	7.5908544610218	1.57328087301294e-10	1.28615711368808e-08	1.01021192898725e-08	17480/17199/14599/11450/19111/11609/18795/11548/11550/19228/11607/26361/51801/230777/20609/11549/20779/14709/16369/12918/64337/13488/54140/14915/14706/20607/12424/18158/67653/18610/11554/170732/22044/18159/19109/22353/14459/22354/20604/18976/13491/20608/623503/18429/11705	45
D10 (Most TET-impaired)	Environmental Information Processing	Signal transduction	mmu04020	Calcium signaling pathway	48/804	255/11035	0.188235294117647	2.58355282411472	7.1718093614392	7.60836692471273e-10	4.97587196876213e-08	3.90829795711559e-08	58226/213788/21336/14812/171166/12671/107589/73181/18795/11548/11550/11540/12322/15465/228550/243764/11607/18591/26361/11541/18216/14174/11549/18595/18799/13488/54140/18018/12291/11554/18590/170732/16542/15563/14179/18049/22339/14172/231602/14184/14573/12767/70405/12061/110893/12315/18048/56636	48
D10 (Most TET-impaired)	Cellular Processes	Cellular community - eukaryotes	mmu04550	Signaling pathways regulating pluripotency of stem cells	27/804	140/11035	0.192857142857143	2.64698827292111	5.49764103268604	2.50528358106319e-06	0.000136537955167944	0.000107243718206916	11906/11651/21386/16324/16392/22410/26415/16600/14367/17877/18999/17869/22418/13590/15110/15901/16878/22412/15903/14184/57265/13395/16326/22409/15407/15394/14371	27
D10 (Most TET-impaired)	Environmental Information Processing	Signaling molecules and interaction	mmu04060	Cytokine-cytokine receptor interaction	44/804	294/11035	0.149659863945578	2.054100247064	5.13533398468194	3.44589458881858e-06	0.000160972504363382	0.000126435831529584	16994/23832/17480/14599/12162/19111/21939/17000/22035/326623/21812/21933/14560/12776/387510/16324/20292/16160/16198/20307/58181/20297/21947/215274/12985/20296/230828/140806/19109/18049/16878/404549/14559/12767/16326/12981/20312/18053/20306/18048/57349/330496/27279/11705	44
D10 (Most TET-impaired)	Environmental Information Processing	Signal transduction	mmu04015	Rap1 signaling pathway	35/804	214/11035	0.163551401869159	2.24476333286837	5.15460566576543	4.75750849004004e-06	0.00019130255580685	0.000150258566286404	20130/14812/21825/13639/18795/22325/11540/18760/18591/11651/11541/14174/240168/20779/170758/18595/26415/93742/51791/67653/18590/16542/14179/15901/18049/53978/22339/14172/18441/14184/70405/18053/12315/18048/56636	35
D10 (Most TET-impaired)	Environmental Information Processing	Signal transduction	mmu04024	cAMP signaling pathway	36/804	224/11035	0.160714285714286	2.20582356076759	5.11105215533982	5.2652079579867e-06	0.00019130255580685	0.000150258566286404	20130/14812/333329/56188/12789/22325/217674/11540/12322/243764/18166/64082/20609/11651/16526/14802/15550/170758/12918/15245/13488/18018/84112/14281/67653/11554/22353/11516/20682/14799/20604/70405/18976/12315/18429/11705	36
D10 (Most TET-impaired)	Organismal Systems	Sensory system	mmu04742	Taste transduction	20/804	92/11035	0.217391304347826	2.98372269089336	5.35601946861835	7.74716174798519e-06	0.000253332189159116	0.000198979733316672	353166/12671/387345/18795/20278/12496/110326/20277/15550/387344/14395/387355/64337/387352/57254/231602/387515/18441/387341/387513	20
D10 (Most TET-impaired)	Environmental Information Processing	Signal transduction	mmu04310	Wnt signaling pathway	30/804	175/11035	0.171428571428571	2.35287846481876	5.05706303789193	8.70310248829816e-06	0.000258719501243045	0.000203211196855957	13380/93960/21416/12444/22402/72293/20319/229658/68010/106042/24117/73181/18795/12322/14160/329252/22410/170758/12622/18018/14367/17869/22418/67653/54630/22412/20671/57265/22409/14371	30
D10 (Most TET-impaired)	Human Diseases	Endocrine and metabolic disease	mmu04934	Cushing syndrome	28/804	162/11035	0.17283950617284	2.37224371967324	4.93230060052928	1.4724287685348e-05	0.000391001803769774	0.000307112313278046	58226/21416/242705/218461/18795/13070/12322/11607/18584/16526/12578/22410/12918/13072/14367/12291/114230/22418/12579/12580/16492/22412/110115/57265/18976/22409/19416/14371	28
D10 (Most TET-impaired)	Environmental Information Processing	Signal transduction	mmu04350	TGF-beta signaling pathway	22/804	112/11035	0.196428571428571	2.6960065742715	5.05709425018812	1.5544414217147e-05	0.000391001803769774	0.000307112313278046	68777/17130/12162/21825/68010/23892/12667/21812/16324/17869/15216/12579/67653/13590/21815/69585/15901/18741/15903/13732/16326/11705	22
D10 (Most TET-impaired)	Cellular Processes	Cellular community - eukaryotes	mmu04510	Focal adhesion	32/804	202/11035	0.158415841584158	2.17427712920546	4.72179782113769	2.34580876617571e-05	0.000547913904671041	0.000430358901463814	12390/241226/12444/16420/12826/21825/16782/13730/319480/11796/107589/13731/22325/320910/18591/11651/12827/64099/12840/22370/20779/170758/18595/245026/330662/67653/18590/16542/17898/21826/22339/12643	32
D10 (Most TET-impaired)	Environmental Information Processing	Signal transduction	mmu04151	PI3K-Akt signaling pathway	49/804	368/11035	0.133152173913043	1.82753014817218	4.5260782532634	2.59766129763196e-05	0.000566290162883766	0.000444792530962945	241226/12444/16420/27381/14599/12826/21825/16782/319480/19111/13639/320910/83490/243764/18591/11651/12827/12840/14174/22370/27380/14709/18595/245026/64337/14706/11839/17869/12985/72930/18590/19109/16542/14179/11876/18049/21826/78405/53978/404549/22339/14172/14184/12643/14573/18053/18048/74747/56636	49
D10 (Most TET-impaired)	Organismal Systems	Endocrine system	mmu04614	Renin-angiotensin system	11/804	36/11035	0.305555555555556	4.19378800442233	5.38042034971159	3.17603202333887e-05	0.000649101544769882	0.000509836719535977	11609/11607/70008/18050/16616/13035/17228/16613/13648/16623/16624	11
D10 (Most TET-impaired)	Organismal Systems	Circulatory system	mmu04261	Adrenergic signaling in cardiomyocytes	26/804	156/11035	0.166666666666667	2.28752072968491	4.54001735227388	5.61050806041581e-05	0.00107919772691528	0.000847655706960656	11609/18795/11548/11550/12322/17897/11607/12299/64082/12294/11651/21956/16526/16509/11549/16535/54377/26415/20271/72930/12297/11554/56808/70405/110893/12315	26
D10 (Most TET-impaired)	Organismal Systems	Development and regeneration	mmu04360	Axon guidance	28/804	181/11035	0.154696132596685	2.12322366070201	4.27116249130194	0.000114280791193151	0.0020761010400089	0.00163067327784379	20130/12162/140571/210801/319757/18209/20360/13639/73181/12322/270190/53972/13838/13848/18186/20423/20779/170758/93742/22418/67653/18208/243743/20347/117600/20562/12767/13839	28
D10 (Most TET-impaired)	Human Diseases	Cancer: specific types	mmu05224	Breast cancer	24/804	147/11035	0.163265306122449	2.24083663316073	4.24555713462922	0.000148981300166735	0.00256404658708012	0.00201393004103509	21416/242705/11651/14174/16450/18667/15214/22410/16449/14367/14281/17869/22418/13388/18131/18128/14179/22412/14172/57265/22409/54485/56636/14371	24
D10 (Most TET-impaired)	Environmental Information Processing	Signal transduction	mmu04390	Hippo signaling pathway	25/804	158/11035	0.158227848101266	2.17169689527048	4.15838533148298	0.000182159333089078	0.00297830509600642	0.00233930933019658	93960/21416/12444/21678/12162/72293/11796/21812/211652/22410/21677/93742/14367/11839/17869/22418/72930/14633/20583/15901/22412/57265/22409/14371/11705	25
D10 (Most TET-impaired)	Environmental Information Processing	Signaling molecules and interaction	mmu04514	Cell adhesion molecule (CAM) interaction	27/804	179/11035	0.150837988826816	2.07027015759193	4.04688148603413	0.000230389880956852	0.00358749957489955	0.00281780105029934	114141/241226/110557/12481/21367/21939/320910/15001/19280/58235/242122/19274/20971/621628/19268/20737/12561/21947/74048/20970/272381/224754/12737/15018/75677/57255/12739	27
D10 (Most TET-impaired)	NA	NA	mmu04518	Integrin signaling	24/804	153/11035	0.156862745098039	2.15296068676227	4.02569923984903	0.000278256847985794	0.00413590860415248	0.00324854884729827	241226/12444/16420/12826/21825/16782/319480/320910/18591/11651/12827/64099/12840/22370/14161/20779/170758/18595/245026/18590/16542/21826/22339/12643	24
D10 (Most TET-impaired)	Human Diseases	Cancer: overview	mmu05205	Proteoglycans in cancer	29/804	204/11035	0.142156862745098	1.9511206223783	3.8437211717113	0.000384709062020033	0.00529737654040865	0.00416082367893034	12390/20130/21825/319757/12505/22325/12322/11651/14388/22370/20423/22410/20779/16160/20971/26415/18793/14367/17869/22418/67653/16542/22412/22339/57265/22409/22160/16147/14371	29
D10 (Most TET-impaired)	Human Diseases	Infectious disease: viral	mmu05165	Human papillomavirus infection	44/804	357/11035	0.123249299719888	1.69161196817035	3.72380663719602	0.00038879827819513	0.00529737654040865	0.00416082367893034	21416/241226/12444/16420/110557/16848/12826/21825/16782/319480/231655/12427/320910/21752/56489/11651/12827/12840/22370/15214/66144/22410/245026/16449/93742/14367/22418/72930/18131/224754/18128/14082/21826/15018/22412/404549/22339/57265/12643/19719/22409/74915/84653/14371	44
D10 (Most TET-impaired)	Environmental Information Processing	Signal transduction	mmu04014	Ras signaling pathway	32/804	237/11035	0.135021097046413	1.85318135063081	3.72202543904841	0.00050008964068591	0.00654117250017171	0.00513776304536262	54153/20130/225870/14812/13639/23871/18591/26970/11651/14388/14174/240168/14709/170758/18595/225845/64337/14706/67653/18590/16542/14179/18049/78405/22339/14172/14184/70405/18053/12315/18048/56636	32
D10 (Most TET-impaired)	Organismal Systems	Circulatory system	mmu04270	Vascular smooth muscle contraction	22/804	144/11035	0.152777777777778	2.09689400221117	3.71404790110795	0.000711431151342197	0.00894761486495763	0.00702790287155855	19222/107589/18795/11548/11550/11540/11607/26361/51801/26970/11541/223780/11549/54140/18158/67653/18159/16533/17904/16531/70405/12315	22
D10 (Most TET-impaired)	Human Diseases	Cardiovascular disease	mmu05418	Fluid shear stress and atherosclerosis	22/804	149/11035	0.147651006711409	2.02652843166717	3.53643291082623	0.00113217685218334	0.0137119196542205	0.0107700254164809	12390/17969/21824/18591/11651/20779/15368/20971/170758/14863/26415/14281/67653/20296/18590/18159/16542/22339/70405/16598/68312/12315	22
D10 (Most TET-impaired)	Organismal Systems	Nervous system	mmu04721	Synaptic vesicle cycle	14/804	77/11035	0.181818181818182	2.49547715965626	3.69143283444796	0.00119328954870247	0.0139359172294896	0.0109459642813309	20508/13852/20538/225644/240332/243616/242607/235415/66144/104245/232333/12889/74915/22348	14
D10 (Most TET-impaired)	Cellular Processes	Cell motility	mmu04810	Regulation of actin cytoskeleton	30/804	234/11035	0.128205128205128	1.75963133052685	3.2924128358111	0.00170969692120926	0.0188997129578219	0.0148447769570531	213788/241226/20130/16420/12671/319480/107589/16644/22325/320910/243764/18591/11651/14061/14174/20779/170758/18595/330662/67653/17451/18590/17898/14179/53978/14172/14184/12767/12061/56636	30
D10 (Most TET-impaired)	Human Diseases	Cancer: specific types	mmu05217	Basal cell carcinoma	12/804	63/11035	0.19047619047619	2.61430940535418	3.60204906468133	0.00173391861998366	0.0188997129578219	0.0148447769570531	21416/319757/20423/22410/15245/14367/22418/14633/22412/57265/22409/14371	12
D10 (Most TET-impaired)	Environmental Information Processing	Signaling molecules and interaction	mmu04512	ECM-receptor interaction	15/804	89/11035	0.168539325842697	2.31322320979373	3.48691453677668	0.00179915633984952	0.0189781975203482	0.0149064226459519	241226/16420/12826/21825/16782/319480/12505/320910/12827/12840/22370/20971/245026/21826/12643	15
D10 (Most TET-impaired)	Organismal Systems	Endocrine system	mmu04927	Cortisol synthesis and secretion	13/804	72/11035	0.180555555555556	2.47814745715865	3.52740051207029	0.00188493026379982	0.0191281017392853	0.0150241648942077	58226/218461/18795/13070/11607/18584/16526/11614/13072/12291/16492/110115/18976	13
D10 (Most TET-impaired)	Environmental Information Processing	Signal transduction	mmu04010	MAPK signaling pathway	36/804	299/11035	0.120401337792642	1.65252333649478	3.20660793378385	0.00193035889112053	0.0191281017392853	0.0150241648942077	58226/320139/20130/13639/21812/18591/12299/17874/12294/11651/14174/240168/170758/18595/54377/26415/18018/12291/11839/14281/17869/12297/18590/56808/16542/14179/11876/18049/78405/22339/14172/14184/14573/18053/18048/56636	36
