perspective	mark	quadrant	observed	expected	oe_ratio	fisher_or	fisher_p	p_label	short_quadrant
5hmC	MeCP2	hmC Down + MeCP2 Up	2510	2587.9	0.97	0.787266882959666	1.49004866707293e-05	p=1.5e-05	MeCP2 Up
5hmC	MeCP2	hmC Up + MeCP2 Down	1197	1274.9	0.94	0.787266882959666	1.49004866707293e-05	p=1.5e-05	MeCP2 Down
5hmC	ATAC	hmC Up + ATAC Up	889	629.1	1.41	0.0954444204062925	1.74247260474901e-116	p=1.7e-116	ATAC Up
5hmC	ATAC	hmC Down + ATAC Down	961	701.1	1.37	0.0954444204062925	1.74247260474901e-116	p=1.7e-116	ATAC Down
5hmC	K119ub	hmC Down + K119ub Gained	1403	1250.5	1.12	2.80394158435919	1.11598519924032e-35	p=1.1e-35	K119ub Gained
5hmC	K119ub	hmC Up + K119ub Lost	520	367.5	1.41	2.80394158435919	1.11598519924032e-35	p=1.1e-35	K119ub Lost
5mC	MeCP2	mC Up + MeCP2 Up	2058	2095.5	0.98	0.918644430951994	0.0773498040558557	p=0.077	MeCP2 Up
5mC	MeCP2	mC Down + MeCP2 Down	2020	2057.5	0.98	0.918644430951994	0.0773498040558557	p=0.077	MeCP2 Down
5mC	ATAC	mC Down + ATAC Up	1119	797.8	1.4	0.094962415285699	1.9851076154939e-150	p=2.0e-150	ATAC Up
5mC	ATAC	mC Up + ATAC Down	938	616.8	1.52	0.094962415285699	1.9851076154939e-150	p=2.0e-150	ATAC Down
5mC	K119ub	mC Up + K119ub Gained	1358	1042.8	1.3	6.02226256238403	1.63679637979364e-120	p=1.6e-120	K119ub Gained
5mC	K119ub	mC Down + K119ub Lost	889	573.8	1.55	6.02226256238403	1.63679637979364e-120	p=1.6e-120	K119ub Lost
