gene	mc_diff	hmc_diff	mc_q	hmc_q	combined_effect	n_k119ub_ctrl	n_k119ub_mut	net_k119ub
Tmem238	0.202948019567946	-0.124535661232602	8.63123542695535e-79	5.43895200827759e-38	0.327483680800548	0	0	0
Syt1	0.173138279538543	-0.149653303443115	4.8151057076211e-306	7.07674626726131e-306	0.322791582981658	11	26	15
Gclm	0.163626383332672	-0.109341876534835	4.84320234309636e-239	1.85362590367895e-152	0.272968259867507	3	6	3
Sap30	0.211953324709116	-0.0544488852139743	4.33556400243661e-51	3.01956032218353e-08	0.26640220992309	0	1	1
Prxl2b	0.215503293571978	-0.0451903607472336	7.67686689604922e-38	0.00584355406901895	0.260693654319211	1	1	0
Ly6g6e	0.158691721848252	-0.101885663311484	1.71203373651214e-09	3.27879124550163e-05	0.260577385159735	0	0	0
Gpr68	0.162567747047773	-0.0871033833156893	8.49727468717381e-209	3.65125633958187e-79	0.249671130363462	10	10	0
Gm5136	0.125990638009662	-0.123099470685328	5.16780227908916e-41	1.69926077038795e-43	0.249090108694989	0	0	0
Bhlhe40	0.216559777294325	-0.0248506543949298	7.99232795461459e-132	0.00233874021602524	0.241410431689255	1	1	0
A330070K13Rik	0.185823966874757	-0.0553867696751865	1.75042029753421e-39	7.15172145211357e-05	0.241210736549944	1	0	-1
Ripply2	0.186290557972284	-0.0540996569016488	5.28390973011565e-40	0.000129878558629887	0.240390214873933	0	2	2
Galnt7	0.162788287901922	-0.0745554585017827	4.8151057076211e-306	7.07674626726131e-306	0.237343746403705	0	8	8
Mcu	0.142137210855473	-0.0944174928500678	4.8151057076211e-306	7.07674626726131e-306	0.236554703705541	3	3	0
Tmem64	0.153634974562263	-0.0662312353228351	1.64083636219482e-137	9.74777958468525e-32	0.219866209885098	4	10	6
Tssk5	0.137817160825713	-0.0797306589340282	7.93512323543968e-21	2.06337540401003e-09	0.217547819759741	1	1	0
Amigo1	0.135919939262634	-0.0793056006820435	1.84530758560771e-33	2.70031508324198e-15	0.215225539944678	1	2	1
Mcam	0.132332402499776	-0.0813840331948875	1.80489178410434e-32	3.98852530550202e-17	0.213716435694663	1	1	0
Lrrn1	0.137802817859855	-0.0693689510246577	1.54731883525436e-225	5.3014716881285e-66	0.207171768884512	4	7	3
Flrt3	0.162552480848417	-0.0441726773540707	9.34096761268499e-226	1.6274686514139e-28	0.206725158202488	11	15	4
Xk	0.118002013647643	-0.0884200245197536	9.99348283921519e-95	1.05232260458127e-81	0.206422038167397	0	1	1
Lgi1	0.137128718547332	-0.0689376887599581	1.14222787614937e-291	3.1765946704763e-116	0.20606640730729	0	1	1
Rps6ka5	0.115988850712457	-0.0863977539950389	4.8151057076211e-306	7.07674626726131e-306	0.202386604707496	0	1	1
Arhgap26	0.134298736188952	-0.0665397386682956	4.8151057076211e-306	7.07674626726131e-306	0.200838474857247	1	4	3
Hmgcl	0.140669505661283	-0.06006875025784	9.48180396695542e-108	8.13976075309924e-29	0.200738255919123	0	0	0
Ccndbp1	0.131145159902574	-0.0690731518043568	3.05925141842593e-54	1.39403652104831e-21	0.20021831170693	0	0	0
Abtb1	0.148505571397798	-0.0504551682099579	1.03034953819376e-26	0.000118399084268849	0.198960739607756	5	7	2
Lpcat3	0.128894897260965	-0.0691361399113782	6.67144860010261e-282	5.4875768417533e-102	0.198031037172343	0	0	0
Plekhf1	0.168498151688174	-0.0290324692162142	5.37199215253875e-96	9.49675698843633e-05	0.197530620904389	0	0	0
Syn2	0.130328694883986	-0.0667062381396212	4.8151057076211e-306	1.07602307559523e-185	0.197034933023607	0	0	0
Wipf3	0.131948765301587	-0.0626102281093484	4.8151057076211e-306	4.04658985148359e-141	0.194558993410935	1	0	-1
Des	0.131865346967163	-0.0624185252834346	1.77757665718443e-58	2.00889824941736e-21	0.194283872250598	1	0	-1
Inka2	0.168496128492795	-0.0208849301519937	4.61570106341873e-83	0.0174230903555758	0.189381058644788	2	2	0
Sptssb	0.107583073441373	-0.0817941052448886	3.02756365628823e-135	3.51548231246441e-114	0.189377178686261	1	3	2
Patj	0.120445731459954	-0.0688380719604627	4.8151057076211e-306	7.07674626726131e-306	0.189283803420417	0	3	3
Scg2	0.164124260301168	-0.0246744388656844	1.30535197512752e-55	0.0076921208273394	0.188798699166852	0	1	1
Zfp608	0.12394714759679	-0.0642693260924636	4.8151057076211e-306	1.60888057405212e-219	0.188216473689254	30	37	7
Itgb5	0.112936191470343	-0.0750441802058035	4.8151057076211e-306	7.07674626726131e-306	0.187980371676147	2	1	-1
E2f3	0.101446419095902	-0.0863062281005483	4.8151057076211e-306	7.07674626726131e-306	0.18775264719645	3	6	3
Pram1	0.102149801285227	-0.0846559621056269	3.3849561900376e-17	2.20214514121848e-15	0.186805763390854	0	0	0
Tmem86b	0.140266684517456	-0.046483847843001	2.37500457183285e-11	0.0130714051457991	0.186750532360457	0	0	0
Rnf227	0.118816001819883	-0.0678424361163397	7.1144580226298e-08	0.000641032494616554	0.186658437936223	0	0	0
Chka	0.12670803290434	-0.0580004907171924	5.6515204461562e-187	2.30453778268804e-47	0.184708523621533	0	0	0
Ccsap	0.119898763476033	-0.0629970439610273	1.62281866769173e-122	5.20488774224366e-42	0.18289580743706	0	1	1
Trp53bp2	0.112060092025534	-0.0695960897847486	8.16757346440538e-250	1.27698464820739e-132	0.181656181810282	0	0	0
Max	0.133463477635117	-0.0476584189566179	2.13916989557693e-142	2.69395208390963e-22	0.181121896591735	1	4	3
Pkib	0.111491249913283	-0.0681481706005901	3.17959603449046e-244	4.18174839717203e-112	0.179639420513873	1	2	1
Ntn4	0.119170223074622	-0.0598824678670815	4.8151057076211e-306	5.00125907171594e-188	0.179052690941703	1	1	0
Unc5c	0.106550556235555	-0.0721813597423415	4.8151057076211e-306	7.07674626726131e-306	0.178731915977897	2	5	3
Nab1	0.106783623864911	-0.0716947425910995	7.04911595214377e-137	6.72204826519262e-80	0.178478366456011	2	4	2
Cd83	0.113425263722721	-0.064321981242862	3.87626522731464e-85	4.34422785173596e-35	0.177747244965583	3	4	1
Ndst3	0.1204049212253	-0.0572693423306202	4.8151057076211e-306	3.53270001683167e-192	0.17767426355592	0	5	5
Rasl11b	0.12541088436625	-0.0520464863477479	7.73097061887022e-36	9.17246145218318e-09	0.177457370713998	6	15	9
Slc39a1	0.126173479392043	-0.0509121142658193	5.52948461762915e-20	7.76682599871298e-06	0.177085593657862	0	0	0
Fam78b	0.114355846290295	-0.0624154108878435	4.8151057076211e-306	3.12917038806905e-136	0.176771257178138	10	11	1
Caln1	0.1067487923351	-0.0697354414570755	4.8151057076211e-306	7.07674626726131e-306	0.176484233792176	0	0	0
Phgr1	0.113553629299988	-0.0600965200986507	2.32414991801767e-09	0.000479747616681656	0.173650149398639	0	0	0
Pla2g3	0.096577335298426	-0.0761024885197666	2.37869704821096e-25	1.6056264792757e-20	0.172679823818193	0	0	0
Epha3	0.096312037987927	-0.0763186239465798	4.8151057076211e-306	7.07674626726131e-306	0.172630661934507	7	10	3
Mpp3	0.126199376744528	-0.0458604238277978	1.11697936049294e-140	5.64497926820656e-23	0.172059800572326	1	1	0
Arhgap26	0.134298736188952	-0.0371017973603898	4.8151057076211e-306	1.2523504429982e-303	0.171400533549341	1	4	3
Cpeb2	0.120545259485309	-0.0498608823788154	1.4806510639137e-225	2.82750854213117e-47	0.170406141864124	3	4	1
Inpp5j	0.13183899984427	-0.0383031026772814	4.07819435594507e-35	6.32957506279662e-05	0.170142102521552	1	1	0
Get1	0.11740547925836	-0.0526932058801237	5.4996805802294e-65	3.75833639397979e-19	0.170098685138484	0	1	1
Tmtc2	0.0924002542478071	-0.0775979650016768	4.8151057076211e-306	7.07674626726131e-306	0.169998219249484	2	6	4
Sesn1	0.120693588980564	-0.0489156469602452	4.8151057076211e-306	6.13077938347448e-81	0.169609235940809	0	0	0
Rnf182	0.129429705158798	-0.0401548463875043	4.8151057076211e-306	3.17970592048645e-33	0.169584551546302	2	3	1
Slc16a1	0.0993287819030268	-0.0701399120351782	3.52131932742069e-65	1.65600526073002e-53	0.169468693938205	1	2	1
Mgll	0.135007943743503	-0.0344510690408868	4.8151057076211e-306	2.06644669852518e-46	0.16945901278439	3	4	1
Zfp395	0.114584486314202	-0.0545077076744132	6.50376217996083e-189	2.2746177500125e-58	0.169092193988616	2	4	2
Prag1	0.123800456695648	-0.0448224389389501	4.8151057076211e-306	1.47616358078238e-54	0.168622895634598	4	4	0
Nr0b2	0.0864764058114399	-0.0810818129845374	2.40666647342919e-06	3.0089328160241e-10	0.167558218795977	0	0	0
Ndor1	0.112035352865939	-0.0539974988995257	7.84184871671663e-08	0.0162118384641398	0.166032851765465	0	0	0
Hus1b	0.105472988314836	-0.0603069967244916	1.02502163374244e-06	0.00112194206547317	0.165779985039328	0	0	0
Itga7	0.128205969755496	-0.0359748176146689	9.52970197203032e-114	6.42693348676e-18	0.164180787370165	1	2	1
4930447A16Rik	0.125827757823792	-0.0383205693445708	4.78529364249972e-75	1.232620008385e-09	0.164148327168363	1	2	1
Foxn2	0.122230804570348	-0.0408071948520444	7.4003477609109e-225	1.89711966704803e-26	0.163037999422392	0	2	2
Gm3435	0.0802306326013952	-0.082777310184685	8.99735403312956e-05	3.26023624403502e-07	0.16300794278608	0	0	0
Lgr4	0.101739505137551	-0.0610850936205934	4.8151057076211e-306	2.93712175906593e-158	0.162824598758145	2	3	1
Gna13	0.103687093514718	-0.0586091078323678	6.88706198653267e-186	5.66977881494035e-72	0.162296201347086	0	0	0
Sypl	0.0958186170902334	-0.0663953207577766	6.47133804070945e-66	1.25126117242777e-52	0.16221393784801	0	0	0
Bmp5	0.0963061392566568	-0.0659002353724788	4.8151057076211e-306	7.07674626726131e-306	0.162206374629136	0	0	0
Jph1	0.10751476880553	-0.0540499801764602	4.8151057076211e-306	3.56207985994774e-99	0.16156474898199	4	5	1
Dclk2	0.0974036510345218	-0.0638980626837974	4.8151057076211e-306	1.24797198049592e-256	0.161301713718319	4	5	1
Igip	0.0671846111598118	-0.0936378783621946	6.67364945142178e-05	1.13162753037298e-08	0.160822489522006	1	1	0
Tmem161b	0.0866043646211745	-0.0738296768145755	5.56965343023308e-147	1.75947110341403e-131	0.16043404143575	3	4	1
Spop	0.0924127343326102	-0.0675673982078043	6.90790829035412e-185	1.78758182630935e-127	0.159980132540415	0	0	0
Runx1t1	0.109502377494959	-0.0500691157816847	4.8151057076211e-306	9.24404982805231e-137	0.159571493276644	20	26	6
Pld5	0.100167164494823	-0.059237741124805	4.8151057076211e-306	7.07674626726131e-306	0.159404905619628	1	3	2
Lancl3	0.111870341251507	-0.047524912473188	1.22309268313593e-157	1.65836487424621e-54	0.159395253724695	0	0	0
Hgh1	0.0869020953363658	-0.0724786838505113	7.03541285270133e-09	1.59828362487105e-11	0.159380779186877	0	0	0
Adamts10	0.0983632071661509	-0.0607054926599886	3.99982989513828e-95	6.47529971174e-55	0.159068699826139	0	0	0
Ndufb4	0.0965861367557374	-0.0619734707180183	3.0162336517344e-27	1.265877976981e-16	0.158559607473756	0	1	1
Kctd8	0.0960924138405999	-0.0614958440761438	4.8151057076211e-306	2.1077946123505e-189	0.157588257916744	1	3	2
Nsmaf	0.119246216818413	-0.0380596584958507	5.43704597256205e-277	1.00442838038896e-38	0.157305875314264	0	1	1
Gprin3	0.103938977086807	-0.0528729723410623	1.17913911138192e-160	8.18335304830711e-53	0.156811949427869	3	5	2
Gm17190	0.0694388074203479	-0.0873652434542163	0.000130044086909194	5.01817539264266e-12	0.156804050874564	0	0	0
Nr3c1	0.118582066046669	-0.0381450757047865	4.8151057076211e-306	3.89124858023112e-51	0.156727141751456	7	15	8
Add3	0.0967114447336624	-0.0595527544630374	4.8151057076211e-306	4.7013997031109e-176	0.1562641991967	1	1	0
Kctd12	0.132547190244836	-0.0236657368903954	3.41948561057078e-35	0.0234081423798774	0.156212927135232	0	0	0
Hpcal1	0.100890632234149	-0.0549728374099742	7.2676062502473e-251	4.4549778960761e-92	0.155863469644123	9	7	-2
Lyn	0.085540435146561	-0.0700588677444902	9.80597154557877e-241	2.38868529009097e-264	0.155599302891051	1	1	0
Rab4a	0.112028192558062	-0.0420934402061394	8.5460665359573e-151	2.9840122322253e-26	0.154121632764202	0	1	1
Afap1l2	0.114974707384786	-0.038767841724622	4.8151057076211e-306	7.53611494001172e-54	0.153742549109408	3	4	1
Preb	0.106157132084283	-0.0472149433825025	5.41900190789405e-30	9.47907786234478e-09	0.153372075466785	0	0	0
Paqr9	0.132163523530301	-0.0210783845208422	3.1395807778494e-64	0.00773334568925083	0.153241908051143	0	1	1
Cdh8	0.0851710967214157	-0.0680490187218008	4.8151057076211e-306	7.07674626726131e-306	0.153220115443216	1	2	1
Ptchd4	0.0844753183471563	-0.0683176386946963	4.8151057076211e-306	9.65597370307104e-306	0.152792957041853	0	3	3
Galt	0.108727340978765	-0.0437832295427281	9.9226633103599e-21	2.97350743001476e-06	0.152510570521493	0	0	0
Gnai1	0.0949129776916535	-0.0571743238565581	4.40165655542126e-236	8.0705481212858e-105	0.152087301548212	1	3	2
Manea	0.0914587725000703	-0.060520272741778	2.065963745582e-52	7.76419231597098e-33	0.151979045241848	2	3	1
Mreg	0.0747862759408012	-0.0768175309323835	7.92787854892103e-145	1.75418898291339e-232	0.151603806873185	0	2	2
Dlg1	0.0868102743975991	-0.0645231320596844	4.8151057076211e-306	4.56036409533014e-293	0.151333406457283	0	3	3
Arhgap26	0.0846430903164772	-0.0665397386682956	4.8151057076211e-306	7.07674626726131e-306	0.151182828984773	1	4	3
Nxph3	0.0983786348478994	-0.0523269906721625	3.73069069267121e-12	1.12521553408123e-05	0.150705625520062	2	1	-1
Lin7c	0.0822206787838737	-0.0679440798633311	1.88147890613177e-32	2.39036204793039e-32	0.150164758647205	1	1	0
Insyn1	0.0997172166808984	-0.0503344776698595	3.32357826663219e-19	3.35356308054586e-06	0.150051694350758	1	1	0
Cryab	0.0806752190076967	-0.0691250965448542	2.4971248896118e-13	8.89214922014953e-17	0.149800315552551	0	1	1
Pdrg1	0.122667214136705	-0.0264965477376624	2.12798482782612e-29	0.00695418836126866	0.149163761874367	0	0	0
Tiparp	0.0806354470913677	-0.0681582125747652	2.45935471408167e-48	1.54710516875078e-52	0.148793659666133	0	1	1
Exph5	0.11082889304928	-0.0377761740419593	2.01873770872345e-264	4.73950774343448e-38	0.148605067091239	0	1	1
Tmeff2	0.085034113995008	-0.0631917777868708	4.8151057076211e-306	7.07674626726131e-306	0.148225891781879	3	4	1
Ly6g6f	0.114474734507642	-0.0337052876556834	4.59611687936684e-20	0.0045511382235122	0.148180022163325	0	0	0
Ndor1	0.112035352865939	-0.036097569804285	7.84184871671663e-08	3.65781284685556e-08	0.148132922670224	0	0	0
Rgcc	0.0867860898172321	-0.0610308870694601	6.42868209487613e-35	3.03670896850056e-24	0.147816976886692	2	3	1
Ubash3b	0.0917788109023858	-0.055798143355141	4.8151057076211e-306	9.28460544807316e-186	0.147576954257527	0	1	1
Stxbp5l	0.0777801233022845	-0.0696676917199734	5.70936131045905e-270	6.14672160857072e-285	0.147447815022258	1	4	3
Nrip1	0.0849127701897209	-0.062488306533841	4.8151057076211e-306	1.1621632482175e-205	0.147401076723562	3	7	4
Ndor1	0.112035352865939	-0.0350295865550697	7.84184871671663e-08	5.76138557837252e-08	0.147064939421009	0	0	0
Ldlrad3	0.0924843584355526	-0.0544784056384317	4.8151057076211e-306	7.07674626726131e-306	0.146962764073984	2	10	8
Slc12a2	0.0923869029260765	-0.0544435443650779	2.20675294756373e-199	2.31254779352576e-94	0.146830447291154	3	2	-1
Dact1	0.0980509145741837	-0.0487036263712767	3.76206289618792e-58	8.28250903421828e-24	0.14675454094546	2	3	1
Gm7489	0.0762261717481127	-0.0704725891299809	2.62914773717676e-05	2.10599528331865e-05	0.146698760878094	0	0	0
Gls	0.0903229697062985	-0.0563276440467607	5.49118347521834e-136	1.13946183344176e-64	0.146650613753059	0	2	2
Nampt	0.0848582703070512	-0.061466642724269	5.54926710821259e-102	8.91984460071279e-86	0.14632491303132	6	7	1
Boc	0.128611993779712	-0.0176194948726115	4.8151057076211e-306	7.10984659380123e-11	0.146231488652324	1	5	4
Rnf152	0.0910925413094158	-0.0542686077489952	7.16443973889771e-156	2.86999434547219e-66	0.145361149058411	0	4	4
Cdh7	0.0834532311516325	-0.0612860635696749	1.46833673289844e-220	3.82299157575097e-177	0.144739294721307	0	4	4
Nucb1	0.0954856538177966	-0.0489892034715993	2.12706983848143e-64	2.06565752081285e-28	0.144474857289396	0	0	0
Zfp687	0.0943543140496558	-0.0497390119376933	1.61079276491974e-22	7.70535650394706e-08	0.144093325987349	1	1	0
Tapt1	0.0918432177121233	-0.0522355251142552	3.18211739269492e-135	4.02148695479295e-54	0.144078742826379	3	5	2
Derl1	0.100132132407504	-0.0438884552929044	1.57453612750302e-96	5.15630632381654e-26	0.144020587700408	1	2	1
Fa2h	0.0797342355123927	-0.0634987391649943	1.0780564686984e-107	1.31623613810392e-101	0.143232974677387	0	0	0
Mycbp	0.072803225883806	-0.070319326336683	4.37739394392833e-10	1.02840971350491e-14	0.143122552220489	0	0	0
Cdyl2	0.0767283679723849	-0.0663593291712134	4.8151057076211e-306	7.07674626726131e-306	0.143087697143598	2	3	1
Tmem109	0.106349905578196	-0.036662757675936	6.18732879535744e-36	2.33092568062203e-05	0.143012663254132	0	0	0
Pcdh1	0.0826622951417167	-0.0603199075210323	7.95444108716057e-70	3.37059388718008e-55	0.142982202662749	6	5	-1
Daam2	0.0868960652106038	-0.0559163621694673	6.55497365659257e-240	4.37421169047534e-139	0.142812427380071	1	3	2
Lpp	0.0851325175537252	-0.0575834388659432	4.8151057076211e-306	7.07674626726131e-306	0.142715956419668	2	8	6
Zhx2	0.0918430822611607	-0.0506612140565443	4.8151057076211e-306	6.53159527464761e-161	0.142504296317705	3	9	6
Mrpl43	0.0921266654052662	-0.050334036885821	5.23825638643982e-05	0.00449611117235769	0.142460702291087	0	0	0
Endog	0.0901788801457838	-0.0521073255964214	4.99154722544652e-08	0.000948148460423915	0.142286205742205	0	0	0
Rnf122	0.127378352321639	-0.014688080630282	4.1223636618467e-122	0.00357073190352404	0.142066432951921	1	4	3
Hps6	0.0855867371352983	-0.056268959547353	0.000259474011127114	0.00714329152395949	0.141855696682651	0	1	1
Rit2	0.0740865703389755	-0.0677229063846733	4.8151057076211e-306	7.07674626726131e-306	0.141809476723649	3	4	1
4833439L19Rik	0.0930258982587455	-0.0486476853795895	5.01688102186621e-36	5.80247518310801e-15	0.141673583638335	0	0	0
Otud1	0.102767503570984	-0.0385220735078587	4.65913428079003e-10	0.0116588246926538	0.141289577078843	1	1	0
Ndufa2	0.0737770452091765	-0.06731744046931	7.45985742450026e-05	2.88329224515233e-06	0.141094485678486	0	0	0
Emg1	0.0789681568843366	-0.0621152767526538	1.26972169770963e-20	2.84145014492498e-17	0.14108343363699	0	0	0
Ssx2ip	0.090895047889781	-0.0500521390964371	8.61974314743801e-159	1.03992190929386e-68	0.140947186986218	0	2	2
Maf	0.0903221381008704	-0.0505810345207318	9.24538702328495e-98	4.96723890309177e-49	0.140903172621602	9	12	3
Slc35g2	0.102090444950749	-0.0388070701116084	2.9339360733684e-67	2.24471232910063e-13	0.140897515062358	0	2	2
Mlf2	0.078489276621209	-0.0623424286177419	2.68017801145292e-14	2.23743054252486e-13	0.140831705238951	0	0	0
Trpm3	0.0898599315712247	-0.0509344491284077	4.8151057076211e-306	7.07674626726131e-306	0.140794380699632	2	4	2
Samd10	0.0961683679914814	-0.0444450086731226	8.91551610909883e-09	0.00955499378944001	0.140613376664604	0	1	1
Spred1	0.076315142391121	-0.0641347033478054	1.53000506502508e-92	5.83347377247299e-84	0.140449845738926	0	2	2
Zfp653	0.114039611455927	-0.026166046574527	2.01439071151425e-50	0.000498621316788466	0.140205658030454	0	0	0
Paqr8	0.0948681385636401	-0.0453322485898978	1.56133793791674e-163	1.7409020996367e-48	0.140200387153538	0	1	1
Heg1	0.0975534305048875	-0.0425994461360838	4.8151057076211e-306	4.6093816953513e-92	0.140152876640971	3	6	3
Snca	0.0845562122509037	-0.055576132475232	9.08287611923223e-154	2.10650234983207e-92	0.140132344726136	5	4	-1
Myt1l	0.0799913999828868	-0.0598868014032435	4.8151057076211e-306	7.07674626726131e-306	0.13987820138613	8	8	0
Cdk17	0.0916117110032357	-0.0482503285239106	4.8151057076211e-306	5.43543084378374e-113	0.139862039527146	0	0	0
Tnfsf12	0.0938281602130382	-0.0460288512594418	9.24435537766791e-28	3.62269442041577e-13	0.13985701147248	0	0	0
Gmppa	0.117566902960082	-0.0221130527881466	2.72200728151338e-34	0.00875411896938598	0.139679955748229	1	1	0
Adrb2	0.102993332090129	-0.0366435598577077	4.95068225469668e-16	0.00135955565956514	0.139636891947837	3	4	1
Sdcbp	0.0932746202923607	-0.0461400611106537	7.75487905413974e-117	5.80255583972908e-35	0.139414681403014	1	1	0
Trim44	0.0756637648045773	-0.063745781917843	9.02506772919555e-125	1.46638232508888e-111	0.13940954672242	0	0	0
Fdxr	0.0965978558764598	-0.0426252633738136	8.67773275381159e-35	2.7494142382728e-12	0.139223119250273	0	0	0
1700003F12Rik	0.0729404830620106	-0.0656555823076116	0.00434376288620151	0.0070644476244413	0.138596065369622	2	2	0
Rgmb	0.0887466264999109	-0.0497932203181667	2.00482548002071e-87	1.46785253420841e-47	0.138539846818078	2	2	0
Cplx2	0.10841400722995	-0.0300098748895779	4.68901607796388e-44	1.28792220870874e-05	0.138423882119528	1	3	2
Hbegf	0.101904673810707	-0.036507506360188	3.0018831058159e-39	1.50070845559662e-08	0.138412180170895	1	1	0
Clic3	0.0787685582907628	-0.0590500136552022	6.30224803222665e-05	0.00227524215827549	0.137818571945965	0	0	0
