test	n_peaks	n_detected	pct_detected	n_ctrl_only	n_mut_only	n_both	ctrl_mean_meth	mut_mean_meth	p_value	note
Detection: CHG at All MeCP2 peaks	8886	45	0.51	13	17	15	NA	NA	NA	
Detection: CHG at MeCP2_Up MeCP2 peaks	7686	42	0.55	13	15	14	NA	NA	NA	
Detection: CHG at MeCP2_Down MeCP2 peaks	1200	3	0.25	0	2	1	NA	NA	NA	
Detection: CHH at All MeCP2 peaks	8886	146	1.64	42	56	48	NA	NA	NA	
Detection: CHH at MeCP2_Up MeCP2 peaks	7686	138	1.8	36	55	47	NA	NA	NA	
Detection: CHH at MeCP2_Down MeCP2 peaks	1200	8	0.67	6	1	1	NA	NA	NA	
Detection: CHG at Control regions	8886	26	0.29	9	8	9	NA	NA	NA	
Detection: CHH at Control regions	8886	92	1.04	25	39	28	NA	NA	NA	
Fisher: CHG MeCP2 vs Control	NA	NA	NA	NA	NA	NA	NA	NA	0.0315874085518486	OR=1.734
Fisher: CHH MeCP2 vs Control	NA	NA	NA	NA	NA	NA	NA	NA	0.000516834858865929	OR=1.597
Wilcoxon ctrl vs mut: CHG at MeCP2 peaks (400bp)	8886	NA	NA	NA	NA	NA	1.48396361895644e-05	2.43836764001913e-05	0.0285714285714286	
Wilcoxon ctrl vs mut: CHH at MeCP2 peaks (400bp)	8886	NA	NA	NA	NA	NA	1.19441816461686e-05	1.55806527909179e-05	0.114285714285714	
DMR summary: CHG	8356	0	NA	1	1	NA	1.48220210686485e-05	2.42526586436529e-05	0.247261277154432	n_detected=q<0.05; n_ctrl_only=q<0.25; n_mut_only=q<0.50; p=best_q
DMR summary: CHH	8886	2	NA	6	6	NA	1.03564616896884e-05	1.71005591265174e-05	0.00317371370353951	n_detected=q<0.05; n_ctrl_only=q<0.25; n_mut_only=q<0.50; p=best_q
