gene	modification	shallow_q	deep_q	shallow_effect	deep_effect	shallow_coverage	deep_coverage	status
Mageh1	5mC	0.051271407296257	0.00270046832591949	0.0554506854910747	0.0554506854910747	14.1125	14.1125	Newly significant
Syp	5mC	0.111660141465148	0.0027055550455128	0.0333127985310694	0.0333127985310694	14.365099009901	14.365099009901	Newly significant
Rpl10	5mC	0.102139757135547	0.00698598568228827	0.0250419273583967	0.0250419273583967	17.9868421052632	17.9868421052632	Newly significant
Nap1l3	5mC	0.0501000255560582	0.0238859531622152	0.0501213361681008	0.0501213361681008	18.0592105263158	18.0592105263158	Newly significant
4930595M18Rik	5mC	0.0522838570610017	0.0250423396189164	-0.0104407180781028	-0.0104407180781028	18.202	18.202	Newly significant
Rnf138rt1	5mC	0.11410870476006	0.0314309995677845	-0.0499011662720088	-0.0499011662720088	13.6018518518519	13.6018518518519	Newly significant
Zbtb45	5mC	0.0525674335580959	0.0381832771013515	0.0169760361353641	0.0169760361353641	16.2083333333333	16.2083333333333	Newly significant
Dxo	5mC	0.0677745991597694	0.0382704307863116	0.0551096833433385	0.0551096833433385	12.2426470588235	12.2426470588235	Newly significant
Hnrnph2	5mC	0.057795868202865	0.0385329813274928	0.0207307797810752	0.0207307797810752	16.2220588235294	16.2220588235294	Newly significant
H2-M10.6	5mC	0.0503519875098337	0.0398574858429094	0.0359463861112906	0.0359463861112906	18.2152777777778	18.2152777777778	Newly significant
Rps21	5mC	0.0557999972082412	0.0421853264813392	-0.049029320457853	-0.049029320457853	17.2916666666667	17.2916666666667	Newly significant
Olfr820	5mC	0.0559762103307028	0.042746125176515	0.0237572433258414	0.0237572433258414	26.3518518518519	26.3518518518519	Newly significant
Col4a5	5mC	0.0665437397003513	0.0434591879930569	-0.00298599343297512	-0.00298599343297512	19.0924744897959	19.0924744897959	Newly significant
Cdpf1	5mC	0.0503863731503455	0.0450042994967914	0.0241321064723807	0.0241321064723807	16.2784090909091	16.2784090909091	Newly significant
Ormdl2	5mC	0.0531640940145467	0.0454397385419032	0.0284217413037023	0.0284217413037023	19.4128787878788	19.4128787878788	Newly significant
Gp1ba	5mC	0.0512635303956293	0.0460693465556103	-0.0380582168851393	-0.0380582168851393	17.8579545454545	17.8579545454545	Newly significant
Cdca3	5mC	0.057724992629143	0.0468460552002107	-0.0213503315008101	-0.0213503315008101	17.2658045977011	17.2658045977011	Newly significant
Igsf8	5mC	0.0533460846269185	0.0471444549527597	-0.00677612277664952	-0.00677612277664952	16.7200381679389	16.7200381679389	Newly significant
Olfr394	5mC	0.0501437849647638	0.0475549930402253	-0.0309245614798732	-0.0309245614798732	26.2880434782609	26.2880434782609	Newly significant
Glmp	5mC	0.0516705489923056	0.0477364887252061	0.0190928719996086	0.0190928719996086	15.3147590361446	15.3147590361446	Newly significant
Eif1ad	5mC	0.0522771454344029	0.0480090860045043	0.0298716679852317	0.0298716679852317	19.0552325581395	19.0552325581395	Newly significant
Ier5	5mC	0.0500119636909791	0.0481885183381802	-0.0279667596185009	-0.0279667596185009	16.7651515151515	16.7651515151515	Newly significant
Esp38	5mC	0.0510815177186261	0.0481971575950739	0.0298384606728436	0.0298384606728436	28	28	Newly significant
Akap17b	5mC	0.051734854494319	0.0482241280829485	0.0138980079230512	0.0138980079230512	17.99375	17.99375	Newly significant
Tceal8	5mC	0.0519067086684958	0.0482639368949972	0.0220456199545069	0.0220456199545069	14.9237804878049	14.9237804878049	Newly significant
Zbtb33	5mC	0.0664394379962416	0.0483219921684142	0.0343369444666101	0.0343369444666101	19.9744318181818	19.9744318181818	Newly significant
Zfp105	5mC	0.0505473632781196	0.0483738597579329	0.0187712408823358	0.0187712408823358	22.853515625	22.853515625	Newly significant
Tusc2	5mC	0.0624621655929616	0.0485152982373513	0.0344660125205405	0.0344660125205405	15.6505681818182	15.6505681818182	Newly significant
