test_id	source_section	description	n_genes	fisher_or	fisher_log2or	fisher_p	perm_z	perm_empirical_p	null_ci_lo	null_ci_hi	concordance
37-01	12e	mC direction x ATAC direction	2958	0.0949624152856993	-3.39649956064592	1.9851076154939e-150	-30.122432582788	9.99900009999e-05	-0.245330374071682	0.197374362539223	Confirmed
37-02	15a	hmC direction x MeCP2 direction	10421	1.27021728164227	0.34507530356065	1.49004866707293e-05	4.18813984599737	0.0001999800019998	-0.157561441311262	0.16142283187154	Confirmed
37-03	15b	hmC direction x ATAC direction	2973	10.4773018238588	3.38919532831581	1.74247260474901e-116	28.8861997848517	9.99900009999e-05	-0.212904301548664	0.23502098122667	Confirmed
37-04	15c	hmC direction x K119ub direction	3079	2.80394158435919	1.48745629341659	1.11598519924032e-35	12.596523433239	9.99900009999e-05	-0.17968345634004	0.274088233802545	Confirmed
37-05	19g	mC direction x H3K27ac direction	2579	3.93176733170905	1.97517795053882	2.03277651103755e-24	11.8981544595423	9.99900009999e-05	-0.313715708827544	0.331354666763344	Confirmed
37-06	19g	hmC direction x H3K27ac direction	2666	0.51337340512844	-0.961919534624818	1.52608111930787e-05	-4.60171773296684	9.99900009999e-05	-0.416160563842131	0.366965191098228	Confirmed
37-07a	33c	mC direction x ATAC DiffBind	1000	0.058601124970036	-4.09292782934028	3.43501976548273e-52	-14.6658481775304	9.99900009999e-05	-0.655242221689974	0.434289737323727	Confirmed
37-07b	33c	mC direction x K27ac DiffBind	1634	0.0617772833844271	-4.01677975898378	4.14780402031175e-112	-23.9570626778887	9.99900009999e-05	-0.37348466891777	0.272138895061142	Confirmed
37-07c	33c	mC direction x K27me3 DiffBind	913	14.1191278237468	3.81957906712123	8.61772049071949e-69	19.3253162267933	9.99900009999e-05	-0.188630310438659	0.53841848175774	Confirmed
37-07d	33c	mC direction x K119ub DiffBind	2857	14.7497534585181	3.88261893497907	7.54588948177986e-175	28.7469304387188	9.99900009999e-05	0.00851034569579161	0.498539360654803	Confirmed
37-08	20d	mC direction x expression direction	1177	0.0124998074595756	-6.32195031722775	2.75922049396266e-162	-31.9287275680749	9.99900009999e-05	-0.634967909806644	0.0955354217314675	Confirmed
37-09	27c	K119ub direction x Hyper at loop anchors	865	5.92961096952274	2.56793745540345	8.60389677177908e-35	12.4462144005052	9.99900009999e-05	-0.220712312693005	0.537084276636915	Confirmed
37-10a	29	B->A shift vs Stable x mC direction	8965	0.0299026926914979	-5.06358078703167	1.80486963754253e-100	-25.7694386052483	9.99900009999e-05	-0.45116423342635	0.291107372561119	Confirmed
37-10b	29	A->B shift vs Stable x mC direction	8844	2.73137091676924	1.44962524359702	1.45786883062714e-05	5.09468900263051	9.99900009999e-05	-0.463797970322922	0.610478031720188	Confirmed
37-11	31b	Loop direction x MeCP2 Sig Up at anchors	3494	0.33621687102773	-1.57253597549663	0.000122664763359241	-4.30308957999039	0.0007999200079992	-0.582451609342385	0.937664913118559	Confirmed
