group	mark	predicted_direction	n_concordant	n_total	pct_concordant
mC Up	MeCP2	MeCP2 Up	2059	6869	29.9752511282574
mC Down	MeCP2	MeCP2 Down	2024	2966	68.2400539447067
hmC Down	MeCP2	MeCP2 Up	2512	8606	29.1889379502673
hmC Up	MeCP2	MeCP2 Down	1201	1828	65.7002188183807
mC Up	ATAC	ATAC Down	938	1710	54.8538011695906
mC Down	ATAC	ATAC Up	1122	1251	89.6882494004796
hmC Down	ATAC	ATAC Down	961	2006	47.9062811565304
hmC Up	ATAC	ATAC Up	892	970	91.9587628865979
mC Up	K119ub	K119ub Gained	1359	1989	68.3257918552036
mC Down	K119ub	K119ub Lost	889	1208	73.5927152317881
hmC Down	K119ub	K119ub Gained	1404	2254	62.2892635314996
hmC Up	K119ub	K119ub Lost	520	827	62.8778718258767
