perspective	mark	quadrant	observed	expected	oe_ratio	fisher_or	fisher_p	p_label	short_quadrant
5hmC	MeCP2	hmC Down + MeCP2 Up	1194	1229.3	0.97	0.705032459974515	0.000431778715156664	p=4.3e-04	MeCP2 Up
5hmC	MeCP2	hmC Up + MeCP2 Down	324	359.3	0.9	0.705032459974515	0.000431778715156664	p=4.3e-04	MeCP2 Down
5hmC	ATAC	hmC Up + ATAC Up	325	204.1	1.59	0.0495990175970148	1.59015076563814e-63	p=1.6e-63	ATAC Up
5hmC	ATAC	hmC Down + ATAC Down	563	442.1	1.27	0.0495990175970148	1.59015076563814e-63	p=1.6e-63	ATAC Down
5hmC	K119ub	hmC Down + K119ub Gained	898	835.3	1.08	3.17389873585988	1.22238883586202e-17	p=1.2e-17	K119ub Gained
5hmC	K119ub	hmC Up + K119ub Lost	156	93.3	1.67	3.17389873585988	1.22238883586202e-17	p=1.2e-17	K119ub Lost
5mC	MeCP2	mC Up + MeCP2 Up	1017	1038.6	0.98	0.805108826593337	0.0325895013211557	p=0.033	MeCP2 Up
5mC	MeCP2	mC Down + MeCP2 Down	341	362.6	0.94	0.805108826593337	0.0325895013211557	p=0.033	MeCP2 Down
5mC	ATAC	mC Down + ATAC Up	272	152.4	1.78	0.058256742721409	9.72298534696384e-64	p=9.7e-64	ATAC Up
5mC	ATAC	mC Up + ATAC Down	613	493.4	1.24	0.058256742721409	9.72298534696384e-64	p=9.7e-64	ATAC Down
5mC	K119ub	mC Up + K119ub Gained	872	787.2	1.11	5.83495258612772	2.89771435312287e-34	p=2.9e-34	K119ub Gained
5mC	K119ub	mC Down + K119ub Lost	165	80.2	2.06	5.83495258612772	2.89771435312287e-34	p=2.9e-34	K119ub Lost
