perspective	mark	quadrant	observed	expected	oe_ratio	fisher_or	fisher_p	p_label	short_quadrant
5mC	ATAC-seq	mC Down + ATAC Up	697	612.2	1.14	0.0582257212955822	1.13331520639873e-52	p=1.1e-52	ATAC Up
5mC	ATAC-seq	mC Up + ATAC Down	130	45.2	2.88	0.0582257212955822	1.13331520639873e-52	p=1.1e-52	ATAC Down
5hmC	ATAC-seq	hmC Up + ATAC Up	592	518.5	1.14	0.0645977951796912	2.45640269764639e-41	p=2.5e-41	ATAC Up
5hmC	ATAC-seq	hmC Down + ATAC Down	130	56.5	2.3	0.0645977951796912	2.45640269764639e-41	p=2.5e-41	ATAC Down
5mC	H3K27ac	mC Down + K27ac Gained	361	166.5	2.17	0.062695830254385	2.4470970646976e-111	p=2.4e-111	K27ac Gained
5mC	H3K27ac	mC Up + K27ac Lost	941	746.5	1.26	0.062695830254385	2.4470970646976e-111	p=2.4e-111	K27ac Lost
5hmC	H3K27ac	hmC Up + K27ac Gained	256	129	1.98	0.109913880806349	2.8422809045591e-59	p=2.8e-59	K27ac Gained
5hmC	H3K27ac	hmC Down + K27ac Lost	884	757	1.17	0.109913880806349	2.8422809045591e-59	p=2.8e-59	K27ac Lost
5mC	H3K27me3	mC Up + K27me3 Gained	326	198.6	1.64	14.2364533221737	1.42695343726687e-69	p=1.4e-69	K27me3 Gained
5mC	H3K27me3	mC Down + K27me3 Lost	385	257.6	1.49	14.2364533221737	1.42695343726687e-69	p=1.4e-69	K27me3 Lost
5hmC	H3K27me3	hmC Down + K27me3 Gained	409	256.1	1.6	23.0592511008726	3.94517954864102e-96	p=3.9e-96	K27me3 Gained
5hmC	H3K27me3	hmC Up + K27me3 Lost	368	215.1	1.71	23.0592511008726	3.94517954864102e-96	p=3.9e-96	K27me3 Lost
5mC	H2AK119ub	mC Up + K119ub Gained	1782	1472.8	1.21	14.7703683312049	8.90640441415549e-176	p=8.9e-176	K119ub Gained
5mC	H2AK119ub	mC Down + K119ub Lost	533	223.8	2.38	14.7703683312049	8.90640441415549e-176	p=8.9e-176	K119ub Lost
5hmC	H2AK119ub	hmC Down + K119ub Gained	1902	1730	1.1	6.46345492184934	1.13769473099694e-73	p=1.1e-73	K119ub Gained
5hmC	H2AK119ub	hmC Up + K119ub Lost	299	127	2.35	6.46345492184934	1.13769473099694e-73	p=1.1e-73	K119ub Lost
