## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /dev/null --MINIMUM_PCT 0.0 --INCLUDE_DUPLICATES true --INPUT 250504_B1_Bap1_P60_ctrl2_5mC_S45_L002.good_mapq --OUTPUT 250504_B1_Bap1_P60_ctrl2_5mC_S45_L002.good_mapq.insert_size_metrics.txt --VALIDATION_STRINGENCY SILENT --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 26 13:08:36 PDT 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
236	192	63	2	136372192	259.33303	107.892303	11390487	FR	25	49	75	101	127	157	193	241	345	469	729			
2409.5	2458	168	192	140582059	2253.431034	373.676035	498	RF	63	101	149	213	335	545	5245	509663	61419395	108979303	190103689			
28197132	28197132	0	28197132	28197132	28197132	?	1	TANDEM	1	1	1	1	1	1	1	1	1	1	1			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
2	20	0	0
3	21	0	0
4	27	0	0
5	22	0	0
6	21	0	0
7	21	0	0
8	28	0	0
9	30	0	0
10	33	0	0
11	25	0	0
12	33	0	0
13	45	0	0
14	33	0	0
15	46	0	0
16	35	0	0
17	41	0	0
18	36	0	0
19	48	0	0
20	48	0	0
21	54	0	0
22	37	0	0
23	57	0	0
24	53	0	0
25	49	0	0
26	57	0	0
27	64	0	0
28	52	0	0
29	50	0	0
30	66	0	0
31	75	0	0
32	77	0	0
33	74	0	0
34	94	0	0
35	77	0	0
36	99	0	0
37	75	0	0
38	64	0	0
39	42	0	0
40	81	0	0
41	71	0	0
42	87	0	0
43	94	0	0
44	87	0	0
45	106	0	0
46	125	0	0
47	118	0	0
48	132	0	0
49	162	0	0
50	179	0	0
51	175	0	0
52	196	0	0
53	219	0	0
54	246	0	0
55	262	0	0
56	315	0	0
57	344	0	0
58	322	0	0
59	428	0	0
60	404	0	0
61	494	0	0
62	519	0	0
63	607	0	0
64	637	0	0
65	678	0	0
66	781	0	0
67	828	0	0
68	912	0	0
69	986	0	0
70	1127	0	0
71	1318	0	0
72	1351	0	0
73	1508	0	0
74	1637	0	0
75	1720	0	0
76	1964	0	0
77	1995	0	0
78	2192	0	0
79	2413	0	0
80	2604	0	0
81	2821	0	0
82	3032	0	0
83	3275	0	0
84	3509	0	0
85	3842	0	0
86	4042	0	0
87	4348	0	0
88	4747	0	0
89	4965	0	0
90	5229	0	0
91	5586	0	0
92	6010	0	0
93	6195	0	0
94	6711	0	0
95	7041	0	0
96	7406	0	0
97	7899	0	0
98	8188	0	0
99	8932	0	0
100	9294	0	0
101	9773	0	0
102	10239	0	0
103	10743	0	0
104	11191	0	0
105	11751	0	0
106	12288	0	0
107	12740	0	0
108	13267	0	0
109	13837	0	0
110	14257	0	0
111	15146	0	0
112	15613	0	0
113	16167	0	0
114	16724	0	0
115	17257	0	0
116	17820	0	0
117	18375	0	0
118	19277	0	0
119	19945	0	0
120	20494	0	0
121	21050	0	0
122	21954	0	0
123	22501	0	0
124	23079	0	0
125	23942	0	0
126	24276	0	0
127	24975	0	0
128	25499	0	0
129	26130	0	0
130	26696	0	0
131	27902	0	0
132	28305	0	0
133	29010	0	0
134	29188	0	0
135	30186	0	0
136	31207	0	0
137	31916	0	0
138	32359	0	0
139	33703	0	0
140	33849	0	0
141	34594	0	0
142	35446	0	0
