## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /dev/null --MINIMUM_PCT 0.0 --INCLUDE_DUPLICATES true --INPUT 260516_EMseq_LV_index_C1_Bap1_Math1_adult_ctrl_3200_S65_L001.good_mapq --OUTPUT 260516_EMseq_LV_index_C1_Bap1_Math1_adult_ctrl_3200_S65_L001.good_mapq.insert_size_metrics.txt --VALIDATION_STRINGENCY SILENT --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 26 14:08:19 PDT 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
235	170	67	2	141823330	255.383557	102.36392	11617926	FR	27	55	81	107	135	163	195	239	337	435	619			
16126.5	10684509	16072	51	138716197	12867.859375	6362.314393	124	RF	127	243	477	19521	32141	4177579	22361751	61920887	110745555	167629877	260814903			
0	0	0	0	0	0	0	0	TANDEM	0	0	0	0	0	0	0	0	0	0	0			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count
2	115	0
3	144	0
4	111	0
5	110	0
6	119	0
7	115	0
8	95	0
9	143	0
10	122	0
11	144	0
12	120	0
13	145	0
14	134	0
15	158	0
16	180	0
17	148	0
18	156	0
19	181	0
20	174	0
21	184	0
22	202	0
23	202	0
24	215	0
25	228	0
26	231	0
27	236	0
28	202	0
29	232	0
30	227	0
31	112	0
32	126	0
33	124	0
34	136	0
35	138	0
36	159	0
37	149	0
38	166	0
39	184	0
40	174	0
41	188	0
42	201	0
43	191	0
44	188	0
45	220	0
46	230	0
47	247	0
48	225	0
49	257	0
50	240	0
51	263	1
52	215	0
53	241	1
54	228	0
55	247	0
56	216	2
57	206	0
58	224	0
59	256	0
60	272	0
61	261	0
62	258	0
63	295	0
64	319	0
65	312	0
66	343	0
67	393	0
68	428	0
69	461	0
70	569	0
71	664	0
72	704	0
73	705	0
74	797	0
75	941	0
76	967	0
77	1151	0
78	1164	0
79	1220	0
80	1429	0
81	1567	0
82	1647	0
83	1905	0
84	1953	0
85	2233	0
86	2416	0
87	2792	0
88	2957	0
89	3277	0
90	3543	0
91	3982	0
92	4350	0
93	4745	0
94	4989	0
95	5584	0
96	6084	0
97	6571	0
98	7063	0
99	7489	0
100	8385	0
101	9043	0
102	9522	0
103	10159	0
104	10901	0
105	11362	0
106	11978	0
107	12974	0
108	13541	0
109	14078	0
110	15211	0
111	15906	0
112	16797	0
113	17841	0
114	18374	0
115	19222	0
116	20313	0
117	21199	0
118	21980	0
119	23052	0
120	24042	0
121	24866	0
122	25482	0
123	26707	0
124	27564	0
125	28503	0
126	29140	0
127	30080	0
128	31131	0
129	32124	0
130	32748	0
131	33754	0
132	35073	0
133	35627	0
134	36158	0
135	37063	0
136	38979	0
137	39434	0
138	40066	0
139	40529	0
140	42033	0
141	41903	0
142	43185	0
143	43913	0
144	44592	0
145	45506	0
146	46024	0
147	46786	0
148	47363	0
149	48291	0
150	48820	0
151	49512	0
152	50327	0
153	50166	0
154	50571	0
155	51346	0
156	51659	0
157	51728	1
158	52394	0
159	52917	0
160	53490	0
