TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	999321.0	999308.0	999337.0
2000000.0	1997407.0	1997358.5	1997460.6
3000000.0	2994431.0	2994329.3	2994536.6
4000000.0	3990526.5	3990353.6	3990695.0
5000000.0	4985801.5	4985545.1	4986038.7
6000000.0	5980340.0	5979991.1	5980653.5
7000000.0	6974223.5	6973768.8	6974616.1
8000000.0	7967505.7	7966938.6	7967983.2
9000000.0	8960244.8	8959560.2	8960808.8
10000000.0	9952475.3	9951680.4	9953137.6
11000000.0	10944248.2	10943342.4	10945010.9
12000000.0	11935594.2	11934586.0	11936465.8
13000000.0	12926551.2	12925447.3	12927536.3
14000000.0	13917160.3	13915960.1	13918253.7
15000000.0	14907471.4	14906155.6	14908647.3
16000000.0	15897492.8	15896062.1	15898741.3
17000000.0	16887207.2	16885624.1	16888557.7
18000000.0	17876646.2	17874915.5	17878134.2
19000000.0	18865848.5	18863951.0	18867488.4
20000000.0	19854849.3	19852764.5	19856640.3
21000000.0	20843554.3	20841209.9	20845587.4
22000000.0	21832086.9	21829324.6	21834338.2
23000000.0	22820384.5	22817109.9	22822899.3
24000000.0	23808418.6	23804721.9	23811277.9
25000000.0	24796317.7	24792095.4	24799665.6
26000000.0	25784089.0	25779237.5	25787991.5
27000000.0	26771588.2	26766155.1	26776079.7
28000000.0	27758900.5	27752795.3	27763899.2
29000000.0	28746304.2	28738963.7	28751751.9
30000000.0	29733429.9	29724841.9	29739511.9
31000000.0	30720279.1	30710435.7	30727160.2
32000000.0	31707232.3	31695979.3	31714700.2
33000000.0	32694032.2	32681459.4	32702135.3
34000000.0	33680564.0	33666740.0	33689468.8
35000000.0	34666828.5	34651447.2	34676703.6
36000000.0	35653097.0	35635921.9	35663842.8
37000000.0	36639214.8	36620173.4	36650889.2
38000000.0	37625173.0	37604206.6	37637845.5
39000000.0	38611078.8	38587983.8	38624714.3
40000000.0	39597125.9	39571547.5	39611498.1
41000000.0	40582827.0	40554901.9	40598199.3
42000000.0	41568481.2	41538050.0	41584820.2
43000000.0	42554114.5	42520994.2	42571362.9
44000000.0	43539657.2	43503736.6	43557829.6
45000000.0	44524997.0	44486279.3	44544222.2
46000000.0	45510240.1	45468623.9	45530542.6
47000000.0	46495532.6	46450771.8	46516792.7
48000000.0	47480569.5	47432724.3	47502974.1
49000000.0	48465448.2	48414482.8	48489088.5
50000000.0	49450400.8	49396048.2	49475137.5
51000000.0	50435303.0	50377421.5	50461122.5
52000000.0	51420127.9	51358603.7	51447045.0
53000000.0	52404859.4	52339595.6	52432906.2
54000000.0	53389451.2	53320398.0	53418707.6
55000000.0	54373962.7	54301011.5	54404450.3
56000000.0	55358395.1	55281436.8	55390135.4
57000000.0	56342668.5	56261674.7	56375764.1
58000000.0	57326796.5	57241671.2	57361439.1
59000000.0	58310839.0	58221478.1	58347114.7
60000000.0	59294796.9	59201099.8	59332748.0
61000000.0	60278670.9	60180536.9	60318340.1
62000000.0	61262539.6	61159789.9	61303891.9
63000000.0	62246369.8	62138859.2	62289404.4
64000000.0	63230125.5	63117745.3	63274878.5
65000000.0	64213807.3	64096448.7	64260315.0
66000000.0	65197416.1	65074969.6	65245714.7
67000000.0	66180693.1	66053308.6	66231078.3
68000000.0	67163826.0	67031466.0	67216406.7
69000000.0	68146993.7	68009442.0	68201700.4
70000000.0	69130227.3	68987237.2	69186960.3
71000000.0	70113468.0	69964851.8	70172186.8
72000000.0	71096638.6	70942286.1	71157380.7
73000000.0	72079739.7	71919540.5	72142546.3
74000000.0	73062771.8	72896615.2	73127692.2
75000000.0	74045735.2	73873510.5	74112808.0
76000000.0	75028630.5	74850226.7	75097894.2
77000000.0	76011458.0	75826764.1	76082951.3
78000000.0	76994218.2	76803123.0	77067979.8
79000000.0	77976728.3	77779303.5	78052980.2
80000000.0	78959141.2	78755305.9	79037952.8
81000000.0	79941480.3	79731130.5	80022898.2
82000000.0	80923793.2	80706777.5	81007922.8
83000000.0	81906137.1	81682247.1	81992979.4
84000000.0	82888414.2	82657539.6	82978016.7
85000000.0	83870624.9	83632700.4	83962999.3
