TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	999558.0	999547.9	999566.0
2000000.0	1998297.0	1998263.9	1998332.1
3000000.0	2996325.5	2996255.7	2996393.1
4000000.0	3993727.5	3993609.4	3993833.1
5000000.0	4990561.0	4990389.9	4990712.6
6000000.0	5986892.5	5986652.4	5987087.6
7000000.0	6982761.5	6982443.1	6983004.7
8000000.0	7978204.5	7977803.3	7978501.5
9000000.0	8973257.3	8972774.6	8973609.9
10000000.0	9967949.1	9967384.5	9968357.3
11000000.0	10962300.4	10961658.5	10962774.5
12000000.0	11956339.6	11955620.5	11956884.0
13000000.0	12950091.7	12949291.8	12950702.3
14000000.0	13943571.3	13942691.6	13944249.6
15000000.0	14936796.1	14935836.1	14937549.0
16000000.0	15929786.9	15928730.7	15930614.8
17000000.0	16922553.6	16921379.8	16923464.1
18000000.0	17915128.8	17913811.3	17916122.3
19000000.0	18907493.4	18906038.1	18908592.3
20000000.0	19899656.3	19898069.4	19900851.2
21000000.0	20891592.6	20889913.9	20892924.0
22000000.0	21883419.7	21881580.1	21884816.6
23000000.0	22875027.4	22873078.6	22876645.1
24000000.0	23866449.3	23864375.6	23868215.7
25000000.0	24857702.2	24855509.8	24859607.3
26000000.0	25848826.6	25846362.3	25850826.3
27000000.0	26839719.1	26837102.4	26841977.2
28000000.0	27830564.4	27827148.4	27833058.7
29000000.0	28821281.5	28816917.2	28824018.1
30000000.0	29811905.3	29806593.5	29814918.6
31000000.0	30802388.2	30796057.7	30805727.3
32000000.0	31792711.8	31785311.6	31796410.3
33000000.0	32782867.5	32774370.2	32786992.0
34000000.0	33772843.1	33763199.1	33777480.5
35000000.0	34762749.7	34751293.6	34767879.2
36000000.0	35752510.7	35739400.5	35758189.9
37000000.0	36742184.0	36727829.3	36748415.2
38000000.0	37731815.9	37716082.6	37738557.5
39000000.0	38721407.0	38703970.3	38728618.7
40000000.0	39710628.0	39691573.7	39718660.3
41000000.0	40699983.8	40679012.6	40708669.8
42000000.0	41689245.5	41666287.8	41698614.6
43000000.0	42678415.1	42652884.4	42688496.9
44000000.0	43667494.1	43639158.9	43678318.8
45000000.0	44656482.5	44625151.9	44668082.1
46000000.0	45645177.6	45610866.7	45657788.5
47000000.0	46633987.5	46595897.2	46647439.7
48000000.0	47622581.4	47580550.7	47637037.4
49000000.0	48610855.8	48564921.2	48626584.5
50000000.0	49599402.0	49549011.7	49616082.0
51000000.0	50587719.5	50532825.1	50605530.2
52000000.0	51575894.5	51516364.4	51594930.2
53000000.0	52564007.8	52499632.1	52584283.3
54000000.0	53552006.4	53482630.8	53573590.5
55000000.0	54539869.9	54465363.1	54562852.9
56000000.0	55527685.9	55448059.0	55552071.6
57000000.0	56515516.8	56431203.5	56541247.4
58000000.0	57503265.9	57414156.0	57530381.3
59000000.0	58490772.7	58396916.6	58519474.2
60000000.0	59478159.8	59379485.7	59508526.8
61000000.0	60465455.9	60361863.3	60497539.9
62000000.0	61452708.6	61344049.8	61486514.3
63000000.0	62439912.2	62326045.1	62475450.7
64000000.0	63427031.4	63307849.3	63464349.6
65000000.0	64414066.8	64289462.6	64453211.8
66000000.0	65401066.7	65270885.0	65442037.9
67000000.0	66388003.3	66252116.5	66430828.3
68000000.0	67374859.2	67233157.2	67419583.8
69000000.0	68361634.7	68214007.1	68408304.7
70000000.0	69348330.5	69194666.2	69396991.6
71000000.0	70334946.7	70175134.7	70385645.0
72000000.0	71321483.9	71155412.5	71374265.3
73000000.0	72307942.3	72135499.6	72362852.9
74000000.0	73294322.4	73115396.1	73351408.2
75000000.0	74280624.5	74095102.1	74339931.8
76000000.0	75266848.9	75074617.5	75328423.8
77000000.0	76252995.9	76053942.3	76316884.7
78000000.0	77239065.8	77033076.7	77305314.9
79000000.0	78225058.9	78012020.7	78293714.7
80000000.0	79210975.6	78990774.3	79282084.3
81000000.0	80196779.3	79969337.5	80270424.1
82000000.0	81182468.8	80947710.4	81258734.4
83000000.0	82168222.0	81925893.0	82247015.4
84000000.0	83153882.2	82903885.5	83235267.5
85000000.0	84139420.1	83881687.7	84223490.9
86000000.0	85124883.0	84859299.8	85211685.8
87000000.0	86110271.1	85836721.9	86199852.6
88000000.0	87095584.6	86813953.9	87187991.3
89000000.0	88080823.6	87790996.0	88176102.2
90000000.0	89065988.5	88767848.1	89164321.3
91000000.0	90051079.3	89744510.4	90152541.7
92000000.0	91036096.2	90720982.9	91140743.0
93000000.0	92021039.5	91697265.7	92128925.5
94000000.0	93005909.3	92673358.7	93117089.5
95000000.0	93990705.8	93649262.2	94105235.2
96000000.0	94975429.1	94624976.0	95093362.9
97000000.0	95960079.4	95600500.4	96081472.9
98000000.0	96944656.8	96575835.3	97069565.4
99000000.0	97929161.5	97550980.8	98057640.7
100000000.0	98913593.5	98525937.0	99045699.0
101000000.0	99897953.2	99500703.9	100033740.5
102000000.0	100882240.5	100475281.7	101021765.5
103000000.0	101866455.6	101449670.2	102009774.2
104000000.0	102850598.7	102423869.7	102997766.7
105000000.0	103834669.8	103397880.2	103985743.4
106000000.0	104818669.1	104371701.8	104973704.3
107000000.0	105802596.7	105345334.4	105961649.8
108000000.0	106786452.6	106318778.2	106949579.9
109000000.0	107770237.1	107292033.3	107937494.8
110000000.0	108753953.0	108265099.7	108925394.9
111000000.0	109737710.3	109237977.4	109913280.1
112000000.0	110721399.3	110210666.5	110901150.7
113000000.0	111705020.2	111183167.2	111889006.8
114000000.0	112688573.0	112155479.4	112876848.6
115000000.0	113672057.8	113127603.2	113864676.3
116000000.0	114655474.8	114099538.7	114852490.0
117000000.0	115638824.0	115071286.0	115840290.9
118000000.0	116622105.5	116042845.1	116828092.4
119000000.0	117605319.3	117014216.0	117815880.9
120000000.0	118588465.7	117985398.9	118803656.4
121000000.0	119571544.6	118956393.8	119791419.0
122000000.0	120554556.2	119927200.7	120779168.9
123000000.0	121537500.5	120897819.8	121766906.3
124000000.0	122520377.6	121868251.1	122754631.2
125000000.0	123503187.6	122838494.6	123742343.7
126000000.0	124485930.5	123808550.5	124730044.1
127000000.0	125468606.5	124778418.7	125717732.3
128000000.0	126451215.5	125748099.4	126705408.5
129000000.0	127433757.7	126717592.6	127693072.9
130000000.0	128416233.2	127686898.4	128680725.4
131000000.0	129398641.9	128656016.8	129668366.3
132000000.0	130380984.0	129624947.9	130655995.6
133000000.0	131363259.5	130593691.7	131643613.5
134000000.0	132345468.5	131562248.4	132631219.9
135000000.0	133327611.1	132530617.9	133618815.1
136000000.0	134309687.2	133498800.5	134606399.1
137000000.0	135291697.0	134466796.0	135593971.9
138000000.0	136273640.5	135434604.5	136581533.8
139000000.0	137255517.8	136402226.2	137569084.7
140000000.0	138237328.8	137369661.1	138556624.8
141000000.0	139218715.6	138336909.3	139544154.1
142000000.0	140199534.5	139303970.8	140531672.7
143000000.0	141180274.5	140270845.6	141519180.7
144000000.0	142161051.6	141237533.9	142506678.2
145000000.0	143141746.3	142204035.7	143494165.2
146000000.0	144122358.4	143170351.0	144481641.9
147000000.0	145102888.1	144136480.0	145469108.2
148000000.0	146083718.9	145102422.6	146456564.3
149000000.0	147064830.2	146068179.0	147444010.2
150000000.0	148045875.1	147033749.1	148431446.0
151000000.0	149026853.6	147999133.2	149418871.7
152000000.0	150007765.8	148964331.1	150406287.5
153000000.0	150988628.8	149929343.1	151393693.4
154000000.0	151969432.2	150894169.0	152381089.4
155000000.0	152950170.1	151858809.1	153368475.6
156000000.0	153930842.5	152823263.4	154355852.1
157000000.0	154911449.5	153787531.8	155343218.9
158000000.0	155891991.0	154751614.5	156330576.1
159000000.0	156872467.2	155715511.6	157317923.7
160000000.0	157852878.1	156679223.1	158305261.8
161000000.0	158833223.7	157642749.0	159292590.4
162000000.0	159813504.0	158606089.4	160279909.7
163000000.0	160793719.1	159569244.4	161267219.5
164000000.0	161773869.0	160532214.1	162254520.1
165000000.0	162753953.8	161494998.4	163241811.4
166000000.0	163733973.5	162457597.5	164229093.5
167000000.0	164713928.1	163420011.3	165216366.4
168000000.0	165693817.6	164382240.1	166203630.2
169000000.0	166673642.2	165344283.7	167190885.0
170000000.0	167653401.7	166306142.4	168178130.7
171000000.0	168633096.4	167267816.1	169165367.4
172000000.0	169612726.1	168229304.9	170152595.2
173000000.0	170592290.9	169190608.8	171139814.0
174000000.0	171571790.9	170151728.0	172127024.0
175000000.0	172551226.1	171112662.4	173114225.2
176000000.0	173530596.5	172073412.1	174101417.6
177000000.0	174509902.1	173033977.3	175088601.3
178000000.0	175489142.9	173994357.8	176075776.2
179000000.0	176468306.6	174954553.9	177062942.5
180000000.0	177447235.8	175914565.5	178050100.2
181000000.0	178426097.6	176874392.8	179037249.2
182000000.0	179404891.9	177834035.7	180024389.7
183000000.0	180383618.8	178793494.3	181011521.7
184000000.0	181362278.3	179752768.8	181998645.1
185000000.0	182340870.4	180711859.0	182985760.1
186000000.0	183319395.2	181670765.2	183972866.7
187000000.0	184297852.6	182629487.3	184959964.9
188000000.0	185276166.8	183588025.4	185947054.7
189000000.0	186254212.9	184546379.6	186934136.2
190000000.0	187232187.1	185504549.9	187921209.3
191000000.0	188210089.5	186462536.4	188908274.2
192000000.0	189187920.0	187420339.1	189895330.9
193000000.0	190165678.7	188377958.2	190882379.3
194000000.0	191143365.7	189335393.5	191869419.5
195000000.0	192120980.9	190292645.3	192856451.6
196000000.0	193098524.3	191249713.5	193843475.6
197000000.0	194075996.0	192206598.3	194830491.4
198000000.0	195053395.9	193163299.6	195817499.2
199000000.0	196030724.1	194119817.5	196804498.9
200000000.0	197007980.7	195076152.1	197791490.6
201000000.0	197985165.5	196032303.5	198778474.2
202000000.0	198962278.7	196988271.6	199765449.9
203000000.0	199939320.2	197944056.6	200752417.7
204000000.0	200916290.1	198899658.5	201739377.5
205000000.0	201893188.3	199855077.4	202726329.4
206000000.0	202870014.9	200810313.3	203713273.4
207000000.0	203846769.9	201765366.2	204700209.5
