#Insert size (bp)	insert size
20.0	257.0
21.0	332.0
22.0	447.0
23.0	532.0
24.0	603.0
25.0	666.0
26.0	726.0
27.0	750.0
28.0	729.0
29.0	778.0
30.0	1155.0
31.0	1182.0
32.0	1271.0
33.0	1364.0
34.0	1487.0
35.0	1576.0
36.0	1753.0
37.0	1832.0
38.0	2072.0
39.0	2334.0
40.0	2555.0
41.0	2803.0
42.0	3064.0
43.0	3330.0
44.0	3548.0
45.0	3906.0
46.0	4134.0
47.0	4556.0
48.0	4876.0
49.0	5165.0
50.0	5448.0
51.0	5891.0
52.0	6188.0
53.0	6557.0
54.0	7002.0
55.0	7359.0
56.0	7809.0
57.0	8038.0
58.0	8607.0
59.0	8902.0
60.0	9567.0
61.0	10155.0
62.0	10552.0
63.0	10752.0
64.0	11396.0
65.0	11730.0
66.0	12452.0
67.0	12610.0
68.0	13465.0
69.0	13944.0
70.0	14354.0
71.0	14913.0
72.0	15202.0
73.0	16015.0
74.0	16314.0
75.0	17352.0
76.0	17870.0
77.0	18243.0
78.0	18831.0
79.0	19266.0
80.0	20021.0
81.0	20661.0
82.0	21270.0
83.0	22017.0
84.0	22825.0
85.0	23465.0
86.0	24296.0
87.0	25089.0
88.0	26016.0
89.0	26547.0
90.0	27668.0
91.0	28457.0
92.0	28652.0
93.0	29564.0
94.0	30213.0
95.0	31227.0
96.0	31862.0
97.0	32780.0
98.0	33728.0
99.0	34399.0
100.0	35773.0
101.0	36691.0
102.0	36194.0
103.0	37728.0
104.0	38009.0
105.0	38611.0
106.0	39514.0
107.0	39697.0
108.0	39916.0
109.0	40471.0
110.0	41408.0
111.0	42033.0
112.0	41665.0
113.0	42161.0
114.0	42302.0
115.0	42741.0
116.0	42995.0
117.0	43000.0
118.0	42842.0
119.0	43528.0
120.0	43781.0
121.0	43919.0
122.0	44013.0
123.0	44188.0
124.0	44444.0
125.0	44348.0
126.0	44319.0
127.0	44357.0
128.0	44290.0
129.0	44542.0
130.0	44412.0
131.0	44473.0
132.0	44117.0
133.0	43909.0
134.0	44246.0
135.0	44358.0
136.0	44454.0
137.0	44071.0
138.0	43821.0
139.0	44110.0
140.0	44322.0
141.0	43592.0
142.0	43577.0
143.0	43653.0
144.0	42927.0
145.0	43335.0
146.0	42767.0
147.0	43110.0
148.0	42557.0
149.0	42768.0
150.0	42137.0
151.0	41826.0
152.0	41901.0
153.0	41784.0
154.0	41636.0
155.0	41413.0
156.0	40929.0
157.0	40808.0
158.0	40769.0
159.0	40238.0
160.0	39990.0
161.0	39966.0
162.0	39544.0
163.0	39548.0
164.0	39146.0
165.0	38837.0
166.0	38702.0
167.0	38449.0
168.0	38074.0
169.0	37597.0
170.0	37512.0
171.0	37009.0
172.0	37208.0
173.0	36724.0
174.0	36504.0
175.0	36157.0
176.0	36172.0
177.0	35591.0
178.0	35257.0
179.0	34771.0
180.0	34837.0
181.0	34482.0
182.0	34256.0
183.0	33813.0
184.0	33573.0
185.0	33482.0
186.0	33116.0
187.0	32659.0
188.0	32439.0
189.0	31915.0
190.0	31749.0
191.0	31299.0
192.0	31540.0
193.0	30758.0
194.0	30858.0
195.0	30346.0
196.0	29924.0
197.0	29650.0
198.0	29348.0
199.0	29205.0
200.0	28398.0
201.0	28738.0
202.0	28040.0
203.0	27905.0
204.0	27483.0
205.0	27192.0
206.0	27496.0
207.0	26755.0
208.0	26287.0
209.0	26132.0
210.0	25989.0
211.0	25753.0
212.0	25887.0
213.0	25145.0
214.0	25117.0
215.0	24377.0
216.0	24400.0
217.0	24411.0
218.0	23966.0
219.0	23648.0
220.0	23591.0
221.0	23576.0
222.0	23270.0
223.0	22974.0
224.0	22510.0
225.0	22440.0
226.0	22516.0
227.0	22011.0
228.0	21997.0
229.0	21677.0
230.0	21494.0
231.0	21178.0
232.0	21097.0
233.0	20793.0
234.0	20604.0
235.0	20536.0
236.0	20137.0
237.0	19958.0
238.0	19686.0
239.0	19805.0
240.0	19654.0
241.0	19264.0
242.0	18974.0
243.0	18877.0
244.0	18771.0
245.0	18328.0
246.0	18471.0
247.0	18093.0
248.0	17915.0
249.0	17592.0
250.0	17353.0
251.0	17323.0
252.0	17200.0
253.0	17073.0
254.0	16559.0
255.0	16757.0
256.0	16601.0
257.0	16381.0
258.0	16509.0
259.0	16018.0
260.0	15817.0
261.0	15395.0
262.0	15367.0
263.0	15608.0
264.0	15358.0
265.0	15075.0
266.0	14739.0
267.0	14821.0
268.0	14383.0
269.0	14378.0
270.0	14271.0
271.0	14161.0
272.0	13831.0
273.0	13483.0
274.0	13660.0
275.0	13488.0
276.0	13294.0
277.0	13247.0
278.0	13051.0
279.0	12763.0
280.0	12868.0
281.0	12748.0
282.0	12466.0
283.0	12481.0
284.0	12343.0
285.0	12263.0
286.0	11984.0
287.0	11905.0
288.0	11667.0
289.0	11255.0
290.0	11439.0
291.0	11333.0
292.0	11061.0
293.0	11191.0
294.0	11076.0
295.0	10531.0
296.0	10751.0
297.0	10452.0
298.0	10558.0
299.0	10196.0
300.0	10309.0
301.0	10015.0
302.0	10066.0
303.0	9705.0
304.0	9675.0
305.0	9720.0
306.0	9580.0
307.0	9314.0
308.0	9350.0
309.0	9088.0
310.0	9103.0
311.0	9011.0
312.0	9105.0
313.0	8684.0
314.0	8552.0
315.0	8404.0
316.0	8430.0
317.0	8352.0
318.0	8219.0
319.0	8287.0
320.0	8143.0
321.0	7964.0
322.0	7733.0
323.0	7717.0
324.0	7663.0
325.0	7607.0
326.0	7469.0
327.0	7304.0
328.0	7374.0
329.0	7282.0
330.0	7160.0
331.0	7087.0
332.0	6940.0
333.0	6899.0
334.0	6684.0
335.0	6817.0
336.0	6680.0
337.0	6647.0
338.0	6437.0
339.0	6372.0
340.0	6219.0
341.0	6178.0
342.0	6295.0
343.0	5989.0
344.0	5898.0
345.0	5807.0
346.0	5814.0
347.0	5791.0
348.0	5765.0
349.0	5515.0
350.0	5397.0
351.0	5376.0
352.0	5446.0
353.0	5276.0
354.0	5373.0
355.0	5176.0
356.0	5256.0
357.0	4977.0
358.0	4933.0
359.0	4999.0
360.0	4897.0
361.0	4830.0
362.0	4825.0
363.0	4647.0
364.0	4651.0
365.0	4605.0
366.0	4540.0
367.0	4411.0
368.0	4310.0
369.0	4291.0
370.0	4253.0
371.0	4200.0
372.0	4097.0
373.0	4095.0
374.0	4025.0
375.0	3950.0
376.0	3964.0
377.0	3865.0
378.0	3764.0
379.0	3787.0
380.0	3667.0
381.0	3714.0
382.0	3659.0
383.0	3550.0
384.0	3519.0
385.0	3545.0
386.0	3417.0
387.0	3356.0
388.0	3452.0
389.0	3237.0
390.0	3260.0
391.0	3190.0
392.0	3160.0
393.0	3104.0
394.0	3201.0
395.0	3134.0
396.0	2982.0
397.0	2909.0
398.0	2870.0
399.0	2945.0
400.0	2753.0
401.0	2786.0
402.0	2788.0
403.0	2721.0
404.0	2704.0
405.0	2658.0
406.0	2626.0
407.0	2602.0
408.0	2557.0
409.0	2490.0
410.0	2498.0
411.0	2423.0
412.0	2369.0
413.0	2444.0
414.0	2306.0
415.0	2233.0
416.0	2267.0
417.0	2275.0
418.0	2247.0
419.0	2186.0
420.0	2046.0
421.0	2062.0
422.0	1960.0
423.0	2080.0
424.0	2035.0
425.0	2052.0
426.0	1980.0
427.0	1910.0
428.0	1961.0
429.0	1761.0
430.0	1829.0
431.0	1754.0
432.0	1740.0
433.0	1702.0
434.0	1667.0
435.0	1720.0
436.0	1632.0
437.0	1583.0
438.0	1549.0
439.0	1561.0
440.0	1508.0
441.0	1531.0
442.0	1469.0
443.0	1406.0
444.0	1406.0
445.0	1423.0
446.0	1331.0
447.0	1339.0
448.0	1325.0
449.0	1337.0
450.0	1300.0
451.0	1265.0
452.0	1264.0
453.0	1234.0
454.0	1136.0
