#Coverage	Number of genomic locations
0.0	1.702196495E9
1.0	6.30413078E8
2.0	2.76341857E8
3.0	8.3912677E7
4.0	2.4421425E7
5.0	6096317.0
6.0	1488007.0
7.0	357314.0
8.0	99292.0
9.0	36480.0
10.0	19009.0
11.0	13463.0
12.0	9544.0
13.0	7399.0
14.0	6692.0
15.0	5574.0
16.0	5093.0
17.0	5028.0
18.0	4377.0
19.0	4359.0
20.0	4476.0
21.0	4388.0
22.0	4330.0
23.0	4187.0
24.0	4169.0
25.0	3678.0
26.0	3665.0
27.0	3499.0
28.0	3174.0
29.0	2677.0
30.0	2670.0
31.0	2210.0
32.0	2223.0
33.0	1698.0
34.0	1675.0
35.0	1327.0
36.0	1177.0
37.0	1140.0
38.0	1092.0
39.0	947.0
40.0	873.0
41.0	763.0
42.0	720.0
43.0	652.0
44.0	701.0
45.0	661.0
46.0	646.0
47.0	729.0
48.0	730.0
49.0	723.0
50.0	723.0
51.0	799.0
52.0	660.0
53.0	689.0
54.0	599.0
55.0	621.0
56.0	661.0
57.0	634.0
58.0	612.0
59.0	601.0
60.0	541.0
61.0	567.0
62.0	561.0
63.0	441.0
64.0	523.0
65.0	480.0
66.0	476.0
67.0	450.0
68.0	445.0
69.0	449.0
70.0	422.0
71.0	405.0
72.0	456.0
73.0	439.0
74.0	331.0
75.0	329.0
76.0	350.0
77.0	319.0
78.0	352.0
79.0	277.0
80.0	238.0
81.0	215.0
82.0	212.0
83.0	238.0
84.0	235.0
85.0	201.0
86.0	170.0
87.0	154.0
88.0	144.0
89.0	113.0
90.0	121.0
91.0	123.0
92.0	100.0
93.0	63.0
94.0	77.0
95.0	65.0
96.0	86.0
97.0	66.0
98.0	69.0
99.0	74.0
100.0	71.0
101.0	70.0
102.0	65.0
103.0	91.0
104.0	68.0
105.0	108.0
106.0	85.0
107.0	79.0
108.0	50.0
109.0	73.0
110.0	46.0
111.0	55.0
112.0	54.0
113.0	52.0
114.0	68.0
115.0	44.0
116.0	59.0
117.0	36.0
118.0	79.0
119.0	76.0
120.0	61.0
121.0	69.0
122.0	68.0
123.0	52.0
124.0	76.0
125.0	67.0
126.0	64.0
127.0	61.0
128.0	64.0
129.0	31.0
130.0	34.0
131.0	37.0
132.0	39.0
133.0	43.0
134.0	35.0
135.0	34.0
136.0	32.0
137.0	37.0
138.0	40.0
139.0	38.0
140.0	31.0
141.0	31.0
142.0	30.0
143.0	31.0
144.0	34.0
145.0	22.0
146.0	27.0
147.0	34.0
148.0	49.0
149.0	39.0
150.0	33.0
151.0	29.0
152.0	26.0
153.0	33.0
154.0	38.0
155.0	30.0
156.0	36.0
157.0	33.0
158.0	41.0
159.0	45.0
160.0	35.0
161.0	48.0
162.0	23.0
163.0	36.0
164.0	24.0
165.0	24.0
166.0	28.0
167.0	36.0
168.0	25.0
169.0	25.0
170.0	32.0
171.0	16.0
172.0	21.0
173.0	33.0
174.0	30.0
175.0	21.0
176.0	25.0
177.0	22.0
178.0	26.0
179.0	23.0
180.0	14.0
181.0	22.0
182.0	23.0
183.0	20.0
184.0	16.0
185.0	25.0
186.0	22.0
187.0	17.0
188.0	24.0
189.0	16.0
190.0	40.0
191.0	29.0
192.0	33.0
193.0	31.0
194.0	25.0
195.0	22.0
196.0	31.0
197.0	26.0
198.0	38.0
199.0	25.0
200.0	23.0
201.0	25.0
202.0	20.0
203.0	14.0
204.0	19.0
205.0	15.0
206.0	20.0
207.0	25.0
208.0	27.0
209.0	33.0
210.0	22.0
211.0	28.0
212.0	33.0
213.0	28.0
214.0	25.0
215.0	25.0
216.0	27.0
217.0	21.0
218.0	17.0
219.0	19.0
220.0	26.0
221.0	15.0
222.0	18.0
223.0	19.0
224.0	29.0
225.0	21.0
226.0	32.0
227.0	12.0
228.0	22.0
229.0	14.0
230.0	31.0
231.0	20.0
232.0	17.0
233.0	18.0
234.0	19.0
235.0	15.0
236.0	19.0
237.0	28.0
238.0	21.0
239.0	18.0
240.0	29.0
241.0	21.0
242.0	19.0
243.0	27.0
244.0	25.0
245.0	25.0
246.0	32.0
247.0	24.0
248.0	25.0
249.0	35.0
250.0	23.0
251.0	28.0
252.0	17.0
253.0	23.0
254.0	23.0
255.0	14.0
256.0	24.0
257.0	18.0
258.0	20.0
259.0	15.0
260.0	18.0
261.0	17.0
262.0	18.0
263.0	20.0
264.0	16.0
265.0	13.0
266.0	16.0
267.0	19.0
268.0	15.0
269.0	17.0
270.0	21.0
271.0	24.0
272.0	19.0
273.0	17.0
274.0	19.0
275.0	24.0
276.0	18.0
277.0	25.0
278.0	19.0
279.0	17.0
280.0	14.0
281.0	17.0
282.0	14.0
283.0	17.0
284.0	16.0
285.0	18.0
286.0	15.0
287.0	14.0
288.0	16.0
289.0	15.0
290.0	22.0
291.0	14.0
292.0	17.0
293.0	16.0
294.0	15.0
295.0	13.0
296.0	14.0
297.0	20.0
298.0	18.0
299.0	12.0
300.0	22.0
301.0	16.0
302.0	21.0
303.0	15.0
304.0	24.0
305.0	17.0
306.0	10.0
307.0	15.0
308.0	12.0
309.0	15.0
310.0	13.0
311.0	9.0
312.0	11.0
313.0	10.0
314.0	6.0
315.0	26.0
316.0	21.0
317.0	24.0
318.0	13.0
319.0	12.0
320.0	17.0
321.0	12.0
322.0	16.0
323.0	23.0
324.0	16.0
325.0	15.0
326.0	18.0
327.0	21.0
328.0	29.0
329.0	18.0
330.0	17.0
331.0	17.0
332.0	17.0
333.0	13.0
334.0	9.0
335.0	8.0
336.0	21.0
337.0	17.0
338.0	9.0
339.0	6.0
340.0	11.0
341.0	16.0
342.0	11.0
343.0	12.0
344.0	16.0
345.0	11.0
346.0	19.0
347.0	13.0
348.0	13.0
349.0	3.0
350.0	18.0
351.0	8.0
352.0	17.0
353.0	8.0
354.0	12.0
355.0	17.0
356.0	5.0
357.0	16.0
358.0	13.0
359.0	5.0
360.0	16.0
361.0	14.0
362.0	9.0
363.0	9.0
364.0	9.0
365.0	12.0
366.0	11.0
367.0	13.0
368.0	13.0
369.0	10.0
370.0	10.0
371.0	10.0
372.0	14.0
373.0	8.0
374.0	10.0
375.0	16.0
376.0	9.0
377.0	10.0
378.0	10.0
379.0	10.0
380.0	11.0
381.0	15.0
382.0	15.0
383.0	10.0
384.0	13.0
385.0	13.0
386.0	17.0
387.0	15.0
388.0	14.0
389.0	17.0
390.0	17.0
391.0	9.0
392.0	13.0
393.0	9.0
394.0	11.0
395.0	13.0
396.0	15.0
397.0	6.0
398.0	17.0
399.0	8.0
400.0	10.0
401.0	13.0
402.0	9.0
403.0	6.0
404.0	5.0
405.0	7.0
406.0	7.0
407.0	9.0
408.0	15.0
409.0	14.0
410.0	7.0
411.0	5.0
412.0	5.0
413.0	8.0
414.0	9.0
415.0	4.0
416.0	9.0
417.0	3.0
418.0	4.0
419.0	3.0
420.0	8.0
421.0	9.0
422.0	7.0
423.0	7.0
424.0	6.0
425.0	5.0
426.0	9.0
427.0	8.0
428.0	13.0
429.0	20.0
430.0	8.0
431.0	10.0
432.0	15.0
433.0	8.0
434.0	5.0
435.0	4.0
436.0	6.0
437.0	8.0
438.0	7.0
439.0	2.0
440.0	1.0
441.0	4.0
442.0	4.0
443.0	7.0
444.0	2.0
445.0	6.0
446.0	11.0
447.0	2.0
448.0	7.0
449.0	6.0
450.0	5.0
451.0	4.0
452.0	5.0
453.0	9.0
454.0	1.0
455.0	8.0
456.0	11.0
457.0	4.0
458.0	7.0
459.0	6.0
460.0	4.0
461.0	3.0
462.0	4.0
463.0	1.0
464.0	7.0
465.0	6.0
466.0	5.0
467.0	1.0
468.0	3.0
469.0	5.0
470.0	5.0
471.0	5.0
472.0	5.0
473.0	5.0
474.0	7.0
475.0	4.0
476.0	5.0
477.0	8.0
478.0	3.0
479.0	3.0
480.0	7.0
481.0	5.0
482.0	8.0
483.0	6.0
484.0	5.0
485.0	2.0
486.0	6.0
487.0	3.0
488.0	7.0
489.0	5.0
490.0	2.0
491.0	4.0
492.0	6.0
493.0	6.0
494.0	7.0
495.0	4.0
496.0	11.0
497.0	3.0
498.0	4.0
499.0	6.0
500.0	6.0
501.0	3.0
502.0	7.0
503.0	8.0
504.0	3.0
505.0	3.0
506.0	11.0
507.0	7.0
508.0	8.0
509.0	5.0
510.0	10.0
511.0	7.0
512.0	5.0
513.0	3.0
514.0	9.0
515.0	7.0
516.0	5.0
517.0	8.0
518.0	2.0
519.0	7.0
520.0	3.0
521.0	3.0
522.0	5.0
523.0	4.0
524.0	4.0
525.0	4.0
526.0	4.0
527.0	4.0
528.0	2.0
529.0	5.0
530.0	3.0
531.0	4.0
532.0	3.0
534.0	9.0
535.0	5.0
536.0	2.0
537.0	7.0
538.0	7.0
539.0	6.0
540.0	7.0
541.0	5.0
542.0	7.0
543.0	3.0
544.0	5.0
545.0	2.0
546.0	4.0
547.0	4.0
548.0	6.0
549.0	9.0
550.0	12.0
551.0	6.0
552.0	6.0
553.0	4.0
554.0	8.0
555.0	4.0
556.0	4.0
557.0	6.0
558.0	3.0
559.0	4.0
560.0	4.0
561.0	4.0
562.0	3.0
563.0	2.0
564.0	5.0
565.0	4.0
566.0	5.0
567.0	4.0
568.0	9.0
569.0	5.0
570.0	4.0
571.0	5.0
572.0	11.0
573.0	9.0
574.0	4.0
575.0	6.0
576.0	5.0
577.0	4.0
578.0	10.0
579.0	5.0
580.0	4.0
581.0	7.0
582.0	7.0
583.0	3.0
584.0	4.0
585.0	4.0
586.0	5.0
587.0	5.0
588.0	2.0
589.0	1.0
590.0	4.0
591.0	4.0
592.0	4.0
593.0	5.0
594.0	5.0
595.0	5.0
596.0	4.0
597.0	4.0
598.0	3.0
599.0	3.0
600.0	3.0
601.0	3.0
602.0	3.0
603.0	4.0
604.0	2.0
605.0	2.0
606.0	3.0
607.0	5.0
608.0	5.0
609.0	2.0
610.0	6.0
612.0	4.0
613.0	4.0
614.0	2.0
615.0	7.0
616.0	4.0
617.0	3.0
618.0	2.0
619.0	5.0
620.0	2.0
621.0	4.0
622.0	6.0
623.0	6.0
624.0	5.0
625.0	3.0
626.0	4.0
627.0	2.0
628.0	1.0
629.0	4.0
630.0	4.0
631.0	2.0
632.0	4.0
633.0	2.0
634.0	8.0
635.0	3.0
636.0	6.0
637.0	8.0
638.0	5.0
639.0	2.0
640.0	3.0
641.0	4.0
642.0	3.0
643.0	1.0
644.0	1.0
645.0	9.0
646.0	3.0
647.0	7.0
648.0	4.0
649.0	3.0
650.0	6.0
651.0	7.0
652.0	6.0
653.0	2.0
654.0	3.0
655.0	3.0
656.0	1.0
657.0	7.0
658.0	6.0
659.0	4.0
660.0	4.0
661.0	8.0
662.0	7.0
663.0	4.0
664.0	5.0
665.0	4.0
666.0	5.0
667.0	7.0
668.0	6.0
669.0	2.0
670.0	3.0
671.0	2.0
672.0	3.0
673.0	6.0
674.0	8.0
675.0	5.0
676.0	4.0
677.0	7.0
678.0	5.0
679.0	8.0
680.0	10.0
681.0	5.0
682.0	5.0
683.0	5.0
684.0	3.0
685.0	6.0
686.0	8.0
687.0	3.0
688.0	7.0
689.0	5.0
690.0	4.0
691.0	5.0
692.0	12.0
693.0	3.0
694.0	5.0
695.0	3.0
696.0	5.0
697.0	7.0
698.0	4.0
699.0	4.0
700.0	4.0
701.0	5.0
702.0	3.0
703.0	8.0
704.0	4.0
705.0	8.0
706.0	6.0
707.0	2.0
708.0	7.0
709.0	8.0
710.0	3.0
711.0	7.0
712.0	2.0
713.0	3.0
714.0	2.0
715.0	3.0
716.0	7.0
717.0	5.0
718.0	6.0
719.0	4.0
720.0	4.0
721.0	8.0
722.0	5.0
723.0	4.0
724.0	5.0
725.0	9.0
726.0	10.0
727.0	9.0
728.0	4.0
729.0	6.0
730.0	6.0
731.0	2.0
732.0	1.0
733.0	1.0
734.0	3.0
735.0	9.0
736.0	2.0
737.0	5.0
738.0	5.0
739.0	8.0
740.0	6.0
741.0	2.0
742.0	3.0
743.0	6.0
744.0	2.0
745.0	2.0
746.0	3.0
747.0	6.0
748.0	8.0
749.0	5.0
750.0	8.0
751.0	7.0
752.0	3.0
753.0	4.0
754.0	3.0
755.0	7.0
756.0	2.0
757.0	11.0
758.0	4.0
759.0	4.0
760.0	7.0
761.0	5.0
762.0	6.0
763.0	6.0
764.0	5.0
765.0	5.0
766.0	7.0
767.0	8.0
768.0	1.0
769.0	5.0
770.0	5.0
771.0	8.0
772.0	3.0
773.0	3.0
774.0	7.0
775.0	3.0
776.0	3.0
777.0	6.0
778.0	3.0
779.0	9.0
780.0	10.0
781.0	6.0
782.0	7.0
783.0	4.0
784.0	8.0
785.0	5.0
786.0	12.0
787.0	4.0
788.0	11.0
789.0	6.0
790.0	13.0
791.0	13.0
792.0	9.0
793.0	7.0
794.0	9.0
795.0	4.0
796.0	4.0
797.0	5.0
798.0	8.0
799.0	1.0
800.0	1.0
801.0	6.0
803.0	1.0
804.0	2.0
805.0	3.0
806.0	3.0
807.0	9.0
808.0	5.0
809.0	3.0
810.0	5.0
811.0	2.0
812.0	2.0
813.0	6.0
814.0	2.0
815.0	2.0
816.0	2.0
817.0	3.0
818.0	2.0
819.0	5.0
820.0	2.0
821.0	2.0
822.0	3.0
823.0	1.0
824.0	1.0
825.0	5.0
827.0	5.0
828.0	3.0
829.0	2.0
830.0	1.0
831.0	1.0
832.0	7.0
833.0	6.0
834.0	5.0
835.0	5.0
836.0	4.0
837.0	2.0
838.0	8.0
839.0	1.0
840.0	3.0
841.0	3.0
842.0	3.0
843.0	2.0
844.0	2.0
845.0	2.0
846.0	1.0
847.0	3.0
848.0	3.0
849.0	2.0
850.0	2.0
851.0	3.0
852.0	1.0
853.0	1.0
854.0	1.0
855.0	3.0
856.0	1.0
858.0	3.0
860.0	2.0
861.0	3.0
862.0	3.0
863.0	5.0
864.0	3.0
865.0	3.0
866.0	3.0
867.0	2.0
868.0	3.0
869.0	8.0
870.0	1.0
872.0	3.0
873.0	2.0
874.0	3.0
875.0	3.0
876.0	3.0
877.0	1.0
878.0	2.0
879.0	3.0
880.0	5.0
881.0	4.0
882.0	4.0
883.0	2.0
884.0	2.0
885.0	5.0
886.0	3.0
887.0	2.0
888.0	3.0
889.0	2.0
890.0	3.0
891.0	5.0
893.0	3.0
894.0	5.0
895.0	4.0
896.0	2.0
897.0	1.0
898.0	3.0
899.0	2.0
900.0	2.0
901.0	3.0
902.0	2.0
903.0	1.0
904.0	4.0
905.0	3.0
906.0	5.0
907.0	4.0
908.0	4.0
909.0	1.0
910.0	3.0
911.0	4.0
912.0	2.0
913.0	2.0
914.0	3.0
915.0	3.0
916.0	6.0
917.0	2.0
918.0	2.0
919.0	2.0
920.0	3.0
921.0	1.0
922.0	5.0
923.0	4.0
924.0	2.0
925.0	1.0
926.0	2.0
927.0	3.0
928.0	1.0
929.0	1.0
930.0	4.0
931.0	2.0
932.0	1.0
933.0	5.0
934.0	5.0
935.0	3.0
936.0	2.0
938.0	6.0
939.0	2.0
940.0	4.0
941.0	2.0
942.0	2.0
944.0	2.0
945.0	4.0
946.0	2.0
947.0	2.0
948.0	4.0
949.0	1.0
950.0	6.0
951.0	3.0
952.0	1.0
953.0	3.0
954.0	2.0
957.0	1.0
959.0	1.0
960.0	2.0
961.0	2.0
962.0	4.0
963.0	1.0
964.0	4.0
966.0	3.0
967.0	1.0
968.0	5.0
970.0	1.0
971.0	2.0
