##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	evoC-Bap1-mut-M_S2_L005_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	312387017
Sequences flagged as poor quality	0
Sequence length	151
%GC	22
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	34.52340115338404	40.0	40.0	40.0	9.0	40.0
2	37.932093599139556	40.0	40.0	40.0	40.0	40.0
3	38.07596996580687	40.0	40.0	40.0	40.0	40.0
4	37.7700388617623	40.0	40.0	40.0	24.0	40.0
5	38.07941556354757	40.0	40.0	40.0	40.0	40.0
6	38.36001602140847	40.0	40.0	40.0	40.0	40.0
7	38.61866686668351	40.0	40.0	40.0	40.0	40.0
8	38.73849626727605	40.0	40.0	40.0	40.0	40.0
9	38.805322853734346	40.0	40.0	40.0	40.0	40.0
10-14	38.95295174254953	40.0	40.0	40.0	40.0	40.0
15-19	39.039807254217614	40.0	40.0	40.0	40.0	40.0
20-24	39.05273347643638	40.0	40.0	40.0	40.0	40.0
25-29	39.03098638187002	40.0	40.0	40.0	40.0	40.0
30-34	39.00828892578465	40.0	40.0	40.0	40.0	40.0
35-39	38.95230898664396	40.0	40.0	40.0	40.0	40.0
40-44	38.92039102380494	40.0	40.0	40.0	40.0	40.0
45-49	38.874279416676266	40.0	40.0	40.0	40.0	40.0
50-54	38.834092510957326	40.0	40.0	40.0	40.0	40.0
55-59	38.77874832230943	40.0	40.0	40.0	40.0	40.0
60-64	38.72863806820756	40.0	40.0	40.0	40.0	40.0
65-69	38.673816658648136	40.0	40.0	40.0	40.0	40.0
70-74	38.61179253553934	40.0	40.0	40.0	40.0	40.0
75-79	38.53946001603517	40.0	40.0	40.0	40.0	40.0
80-84	38.486880916052925	40.0	40.0	40.0	40.0	40.0
85-89	38.41961148340554	40.0	40.0	40.0	40.0	40.0
90-94	38.33552449716564	40.0	40.0	40.0	40.0	40.0
95-99	38.2628259240364	40.0	40.0	40.0	40.0	40.0
100-104	38.18979138239922	40.0	40.0	40.0	40.0	40.0
105-109	38.104340835650035	40.0	40.0	40.0	40.0	40.0
110-114	38.00748895847999	40.0	40.0	40.0	40.0	40.0
115-119	37.94233208737993	40.0	40.0	40.0	40.0	40.0
120-124	37.85822044646625	40.0	40.0	40.0	27.2	40.0
125-129	37.76775318034424	40.0	40.0	40.0	24.0	40.0
130-134	37.68741294712642	40.0	40.0	40.0	24.0	40.0
135-139	37.61695373146702	40.0	40.0	40.0	24.0	40.0
140-144	37.543734539390286	40.0	40.0	40.0	24.0	40.0
145-149	37.445899118144204	40.0	40.0	40.0	24.0	40.0
150-151	36.643997698534314	40.0	40.0	40.0	24.0	40.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.4851748575346235
1101	2	0.1572307790419032
1101	3	0.19148181659209484
1101	4	0.720387035605313
1101	5	0.6699164193216163
1101	6	0.5549566268968675
1101	7	0.3924219822738877
1101	8	0.3402634414371022
1101	9	0.35125058879276594
1101	10-14	0.30099072856060616
1101	15-19	0.27036083244718156
1101	20-24	0.26822379482347714
1101	25-29	0.2672585393547209
1101	30-34	0.2769453279435723
1101	35-39	0.29907346573841664
1101	40-44	0.3110197985967105
1101	45-49	0.3392063871647153
1101	50-54	0.35176360921413874
1101	55-59	0.36097141253586074
1101	60-64	0.37901277537800837
1101	65-69	0.37685472341325266
1101	70-74	0.3796474240451815
1101	75-79	0.4161612115968438
1101	80-84	0.44531318796995834
1101	85-89	0.468979662390133
1101	90-94	0.46996275163922263
1101	95-99	0.4879242587272685
1101	100-104	0.513376447269124
1101	105-109	0.5318998473221868
1101	110-114	0.5718603428168905
1101	115-119	0.5705511473083433
1101	120-124	0.5968686396802099
1101	125-129	0.6155455860016517
1101	130-134	0.6707746944373696
1101	135-139	0.6918653426078265
1101	140-144	0.7082381477990864
1101	145-149	0.7348380518038553
1101	150-151	1.1216955742392543
1102	1	0.38568958075544657
1102	2	-0.034583028776005165
1102	3	0.11183234521618601
1102	4	0.6538413315424947
1102	5	0.6605111266078936
1102	6	0.5732215422103977
1102	7	0.43809072580376096
1102	8	0.3817934318686653
1102	9	0.3966629042289256
1102	10-14	0.31942987062959105
1102	15-19	0.29386558441940025
1102	20-24	0.28791579185025284
1102	25-29	0.3011731165636746
1102	30-34	0.2878424521411702
1102	35-39	0.3163503924702198
1102	40-44	0.3210619516907727
1102	45-49	0.33344414331959626
1102	50-54	0.3466867426486857
1102	55-59	0.35610808628442925
1102	60-64	0.36314410308852985
1102	65-69	0.4123786490382457
1102	70-74	0.42136892626031397
1102	75-79	0.4309343461758459
1102	80-84	0.44403046286079473
1102	85-89	0.4708597824308569
1102	90-94	0.5142354174917614
1102	95-99	0.5051097028723603
1102	100-104	0.5249964593885608
1102	105-109	0.5380288737674945
1102	110-114	0.5788592076270476
1102	115-119	0.5936700321353285
1102	120-124	0.6090255039757935
1102	125-129	0.6721204695377097
1102	130-134	0.7024682068118011
1102	135-139	0.7161029041844742
1102	140-144	0.714950049362642
1102	145-149	0.7608251930781336
1102	150-151	1.1188333302118423
1103	1	0.1666992669545948
1103	2	-0.00314974178282057
1103	3	0.1557356704536872
1103	4	0.7300127206653357
1103	5	0.684374664433868
1103	6	0.5938677451379988
1103	7	0.43058665076546276
1103	8	0.4194484764720201
1103	9	0.38030740229620363
1103	10-14	0.33420581487187206
1103	15-19	0.3243720424855212
1103	20-24	0.30941294339174874
1103	25-29	0.31914505391424797
1103	30-34	0.30250385353605935
1103	35-39	0.31873751935646055
1103	40-44	0.31196554572873936
1103	45-49	0.32626657815885807
