State (Emission order)	H3K27ac	H3K4me3	H3K4me1	CTCF	H3K27me3
1	6.381020953410934E-86	4.893828058636049E-94	2.435743270349631E-42	2.624289783745521E-26	1.812498076023794E-66
2	1.1757418899212405E-46	1.1633988148316328E-61	0.999999999999997	0.980741518167716	7.981432186954753E-76
3	7.119998253836406E-55	4.56102867393416E-65	1.0	1.9110210488340584E-17	7.672714004543601E-63
4	0.9992746478565494	1.9329715157978847E-58	1.0	0.029631235824545354	1.0235656058926359E-4
5	1.0	0.9999999700715282	1.0	0.03797835944844999	0.0370412865846331
6	3.351739636216292E-34	0.9999999999909414	1.0	0.020348355064684197	2.0353892211835828E-29
7	7.797890897378973E-36	0.9995534474847353	2.3347341237797605E-17	0.03218092857654698	0.06025829326498997
8	0.9999999948079067	0.9999999999999841	2.816854770699969E-24	0.04433675612369656	0.020297970133934463
9	0.9849012804668671	2.5372821719533077E-42	6.15089652370284E-17	0.021344550351338934	0.0038749644368493365
10	4.164758531637864E-32	8.061051790046682E-53	2.1474343919092032E-26	0.9901320311157001	9.086827719956993E-35
11	9.314975965844335E-4	2.630691434879788E-4	3.2514456368644853E-35	0.009211971011631783	0.9955051336533676
12	0.01483320177024314	0.050671968242459536	0.9999999999884505	0.03803289453771774	0.9995987078408887
