12	5	E	-1617268.9781884968	32
probinit	1	1.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	7.826716462573929E-141
probinit	8	0.0
probinit	9	6.017206040313351E-90
probinit	10	5.184393136759117E-77
probinit	11	7.249428343084032E-118
probinit	12	0.0
transitionprobs	1	1	0.9891273150592913
transitionprobs	1	2	1.2606452011032878E-4
transitionprobs	1	3	0.007045990285509361
transitionprobs	1	4	1.5766116335779042E-4
transitionprobs	1	5	1.895695948971483E-5
transitionprobs	1	6	2.5435914771343818E-5
transitionprobs	1	7	1.0221368872647745E-4
transitionprobs	1	8	1.009294237374174E-4
transitionprobs	1	9	5.688659608605437E-4
transitionprobs	1	10	0.0015855958650060316
transitionprobs	1	11	0.0011164003923869715
transitionprobs	1	12	2.4570766752683603E-5
transitionprobs	2	1	0.12984894071305483
transitionprobs	2	2	0.4161445312692652
transitionprobs	2	3	0.371803137371111
transitionprobs	2	4	0.0015302057786952675
transitionprobs	2	5	4.2255650392440685E-4
transitionprobs	2	6	4.219157468525089E-4
transitionprobs	2	7	0.0
transitionprobs	2	8	8.637830537692829E-5
transitionprobs	2	9	8.583963932639195E-5
transitionprobs	2	10	0.07897451845527052
transitionprobs	2	11	2.596708491202573E-4
transitionprobs	2	12	4.2230536800272214E-4
transitionprobs	3	1	0.17696020512481347
transitionprobs	3	2	0.008815915554088349
transitionprobs	3	3	0.8063384952754676
transitionprobs	3	4	0.0036675301776593183
transitionprobs	3	5	8.841808804853416E-4
transitionprobs	3	6	0.0017102467836175189
transitionprobs	3	7	1.848332047674068E-4
transitionprobs	3	8	1.3811902305139423E-4
transitionprobs	3	9	1.5089444798649143E-4
transitionprobs	3	10	6.78172271454124E-4
transitionprobs	3	11	6.608753863573964E-5
transitionprobs	3	12	4.05319717973344E-4
transitionprobs	4	1	0.019396457006738383
transitionprobs	4	2	2.88481155686429E-4
transitionprobs	4	3	0.018047170893488562
transitionprobs	4	4	0.8781359993370567
transitionprobs	4	5	0.006253372187732206
transitionprobs	4	6	9.479506670927126E-6
transitionprobs	4	7	0.0
transitionprobs	4	8	4.0746022783660587E-4
transitionprobs	4	9	0.07718815456684472
transitionprobs	4	10	2.2562946799386342E-4
transitionprobs	4	11	9.575362018122366E-6
transitionprobs	4	12	3.8220287933459265E-5
transitionprobs	5	1	0.009948134871317278
transitionprobs	5	2	1.4996145198622042E-4
transitionprobs	5	3	0.0154538095301614
transitionprobs	5	4	0.026413641753332603
transitionprobs	5	5	0.7965946386795643
transitionprobs	5	6	0.016203099088874646
transitionprobs	5	7	0.0025468514655313792
transitionprobs	5	8	0.12364519178936133
transitionprobs	5	9	0.007843211019525906
transitionprobs	5	10	1.4956951713560913E-4
transitionprobs	5	11	1.4095509434137036E-4
transitionprobs	5	12	9.109357388680311E-4
transitionprobs	6	1	0.02858457612073827
transitionprobs	6	2	4.652155740253749E-4
transitionprobs	6	3	0.07790345966557043
transitionprobs	6	4	9.166141727660317E-5
transitionprobs	6	5	0.03923016795844917
transitionprobs	6	6	0.738590430851539
transitionprobs	6	7	0.1055960318993353
transitionprobs	6	8	0.00843265350529141
transitionprobs	6	9	0.0
transitionprobs	6	10	3.752082153720413E-4
transitionprobs	6	11	0.0
transitionprobs	6	12	7.30594792402584E-4
transitionprobs	7	1	0.08951024755289823
transitionprobs	7	2	1.38244747561935E-4
transitionprobs	7	3	0.006046967930615053
transitionprobs	7	4	0.0
transitionprobs	7	5	0.004374870987097609
transitionprobs	7	6	0.07812435883608176
transitionprobs	7	7	0.7689922769106927
transitionprobs	7	8	0.03832579629544296
transitionprobs	7	9	9.689528293830966E-4
transitionprobs	7	10	0.0011889009519711643
transitionprobs	7	11	0.0035961864940818214
transitionprobs	7	12	0.008733196464173526
transitionprobs	8	1	0.0255895364567462
transitionprobs	8	2	2.144826707810611E-5
transitionprobs	8	3	0.0011687833629470549
transitionprobs	8	4	9.352118231348009E-4
transitionprobs	8	5	0.07256239668825527
transitionprobs	8	6	0.001806627165252605
transitionprobs	8	7	0.011730199925158806
transitionprobs	8	8	0.8679249407761329
transitionprobs	8	9	0.017165809863444677
transitionprobs	8	10	5.350922145540628E-4
transitionprobs	8	11	5.171988485281369E-4
transitionprobs	8	12	4.2754608767410625E-5
transitionprobs	9	1	0.1442942982168205
transitionprobs	9	2	6.670773368045884E-5
transitionprobs	9	3	0.0014572618152400175
transitionprobs	9	4	0.1685608095881669
transitionprobs	9	5	0.004493840887193023
transitionprobs	9	6	2.050998045473636E-5
transitionprobs	9	7	2.0255490652361447E-4
transitionprobs	9	8	0.0161452836096021
transitionprobs	9	9	0.6628455195587362
transitionprobs	9	10	0.0015949364063439354
transitionprobs	9	11	3.3994596509683676E-5
transitionprobs	9	12	2.8428270072891924E-4
transitionprobs	10	1	0.47546877772227314
transitionprobs	10	2	0.02313668996029283
transitionprobs	10	3	0.007652184152845338
transitionprobs	10	4	5.929150349475475E-4
transitionprobs	10	5	4.7875054502050495E-5
transitionprobs	10	6	9.991271685774289E-5
transitionprobs	10	7	5.852967664449331E-4
transitionprobs	10	8	6.667751113994667E-4
transitionprobs	10	9	0.002035984884875514
transitionprobs	10	10	0.4878188818797775
transitionprobs	10	11	0.0016786400639956615
transitionprobs	10	12	2.1606665178841816E-4
transitionprobs	11	1	0.056827240085359394
transitionprobs	11	2	8.187555274903365E-6
transitionprobs	11	3	1.4586971244889734E-4
transitionprobs	11	4	0.0
transitionprobs	11	5	2.7018899164407676E-5
transitionprobs	11	6	0.0
transitionprobs	11	7	2.1921771638792596E-4
transitionprobs	11	8	6.084909736721174E-5
transitionprobs	11	9	9.706229762686919E-6
transitionprobs	11	10	2.5718764539419135E-4
transitionprobs	11	11	0.9179325878063527
transitionprobs	11	12	0.024512135252487563
transitionprobs	12	1	0.00605869204210788
transitionprobs	12	2	1.483503372130651E-4
transitionprobs	12	3	0.004709409398113387
transitionprobs	12	4	1.68452781511915E-4
transitionprobs	12	5	7.845516035094688E-4
transitionprobs	12	6	7.216722040102244E-5
transitionprobs	12	7	0.0033514681375055593
transitionprobs	12	8	4.832162202846336E-5
transitionprobs	12	9	3.543584174888474E-4
transitionprobs	12	10	1.986581517139938E-4
transitionprobs	12	11	0.14677618458049055
transitionprobs	12	12	0.8373293857079158
emissionprobs	1	0	CTCF	0	1.0
emissionprobs	1	0	CTCF	1	2.624289783745521E-26
emissionprobs	1	1	H3K27ac	0	1.0
emissionprobs	1	1	H3K27ac	1	6.381020953410934E-86
emissionprobs	1	2	H3K27me3	0	1.0
emissionprobs	1	2	H3K27me3	1	1.812498076023794E-66
emissionprobs	1	3	H3K4me1	0	1.0
emissionprobs	1	3	H3K4me1	1	2.435743270349631E-42
emissionprobs	1	4	H3K4me3	0	1.0
emissionprobs	1	4	H3K4me3	1	4.893828058636049E-94
emissionprobs	2	0	CTCF	0	0.01925848183228405
emissionprobs	2	0	CTCF	1	0.980741518167716
emissionprobs	2	1	H3K27ac	0	1.0
emissionprobs	2	1	H3K27ac	1	1.1757418899212405E-46
emissionprobs	2	2	H3K27me3	0	1.0
emissionprobs	2	2	H3K27me3	1	7.981432186954753E-76
emissionprobs	2	3	H3K4me1	0	3.0700830141376344E-15
emissionprobs	2	3	H3K4me1	1	0.999999999999997
emissionprobs	2	4	H3K4me3	0	1.0
emissionprobs	2	4	H3K4me3	1	1.1633988148316328E-61
emissionprobs	3	0	CTCF	0	1.0
emissionprobs	3	0	CTCF	1	1.9110210488340584E-17
emissionprobs	3	1	H3K27ac	0	1.0
emissionprobs	3	1	H3K27ac	1	7.119998253836406E-55
emissionprobs	3	2	H3K27me3	0	1.0
emissionprobs	3	2	H3K27me3	1	7.672714004543601E-63
emissionprobs	3	3	H3K4me1	0	3.4244879154653594E-18
emissionprobs	3	3	H3K4me1	1	1.0
emissionprobs	3	4	H3K4me3	0	1.0
emissionprobs	3	4	H3K4me3	1	4.56102867393416E-65
emissionprobs	4	0	CTCF	0	0.9703687641754546
emissionprobs	4	0	CTCF	1	0.029631235824545354
emissionprobs	4	1	H3K27ac	0	7.253521434505382E-4
emissionprobs	4	1	H3K27ac	1	0.9992746478565494
emissionprobs	4	2	H3K27me3	0	0.9998976434394108
emissionprobs	4	2	H3K27me3	1	1.0235656058926359E-4
emissionprobs	4	3	H3K4me1	0	7.929205821136309E-23
emissionprobs	4	3	H3K4me1	1	1.0
emissionprobs	4	4	H3K4me3	0	1.0
emissionprobs	4	4	H3K4me3	1	1.9329715157978847E-58
emissionprobs	5	0	CTCF	0	0.9620216405515499
emissionprobs	5	0	CTCF	1	0.03797835944844999
emissionprobs	5	1	H3K27ac	0	9.699691629792914E-29
emissionprobs	5	1	H3K27ac	1	1.0
emissionprobs	5	2	H3K27me3	0	0.962958713415367
emissionprobs	5	2	H3K27me3	1	0.0370412865846331
emissionprobs	5	3	H3K4me1	0	2.5416019266993122E-18
emissionprobs	5	3	H3K4me1	1	1.0
