State (Emission order)	clust1.bed	clust2.bed	clust3.bed	clust4.bed	clust5.bed	clust6.bed
1_Polycomb	0.76419	1.43469	0.65756	3.18687	5.64937	1.12079
2_Polycomb_K119ub	1.39611	2.55174	1.23604	5.33542	8.37373	4.07872
3_K119ub_Only	2.34809	3.06281	2.09348	3.26916	2.21344	2.21739
4_K119ub_Poised_Enhancer	2.01278	2.69975	1.86286	3.55999	4.53253	2.33494
5_Poised_Enhancer	2.16389	1.86793	2.03501	1.15271	0.64116	1.66015
6_Active_Enhancer_K9ac	3.82293	3.46976	4.01841	2.33334	1.94363	3.55658
7_Active_Enhancer	4.47376	3.88682	4.80842	2.05589	1.17797	5.42984
8_Strong_Enhancer	3.81580	3.02336	3.97937	1.26145	0.52348	4.43930
9_Active_Promoter	5.54465	4.77725	6.17917	2.97550	1.54007	6.62185
10_K9ac_Promoter	4.21010	4.06255	4.32814	2.98815	2.31585	4.03907
11_Quiescent	0.85405	0.85194	0.85627	0.86446	0.84773	0.83484
12_CTCF_Open	3.13551	3.55058	2.98383	3.43131	2.64305	2.45521
13_ATAC_Enhancer	2.63199	2.46890	2.41484	1.78750	1.03369	1.97887
14_Insulator	3.15010	3.58055	3.25309	4.29970	5.12378	3.21041
15_Heterochromatin	0.71020	0.54418	0.80709	0.72789	0.76473	0.68603
Base	9.6803567056	8.4374743398	6.3716295690	3.1287614390	0.5083434739	1.8427680243
