State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.76464	1.75551	1.77985	1.72204	1.77985	1.78898	1.82244	1.81027	1.81027	1.76768	1.72508	1.61555	1.50298	1.41475	1.35999	1.34782	1.32043	1.29001	1.29914	1.29001	1.30826
2	3.27082	3.29662	3.10308	3.23856	3.16759	3.13534	3.11598	3.01921	3.02567	3.01276	3.17405	2.90954	2.76116	2.69665	2.60633	2.48376	2.50956	2.46440	2.36118	2.40634	2.32892
3	3.03163	3.13700	3.16132	3.14511	2.96678	2.95867	2.95867	2.96678	3.16943	3.29912	3.20185	2.97489	2.73171	2.48042	2.29398	2.21293	2.15618	2.07512	2.17240	2.14808	2.12376
4	2.84014	2.87735	3.06339	3.14400	3.22462	3.31144	3.18741	2.97037	2.57349	2.23243	1.91617	1.79214	1.73633	1.73633	1.78594	1.79214	1.81695	1.81695	1.76114	1.74874	1.72393
5	1.52316	1.55386	1.53918	1.53117	1.58323	1.62194	1.60192	1.70204	1.63262	1.52316	1.37498	1.34428	1.32292	1.26819	1.23882	1.24816	1.28955	1.30957	1.29355	1.33760	1.31624
6	3.24753	3.14650	3.40630	3.30527	3.49290	3.52177	3.31970	3.36300	3.44960	3.40630	3.47847	3.04546	2.64133	2.49699	2.51142	2.71349	2.84339	2.88669	2.90113	2.87226	3.16093
7	3.25854	3.41482	3.30542	3.34449	3.37575	3.28979	3.22728	3.23509	3.20384	3.03974	2.79750	2.66465	2.56307	2.49274	2.40678	2.39116	2.42241	2.51618	2.50056	2.47711	2.43804
8	2.66264	2.80416	2.84609	2.86182	2.96140	3.04002	3.02430	2.98761	3.00333	2.92995	2.84609	2.65216	2.46871	2.27478	2.15947	2.12278	1.98126	1.92360	1.96029	1.94457	1.90788
9	3.69600	3.44674	3.45533	3.39516	3.16309	3.12011	3.05135	2.76770	2.58720	2.46687	2.48406	2.38091	2.32075	2.46687	2.66456	2.57861	2.63018	2.58720	2.52703	2.46687	2.53563
10	3.64524	3.63077	3.31254	3.24021	3.25468	3.08110	2.70500	2.70500	2.45909	2.71946	2.71946	2.67607	2.61821	2.64714	2.64714	2.67607	2.56035	2.82072	2.74839	2.95091	2.83519
11	0.87001	0.86840	0.87006	0.86836	0.86692	0.86632	0.86891	0.86700	0.87137	0.88117	0.89143	0.90004	0.90780	0.91615	0.92069	0.92048	0.92031	0.92056	0.92082	0.92044	0.92061
12	2.25746	2.09944	1.55765	2.00914	1.91884	2.00914	1.87369	2.23489	2.59608	2.21231	1.80597	2.70895	3.02500	2.50578	2.46063	2.91212	2.77668	3.02500	3.04757	3.04757	3.22817
13	1.65250	1.62473	1.68027	1.83303	1.69416	1.49975	1.84691	2.08298	2.24962	1.91635	1.69416	1.70805	1.90246	1.95801	1.76359	1.83303	1.76359	1.59695	1.80525	1.73582	1.87469
14	1.92249	1.81035	1.76229	1.87443	1.87443	1.60208	1.60208	1.71422	1.55402	1.42585	1.87443	2.22689	2.30699	2.27495	2.24291	2.46720	2.69149	2.51526	2.48322	2.35505	2.40312
15	2.67223	2.68833	2.57564	2.67223	2.67223	2.86540	2.96199	3.26785	3.30004	3.12297	2.59174	2.28588	2.06051	1.60978	1.43270	1.33611	1.23953	1.25563	1.38441	1.23953	1.17514
