State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.05193	2.15438	2.25114	2.50443	2.57558	2.77195	2.93133	3.11062	3.21023	3.27284	3.22161	3.16185	3.14193	3.09924	3.05939	2.98825	2.98255	2.90002	2.86872	2.86587	2.78618
2	4.53318	4.82017	5.12021	5.25718	5.43329	5.38763	5.17239	4.82017	4.49404	3.94615	3.55479	3.58741	3.79613	4.14182	4.69624	5.49199	6.07902	6.74432	6.82260	6.75737	6.73128
3	2.71694	2.82943	2.51793	2.53524	2.40545	2.18048	2.21509	2.03338	1.66997	1.61805	1.55748	1.55748	1.66132	1.81706	1.97281	2.22374	2.33622	2.56119	2.67368	2.66503	2.73425
4	1.54545	1.79035	2.06059	2.33084	2.76998	3.32735	4.09585	4.94880	6.09733	7.26275	7.98058	8.06503	7.77790	7.41476	6.59559	5.55685	4.85591	4.02829	3.54692	3.14156	2.77842
5	1.42680	1.42023	1.42812	1.34264	1.22692	1.08490	0.93104	0.89159	0.90342	0.77192	0.78244	0.89553	0.94156	1.00468	1.37157	1.89758	2.57088	3.22707	3.61895	3.98190	4.13181
6	0.71080	0.85018	0.98955	1.03136	1.08711	1.10105	1.22648	1.21255	2.45297	5.88154	6.66203	3.91638	1.90941	1.12892	0.65505	0.71080	0.69687	0.62718	0.69687	0.73868	0.85018
7	0.86603	0.84338	0.81474	0.77766	0.73387	0.67788	0.61124	0.53830	0.45754	0.38851	0.36933	0.38277	0.40905	0.43377	0.45746	0.48370	0.51285	0.54352	0.57702	0.60633	0.63824
8	1.95236	2.02293	1.76418	1.67009	1.95236	2.39929	3.24609	5.95117	12.51393	25.47479	28.57975	20.48803	8.89148	3.36371	1.90532	1.05851	0.75272	0.77624	0.77624	0.98794	0.94090
9	2.01665	1.74372	2.01665	2.04698	1.94084	1.91051	1.77405	1.80437	1.44047	1.19786	1.07656	0.40940	0.59135	0.97042	0.97042	0.97042	1.10688	1.07656	1.01591	1.10688	1.09172
10	1.05192	1.02111	1.03431	1.09153	1.10033	1.18396	1.26758	1.38642	1.79574	2.33270	2.54837	2.66720	2.70682	2.54837	2.30189	2.12584	1.96739	1.84416	1.75173	1.60208	1.46124
11	3.57640	4.27033	5.19556	6.38770	7.41969	7.81114	7.86452	6.88590	5.72936	4.83970	3.57640	3.29171	3.11378	3.32730	3.09599	3.46964	3.54081	3.50523	3.45185	3.39847	3.18495
12	1.88322	2.09641	2.17932	2.41620	2.61755	2.49911	2.16747	1.88322	1.63449	1.33839	1.23179	1.17257	1.17257	1.17257	1.58711	1.82399	1.90690	2.08457	2.16747	2.01350	1.96612
13	3.36473	4.00866	5.05164	5.99485	7.23735	8.21684	9.07843	9.79491	10.66557	11.05555	9.48655	6.66598	6.74761	8.32568	11.74483	14.05751	14.32959	13.48614	11.99877	10.35721	8.72473
14	3.19980	3.62530	4.07634	4.67204	5.06351	5.35285	5.76985	6.76553	9.37813	12.67154	12.64601	10.21212	9.79512	11.17376	14.27995	16.27131	16.70533	15.70113	14.34803	12.85876	11.41204
15	3.10663	3.93506	4.71379	6.11385	8.40033	11.68093	15.56629	20.28836	23.95004	24.57137	24.88617	27.74427	27.50403	24.64593	18.91316	13.42064	9.56013	6.91743	5.50081	4.63095	4.02619
16	4.28551	5.19187	6.47260	8.57102	11.67432	16.30464	22.20584	27.31890	31.15123	33.89987	36.92435	40.15573	39.83062	36.87510	30.43205	23.58509	17.79226	13.72349	10.52167	8.41339	7.27059
17	3.31841	3.78522	4.62751	5.64231	6.82963	8.83895	10.85841	13.07068	14.89733	15.74977	16.56161	17.22123	17.30242	16.84575	16.22672	15.50621	14.35948	13.13157	11.99499	10.54382	9.22457
18	2.95495	3.39867	4.17281	5.06024	6.19313	7.65644	9.81838	11.73485	13.35866	13.97230	14.68036	14.87862	15.09575	14.74644	14.08559	13.23593	11.86702	10.12992	8.73269	7.77917	6.50467
