State (Emission order)	H3K9me3	H3K27me3	H2AK119ub	H3K9ac	H3K4me3	H3K27ac	H3K4me1	ATAC	CTCF
1	0.012413230795538674	0.9941611734970307	9.445229105917771E-101	6.309321330197126E-7	1.9577550566364513E-4	4.3577236470100475E-60	0.0467510447236401	0.010248191308318355	0.00713080370707333
2	0.01692302292800404	0.9997954302184914	0.9985281867637078	8.752693652622842E-64	0.0015218859109211347	0.00126582706142052	4.805222601252904E-8	0.012252747096973953	0.01360331279417574
3	0.0198018736719187	7.251786865853294E-26	0.9938376281487351	1.306314866106924E-50	0.00125851146169584	0.016207759221619353	3.3005964070950903E-31	0.01857105281326046	0.017737188350288903
4	0.021228637627723566	0.32690161820122055	0.9979533729140307	4.0424458991696794E-133	0.002259756471719596	0.11902413091454747	0.9999999999954663	0.20666432665030945	0.03470386456617342
5	1.7541179300051047E-5	2.4427619639547967E-47	1.0038196264409175E-154	2.901953029093607E-128	0.0036097252625515762	1.3078663926689398E-117	1.0	4.601328865156931E-28	0.004793551502348499
6	0.004643987812142829	5.886178051580748E-71	8.22114547185614E-6	1.792275388359199E-134	3.3522321164586555E-4	1.4474947884996333E-163	1.0	0.979770588523074	0.14916572169200748
7	2.4523913991183735E-162	9.223310200105558E-166	3.776141644529428E-177	1.4743819406596697E-190	2.906790209134429E-56	3.442309810900616E-215	1.7074213007858342E-101	6.700466453269402E-36	6.527885742629862E-79
8	5.283117508134619E-4	1.1479394511306486E-184	3.433023408453964E-62	7.041134617813983E-89	1.5697613064664698E-39	9.929959584774528E-87	5.372569680218418E-34	0.9819870956913151	0.3396152069107809
9	9.409146086086717E-5	9.748602621942978E-56	2.0414915702812697E-80	7.607743002090775E-58	3.2828682096508413E-53	6.753222084251072E-53	0.022013102206993523	0.0361293478825803	0.9939475716504509
10	0.9904211634021532	7.798330271759002E-115	3.3047473462377374E-5	6.774795655998146E-88	3.014630390384294E-98	9.698499319324804E-105	0.031010300642547298	0.015609318123865358	0.0022180096837140775
11	0.01134566973442964	0.002250917097222567	0.04862576230612693	2.0426697604433E-21	0.04567059996439851	0.9712529915714526	1.533080731491007E-30	0.04819099637200068	0.015358101004341073
12	0.011208028905956732	0.001344609231625673	8.15989821672352E-5	1.5980836143262043E-94	0.016926384637018912	0.99873736176606	1.0	0.2429874932003944	0.02383717725239086
13	0.017354534549424937	0.0037863149527754924	1.8703933174133796E-109	0.9996288413404983	0.31513040993211383	1.0	1.0	0.20975562107368534	0.03171979265209687
14	0.017524473900539916	0.018018052478776664	7.47544372943712E-108	0.994456107509355	0.13818236206237952	4.8248440607099026E-114	1.0	0.1401136996703568	0.034877116180407106
15	0.0177721583392043	0.020213712672247173	1.1227698982797623E-41	0.9460323525745272	0.20908794162537414	4.458515215939324E-80	1.915691359107783E-41	0.1664152824247155	0.02899001042987758
16	0.02401906565504428	0.005896472647064372	1.9718368934436009E-56	0.9934170865374248	0.6633489980044679	1.0	1.5355574918841082E-40	0.3150717475903983	0.03738284198954664
17	0.025752742081586063	0.043890447333868654	0.999724595420868	0.9903382596642579	0.45638942303947233	0.9999337412525409	0.6357810171064213	0.3080390028567557	0.04343188735645973
18	0.0229792927569626	0.380327149996404	0.9964210686783305	0.9998315193109303	0.1040808302901104	3.7382354993329446E-120	0.6497143820745126	0.18274497243298235	0.04059518459413851
