Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
clust4	GO:0048598	embryonic morphogenesis	121/1638	458/11489	0.264192139737991	1.85305463580573	7.59698286336939	2.28718242468732e-12	1.10813988476101e-08	9.87581295375513e-09	Neurog1/Inhba/Sox9/Bcl10/Foxc2/Hmx3/Hmx2/Tbx15/Hectd1/Foxg1/Myc/Asxl2/Pbx1/Hoxd12/Hoxd11/Hoxd10/Hoxd9/Gjb5/Hoxc4/Prox1/Sox11/Irx2/Tbx2/Vegfc/Nectin1/Shh/Hoxd3/Hoxd4/Ncoa3/Ofd1/Sox2/Cryaa/Plpp3/Ctnnb1/Hoxa13/Ret/Gja1/Hoxb9/Hnf1a/Osr2/Cluap1/Aldh1a3/Dicer1/Irx1/Rara/Nat8/Wnt5a/Pcdh8/Msx2/Phactr4/Zeb1/Nup50/Hoxb6/Bmpr2/Snai1/Abl1/Rspo3/Foxc1/Fgf4/Wnt3/Msgn1/Tnfaip3/Foxp4/Hlx/Pitx2/Dusp4/Shox2/Rack1/Bloc1s5/Foxl2/Gbx2/Lmo4/Alx4/Tgfbr1/Map3k7/Hoxd13/Cdkn1c/Col6a1/Mycn/Hoxc11/Hoxc10/Myo7a/Hoxa5/Hoxa3/Hoxa2/Hoxa7/Cyp26b1/Tmie/Col5a1/Dlx2/Hoxc9/Dll1/Slitrk6/Noto/Pofut2/Mbp/Sfrp2/Pax2/Mafb/Satb2/Sobp/Lmx1b/Gnas/Tgfb2/Gdnf/Nkx3-2/Cthrc1/Ryr2/Hes1/Wnt7a/Nr4a3/Wnk1/Smad2/Pls1/Cdh23/Atp6v1b1/Acvr2a/Htt/Foxf2/Nphp3/Cecr2	121
clust4	GO:0048568	embryonic organ development	99/1638	355/11489	0.27887323943662	1.95602847856369	7.46102336578018	8.66199355063915e-12	2.09836793764233e-08	1.87007881814325e-08	Neurog1/Rad23b/Sox9/Foxc2/Hmx3/Hmx2/Tbx15/Hectd1/Foxg1/Myc/Asxl2/Pbx1/Hoxd11/Hoxd10/Hoxd9/Crxos/Gjb5/Hoxc4/Prox1/Sox11/Tbx2/Nectin1/Shh/Hoxd3/Hoxd4/Ncoa3/Cebpb/Sox2/Cryaa/Ctnnb1/Gja1/Hoxb9/Osr2/Cluap1/Aldh1a3/Plxna4/Rara/Wnt5a/Phactr4/Zeb1/Zfpm2/Hey1/Hoxb6/Snai1/Nes/Rspo3/Hscb/Foxc1/Hlx/Pitx2/Wdr48/Shox2/Bloc1s5/Foxl2/Gbx2/Alx4/Tgfbr1/Cdkn1c/Mir449c/Mir449b/Mir449a/Mycn/Hoxc11/Myo7a/Hoxa5/Hoxa3/Hoxa2/Hoxa7/Tmie/Hs6st1/Dlx2/Hoxc9/Ercc3/Dll1/Slitrk6/Noto/Pax2/Mafb/Satb2/Sobp/Gnas/Tgfb2/Gdnf/Nkx3-2/Cthrc1/Atf4/Ryr2/Hes1/Utp25/Tubb2b/Nr4a3/Smad2/Pls1/Lif/Vegfa/Cdh23/Atp6v1b1/Foxf2/Nphp3	99
clust4	GO:0007423	sensory organ development	113/1638	435/11489	0.259770114942529	1.82203837031423	7.12715149989052	3.98695981235097e-11	6.43894009694682e-08	5.73842426325042e-08	Neurog1/Cryba4/Crybb1/Sdk2/Thrb/Inhba/Sox9/Foxc2/Hmx3/Hmx2/Bbs7/Mir124a-2/Spry1/Fat4/Cxcl14/Foxg1/Myc/Pbx1/Crx/Bhlhe22/Prox1/Sox11/Tbx2/Nectin1/Shh/Sox2/Olfm3/Cryaa/Igf1/Ctnnb1/Hoxa13/Myom1/Ret/Gja1/Sdk1/Osr2/Large1/Aldh1a3/Dicer1/Gjb2/Abi2/Rara/Wnt5a/Birc7/Ntrk2/Phactr4/Cebpd/Jag1/Zeb1/Hey1/Bmpr2/Nes/Aqp5/Foxc1/Rhoj/Inhbb/Pax4/Pitx2/Grin2b/B3glct/Mcm2/Fgf20/Bloc1s5/Foxl2/Rs1/Gbx2/Bdnf/Tgfbr1/Foxe3/Cdkn1c/Crybg3/Mycn/Myo7a/Hoxa2/Cyp26b1/Fat3/Lgr5/Tmie/Col5a1/Mterf4/Apc/Dlx2/Bmper/Dll1/Slitrk6/Nrp1/Pax2/Mafb/Sobp/Lmx1b/Tgfb2/Nkx3-2/Cthrc1/Atf4/Hes1/Skil/Mir124a-1/Bhlhe23/Poc5/Nr4a3/Rab3gap1/Bbs1/C1qtnf5/Pls1/Lif/Gpm6a/Adamts18/Vegfa/Cdh23/Atp6v1b1/Prss56/Foxf2/Cecr2	113
clust4	GO:0048705	skeletal system morphogenesis	60/1638	181/11489	0.331491712707182	2.3250966344889	7.32711387301246	7.5851816564189e-11	9.18755128133739e-08	8.18800398806061e-08	Neurog1/Sox9/Foxc2/Tbx15/Myc/Asxl2/Hoxd11/Hoxd10/Hoxd9/Hoxc4/Sox11/Hoxd8/Hoxd3/Hoxd4/Dhrs3/Ctnnb1/Serpinh1/Hottip/Hoxb9/Osr2/Rara/Msx2/Zeb1/Hoxb6/Bmpr2/Foxc1/Fgf4/Hoxc8/Sox6/Wdr48/Barx2/Shox2/Inppl1/Hhip/Thbs1/Alx4/Tgfbr1/Thbs3/Fgf18/Col3a1/Mycn/Hoxc11/Hoxa5/Hoxa3/Hoxa2/Hoxa7/Cyp26b1/Csgalnact1/Dlx2/Hoxc9/Satb2/Gnas/Tgfb2/Nkx3-2/Matn1/Wnt7a/Fosl2/Smad2/Vegfa/Stc1	60
clust4	GO:0048562	embryonic organ morphogenesis	70/1638	228/11489	0.307017543859649	2.15343379817064	7.17316168307374	1.06142415949569e-10	1.02852001055132e-07	9.16623558368695e-08	Neurog1/Sox9/Foxc2/Hmx3/Hmx2/Tbx15/Foxg1/Myc/Asxl2/Hoxd11/Hoxd10/Hoxd9/Hoxc4/Prox1/Sox11/Tbx2/Nectin1/Shh/Hoxd3/Hoxd4/Sox2/Cryaa/Ctnnb1/Gja1/Hoxb9/Osr2/Cluap1/Aldh1a3/Wnt5a/Phactr4/Zeb1/Hoxb6/Hlx/Pitx2/Shox2/Bloc1s5/Foxl2/Gbx2/Alx4/Tgfbr1/Mycn/Hoxc11/Myo7a/Hoxa5/Hoxa3/Hoxa2/Hoxa7/Tmie/Dlx2/Hoxc9/Dll1/Slitrk6/Noto/Pax2/Mafb/Satb2/Sobp/Gnas/Tgfb2/Nkx3-2/Cthrc1/Ryr2/Hes1/Nr4a3/Smad2/Pls1/Cdh23/Atp6v1b1/Foxf2/Nphp3	70
clust4	GO:0007389	pattern specification process	84/1638	313/11489	0.268370607028754	1.8823625788482	6.45379336414136	2.61298045917542e-09	2.10998172078415e-06	1.88042909535747e-06	Neurog1/Foxc2/Spry1/Foxg1/Pbx1/Hoxd12/Hoxd11/Hoxd10/Hoxd9/Mmp21/Hoxc4/Bhlhe22/Irx2/Tbx2/Shh/Hoxd8/Hoxd3/Hoxd4/Gata5/Ofd1/Fgf1/Ctnnb1/Mapk8/Ttc21b/Gja1/Hoxb9/Osr2/Cluap1/Irx1/C1qa/Wnt5a/Pcdh8/Nrp2/Msx2/Ift25/Zeb1/Hey1/Hoxb6/Dop1b/Bmpr2/Snai1/Foxc1/Wnt3/Msgn1/Hoxc8/Pitx2/Hhip/Nrg3/Gbx2/Alx4/Tgfbr1/Hoxd13/Hoxc11/Hoxc10/Hoxc5/Hoxa5/Hoxa6/Hoxa3/Hoxa2/Hoxa7/Cyp26b1/Foxa1/Apc/Dlx2/Hoxc9/Dll1/Noto/Nrp1/Sfrp2/Pax2/Pierce1/Mafb/Satb2/Lmx1b/Gdnf/Nkx3-2/Hes1/Wnt7a/Tcf7l1/Smad2/Acvr2a/Htt/Nphp3/Stc1	84
clust4	GO:0001501	skeletal system development	95/1638	375/11489	0.253333333333333	1.77689051689052	6.2370505011849	6.06350386261977e-09	3.80197740617314e-06	3.38834638425338e-06	Amer1/Neurog1/Thrb/Sox9/Foxc2/Tbx15/Fat4/Myc/Vcan/Asxl2/Snai2/Pbx1/Hoxd12/Hoxd11/Hoxd10/Hoxd9/Hoxc4/Sox11/Gdf6/Shh/Hoxd8/Hoxd3/Hoxd4/Dhrs3/Trappc2/Igf1/Ctnnb1/Serpinh1/Hottip/Gja1/Hoxb9/Osr2/Large1/Dicer1/Rara/Wnt5a/Msx2/Ift25/Zeb1/Hoxb6/Bmpr2/Snai1/Dlx3/Foxc1/Fgf4/Hoxc8/Sox6/Pitx2/Wdr48/Barx2/B3glct/Shox2/Inppl1/Hhip/Bmp3/Thbs1/Alx4/Tgfbr1/Map3k7/Hoxd13/Cdkn1c/Thbs3/Fgf18/Ccn4/Col3a1/Col6a1/Mycn/Hoxc11/Hoxc10/Hoxc5/Hoxa5/Hoxa6/Hoxa3/Hoxa2/Hoxa7/Cyp26b1/Csgalnact1/Dlx2/Hoxc9/Sfrp2/Satb2/Gnas/Tgfb2/Nkx3-2/Matn1/Wdr5/Wnt7a/Bbs1/Fosl2/Smad2/Vegfa/Acvr2a/Serp1/Fbxw7/Stc1	95
clust4	GO:0003002	regionalization	77/1638	283/11489	0.27208480565371	1.90841412219504	6.30943961792565	6.27777487087413e-09	3.80197740617314e-06	3.38834638425338e-06	Neurog1/Foxc2/Spry1/Foxg1/Pbx1/Hoxd11/Hoxd10/Hoxd9/Mmp21/Hoxc4/Bhlhe22/Irx2/Tbx2/Shh/Hoxd8/Hoxd3/Hoxd4/Gata5/Ofd1/Fgf1/Ctnnb1/Mapk8/Ttc21b/Gja1/Hoxb9/Cluap1/Irx1/C1qa/Wnt5a/Pcdh8/Nrp2/Msx2/Ift25/Hey1/Hoxb6/Bmpr2/Snai1/Foxc1/Wnt3/Msgn1/Hoxc8/Pitx2/Hhip/Gbx2/Alx4/Tgfbr1/Hoxd13/Hoxc11/Hoxc10/Hoxc5/Hoxa5/Hoxa6/Hoxa3/Hoxa2/Hoxa7/Cyp26b1/Foxa1/Apc/Dlx2/Hoxc9/Dll1/Noto/Nrp1/Sfrp2/Pax2/Pierce1/Mafb/Lmx1b/Gdnf/Nkx3-2/Hes1/Wnt7a/Tcf7l1/Smad2/Acvr2a/Htt/Nphp3	77
clust4	GO:0150063	visual system development	78/1638	292/11489	0.267123287671233	1.87361382909328	6.16593709079341	1.21717436175917e-08	6.08934405875009e-06	5.42686205616053e-06	Cryba4/Crybb1/Sdk2/Thrb/Inhba/Sox9/Foxc2/Bbs7/Mir124a-2/Spry1/Pbx1/Crx/Bhlhe22/Prox1/Sox11/Tbx2/Nectin1/Shh/Sox2/Olfm3/Cryaa/Ctnnb1/Myom1/Ret/Gja1/Sdk1/Osr2/Large1/Aldh1a3/Abi2/C1qa/Rara/Birc7/Ntrk2/Phactr4/Jag1/Zeb1/Bmpr2/Nes/Aqp5/Foxc1/Rhoj/Inhbb/Pax4/Pitx2/B3glct/Foxl2/Rs1/Bdnf/Tgfbr1/Foxe3/Cdkn1c/Crybg3/Fat3/Col5a1/Mterf4/Apc/Dlx2/Dll1/Slitrk6/Nrp1/Pax2/Lmx1b/Tgfb2/Atf4/Hes1/Skil/Mir124a-1/Bhlhe23/Poc5/Rab3gap1/Bbs1/Lif/Gpm6a/Adamts18/Vegfa/Prss56/Foxf2	78
clust4	GO:0048729	tissue morphogenesis	107/1638	444/11489	0.240990990990991	1.69032081532082	6.04920909565091	1.25683055908155e-08	6.08934405875009e-06	5.42686205616053e-06	Hs3st3b1/Inhba/Sox9/Bcl10/Foxc2/Spry1/Fat4/Hectd1/Myc/Snai2/Pbx1/Hoxd11/Epha7/Prox1/Sox11/Irx2/Tbx2/Vegfc/Ajap1/Shh/Ncoa3/Gata5/Sox2/Igf1/Fgf1/Ctnnb1/Hoxa13/Ret/Gja1/Hnf1a/S1pr1/Cluap1/Aldh1a3/Dicer1/Irx1/Rara/Wnt5a/Pcdh8/Nrp2/Msx2/Phactr4/Jag1/Nup50/Tpm1/Zfpm2/Hey1/Bmpr2/Nfatc4/Lamc1/Snai1/Abl1/Dlx3/Rspo3/Artn/Kras/Foxc1/Wnt3/Msgn1/Pitx2/Csmd1/Hs3st3a1/Shox2/Pdcd10/Hhip/Gbx2/Lmo4/Tgfbr1/Map3k7/Hoxd13/Pou4f1/Col3a1/Mycn/Hoxa5/Lgr5/Col5a1/Foxa1/Dll1/Nrg1/Noto/Pofut2/Nrp1/Sfrp2/Pax2/Tgfb2/Gdnf/Cplane2/Matn1/Cthrc1/Ryr2/Rhob/Hes1/Nkd1/Efnb2/Wnt7a/Tcf7l1/Astn2/Nr4a3/Smad2/Lif/Tmem59l/Vegfa/Tnni1/Htt/Foxf2/Nphp3/Cecr2/Stc1	107
