enhancer_class	n_pairs	median_activity	median_contact	spearman_rho	pct_Q1_up_up	pct_Q2_down_up	pct_Q3_down_down	pct_Q4_up_down	metric
Unclassified	98505	0.622162	7.5e-05	0.192360091687939	38.7990457337191	12.5465712400386	18.2143038424445	29.5071316176844	raw_delta
Stable	55339	0.0762530000000003	0.00016	0.204949288005253	31.113681129041	20.925567863532	25.6871284266069	21.7622291693019	raw_delta
K119ub_Only	5933	-0.958409	0	0.272767348652324	19.2145626158773	30.2713635597505	39.3729984830608	10.1634923310298	raw_delta
Activity_Lost	16800	-4.353983	-0.0009585	0.127148809469974	2.60714285714286	35.0297619047619	62	0	raw_delta
Activity_Gain	3132	2.384792	0.0017295	0.0823083574940889	67.6564495530013	0	2.93742017879949	29.0229885057471	raw_delta
Unclassified	98505	0.0857287711361562	0.0104942629905515	0.304263280937594	38.7990457337191	12.5465712400386	18.2143038424445	29.5071316176844	log2fc
Stable	55339	0.0162623821088802	0.0113029170800862	0.280147595489405	31.113681129041	20.925567863532	25.6871284266069	21.7622291693019	log2fc
K119ub_Only	5933	-0.12877726165325	0	0.347678771667044	19.2145626158773	30.2713635597505	39.3729984830608	10.1634923310298	log2fc
Activity_Lost	16800	-0.699029532210269	-0.0860733755365854	0.272072556859129	2.60714285714286	35.0297619047619	62	0	log2fc
Activity_Gain	3132	0.686243597072978	0.110528894869903	0.356193992226621	67.6564495530013	0	2.93742017879949	29.0229885057471	log2fc
