gene_id	enriched_in	symbol
240690	Control	St18
109294	Control	Prex2
320492	Control	A830018L16Rik
277328	Control	Trpa1
241035	Control	Pkhd1
12823	Control	Col19a1
68421	Control	Lmbrd1
210933	Control	Adgrb3
213109	Control	Phf3
170771	Control	Khdrbs2
16764	Control	Aff3
93690	Control	Gpr45
56363	Control	Tmeff2
109019	Control	Nabp1
17912	Control	Myo1b
69356	Control	1700003I22Rik
67198	Control	Spats2l
51960	Control	Kctd18
12747	Control	Clk1
70225	Control	Ppil3
73463	Control	C2cd6
74018	Control	Als2
14369	Control	Fzd7
241066	Control	Carf
57750	Control	Wdr12
72823	Control	Pard3b
18187	Control	Nrp2
227195	Control	Ino80d
241073	Control	Dytn
67099	Control	Mettl21a
17756	Control	Map2
13869	Control	Erbb4
109198	Control	6030407O03Rik
77629	Control	Sphkap
98496	Control	Pid1
12283	Control	Cab39
14767	Control	Nmur1
71863	Control	Tex44
19231	Control	Ptma
208718	Control	Dis3l2
22236	Control	Ugt1a2
394430	Control	Ugt1a10
394432	Control	Ugt1a7c
394434	Control	Ugt1a9
394435	Control	Ugt1a6b
94284	Control	Ugt1a6a
16978	Control	Lrrfip1
258228	Control	Or6b2b
259040	Control	Or6b2
51800	Control	Bok
67026	Control	Thap4
21915	Control	Dtymk
66262	Control	Ing5
66615	Control	Atg4b
27392	Control	Pign
635504	Control	Gm7160
98432	Control	Phlpp1
269109	Control	Dpp10
72160	Control	Tmem163
210417	Control	Thsd7b
17164	Control	Mapkapk2
68875	Control	Tmcc2
21367	Control	Cntn2
269116	Control	Nfasc
102466206	Control	Mir6903
381290	Control	Atp2b4
269120	Control	Optc
11539	Control	Adora1
12654	Control	Chi3l1
53311	Control	Mybph
214498	Control	Cdc73
545370	Control	Hmcn1
63913	Control	Niban1
100503355	Control	Zfp648
74081	Control	Cep350
26374	Control	Cop1
226541	Control	Klhl20
73844	Control	Ankrd45
103967	Control	Dnm3
27878	Control	Tada1
18514	Control	Pbx1
18214	Control	Ddr2
27218	Control	Slamf1
12372	Control	Casq1
27222	Control	Atp1a4
66289	Control	Mptx1
30928	Control	Zbtb18
226751	Control	Cdc42bpa
277333	Control	Gm5069
320404	Control	Itpkb
13800	Control	Enah
338366	Control	Mia3
23827	Control	Bpnt1
381314	Control	Iars2
226791	Control	Lyplal1
16526	Control	Kcnk2
12902	Control	Cr2
12946	Control	Cr1l
18108	Control	Nmt2
66540	Control	Fam107b
227541	Control	Camk1d
227545	Control	Proser2
241230	Control	St8sia6
30963	Control	Hacd1
102635496	Control	Malrd1
13418	Control	Dnajc1
241274	Control	Pnpla7
68475	Control	Ssna1
97031	Control	Tprn
99152	Control	Anapc2
329366	Control	Ccdc187
66139	Control	Mymk
68870	Control	Ak8
18286	Control	Odf2
74412	Control	Gle1
665635	Control	Gm14486
18328	Control	Or1j1
94217	Control	Lrp1b
227867	Control	Epc2
227885	Control	Gm13498
767815	Control	BB557941
76654	Control	Upp2
227933	Control	Ccdc148
227937	Control	Pkp4
13482	Control	Dpp4
170738	Control	Kcnh7
50915	Control	Grb14
20269	Control	Scn3a
26877	Control	B3galt1
320720	Control	Fastkd1
68795	Control	Ubr3
228012	Control	Tlk1
228019	Control	Mettl8
228033	Control	Atp5mc3
228061	Control	Agps
241489	Control	Pde11a
99031	Control	Osbpl6
22138	Control	Ttn
78158	Control	4930440I19Rik
228094	Control	Cerkl
12388	Control	Ctnnd1
258834	Control	Or12e7
258835	Control	Or10ag60
258973	Control	Or4c122
228356	Control	Cstpp1
80976	Control	Syt13
56348	Control	Hsd17b12
241568	Control	Lrrc4c
19373	Control	Rag1
68170	Control	Iftap
72446	Control	Prr5l
241589	Control	D430041D05Rik
74088	Control	Them7
77766	Control	Elp4
77015	Control	Mpped2
20192	Control	Ryr3
329496	Control	Gm13986
100043272	Control	Inafm2
68142	Control	Ino80
329502	Control	Pla2g4e
67578	Control	Patl2
70928	Control	Trim69
214968	Control	Sema6d
14118	Control	Fbn1
74121	Control	Acoxl
17289	Control	Mertk
72477	Control	Tmem87b
100217428	Control	Snord57
100217452	Control	Snord110
170718	Control	Idh3b
192140	Control	Tmc2
67134	Control	Nop56
51902	Control	Rnf24
52837	Control	Tmx4
241656	Control	Pak5
319909	Control	Ism1
71436	Control	Flrt3
72899	Control	Macrod2
18549	Control	Pcsk2
56431	Control	Dstn
241694	Control	Ralgapa2
329540	Control	Nol4l
13555	Control	E2f1
56846	Control	Necab3
70362	Control	Actl10
75480	Control	1700003F12Rik
19124	Control	Procr
19281	Control	Ptprt
170441	Control	Slc2a10
16500	Control	Kcnb1
19223	Control	Ptgis
66589	Control	Ube2v1
18019	Control	Nfatc2
26972	Control	Spo11
74189	Control	Phactr3
68175	Control	4930591A17Rik
66314	Control	Tpd52l2
76897	Control	Ralyl
381484	Control	Gm5150
70441	Control	Mir124-2hg
18583	Control	Pde7a
635702	Control	Naaladl2
192167	Control	Nlgn1
70862	Control	Spata16
18805	Control	Pld1
75740	Control	Egfem1
14013	Control	Mecom
241919	Control	Slc7a14
72413	Control	Kcnmb2
66046	Control	Ndufb5
100041108	Control	Gm3143
