ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0007389	pattern specification process	77/1311	500/28832	0.154	3.386825324180015	11.75076433339991	4.7949512669595886e-21	2.6194818771400232e-17	2.0340688006154888e-17	Nkx2-1/Ep300/Traf3ip1/Tdrd7/Smad6/Msx2/Vax2/Dll1/Irx2/Gsc/Gpr161/Foxa2/Bmpr1b/Myf5/Stc1/Tbx2/Barx1/Dnaaf11/Tdrd6/Gli2/Nrp2/Grem2/Dmrt3/Alx4/Gata5/Hoxd8/Snai1/Aplnr/Bmp7/Pax8/Chrdl1/Pax7/Anks6/Tgfbr1/Foxn4/Emx1/Dbx1/Ascl1/Foxc2/Foxf1/Hoxb9/Mdfi/Cyp26a1/Tbx5/Tcf7l1/Cobl/Tifab/Neurog1/Mapk8/Hoxb8/Tgif1/En1/Sox17/Bmp2/Cyp26b1/Apc/Dlx2/Rfx3/Ttc21b/Gm572/Sfrp1/Pcdh8/Eya1/Gpc3/Gdnf/Wnt7b/Mafb/Hoxd13/Hoxa7/Sp8/Hoxd9/Msx1/Bicc1/Sfrp2/Rnf220/Wnt5a/Mdga2	77
GO:0003002	regionalization	71/1311	452/28832	0.1570796460176991	3.45455404575309	11.479810382200624	5.469572372270065e-20	1.4940136934855684e-16	1.160125087381493e-16	Nkx2-1/Ep300/Traf3ip1/Tdrd7/Smad6/Msx2/Vax2/Dll1/Irx2/Gsc/Gpr161/Foxa2/Bmpr1b/Myf5/Tbx2/Barx1/Dnaaf11/Tdrd6/Gli2/Nrp2/Grem2/Dmrt3/Alx4/Gata5/Hoxd8/Snai1/Aplnr/Pax8/Pax7/Anks6/Tgfbr1/Foxn4/Emx1/Dbx1/Ascl1/Foxc2/Foxf1/Hoxb9/Mdfi/Cyp26a1/Tcf7l1/Cobl/Tifab/Neurog1/Mapk8/Hoxb8/Tgif1/En1/Sox17/Bmp2/Cyp26b1/Apc/Dlx2/Rfx3/Ttc21b/Gm572/Sfrp1/Pcdh8/Gpc3/Gdnf/Wnt7b/Mafb/Hoxd13/Hoxa7/Sp8/Hoxd9/Msx1/Bicc1/Sfrp2/Rnf220/Wnt5a	71
GO:0090596	sensory organ morphogenesis	50/1311	343/28832	0.1457725947521866	3.2058851654424436	8.969958860591323	3.518473325798885e-13	6.407139926279769e-10	4.975244737884038e-10	Tdrd7/Myc/Col5a1/Vax2/Atp6v1b1/Hmx3/Sdk2/Fzd6/Dll1/Gsc/Ptprq/Tenm3/Tbx2/Cryaa/Vegfa/Gli2/Pou4f3/Slc1a1/Bmp7/Pax8/Myo3b/Casp6/Sec24b/Sox2/Foxn4/Cdh23/Kdr/Nectin1/Tifab/Neurog1/Rarb/Fat3/Ripor2/Dscam/Bhlhe23/Cyp26b1/Prkra/Atoh1/Prdm1/Thrb/Abi2/Eya1/Thy1/Mfrp/Mafb/Atp2b2/Ptn/Msx1/Wnt5a/Foxe3	50
GO:0045165	cell fate commitment	44/1311	310/28832	0.14193548387096774	3.121497994635959	8.196578045424772	2.2615465786332968e-11	3.018047922829872e-8	2.343561592147054e-8	Nkx2-1/Ep300/Olig2/Olig1/Onecut2/Neurog2/Dll1/Gsc/Foxa2/Glis1/Tbx2/Tbx4/Gli2/Dmrt3/Gata5/Chrdl1/Sox2/Pax7/Tgfbr1/Foxn4/Dbx1/Ascl1/Foxc2/Tbx5/Kdr/Mitf/Neurog1/Tgfb2/Onecut1/Olig3/Sox17/Bmp2/Cyp26b1/Apc/Dlx2/Atoh1/Prdm1/Sfrp1/Pou4f1/Eya1/Wnt7b/Prdm14/Sfrp2/Wnt5a	44
GO:0048562	embryonic organ morphogenesis	47/1311	348/28832	0.13505747126436782	2.970234181155037	8.070604708292999	2.7622624225058322e-11	3.018047922829872e-8	2.343561592147054e-8	Twist2/Myc/Vax2/Atp6v1b1/Hmx3/Fzd6/Dll1/Gsc/Myf5/Ptprq/Tbx2/Cryaa/Gli2/Pou4f3/Alx4/Aplnr/Bmp7/Pax8/Myo3b/Sec24b/Sox2/Tgfbr1/Foxn4/Cdh23/Foxc2/Foxf1/Hoxb9/Mdfi/Nectin1/Tifab/Neurog1/Tgfb2/Rarb/Hoxb8/Ripor2/Hlx/Sox17/Prkra/Dlx2/Atoh1/Eya1/Mafb/Atp2b2/Hoxa7/Hoxd9/Msx1/Wnt5a	47
GO:0048880	sensory system development	57/1311	485/28832	0.11752577319587629	2.5846705513222767	7.681665618524825	6.35285389879127e-11	5.784273474849451e-8	4.4915791600225995e-8	Traf3ip1/Tdrd7/Twist2/Prss56/Col5a1/Vax2/Cln8/Sdk2/Rhoj/Dll1/Adamts18/Bmpr1b/Crybb3/Myf5/Tenm3/Tbx2/Crybg3/Lama1/Cryaa/Vegfa/Atf6/Slc1a1/Bmp7/Chrdl1/Dcx/Casp6/Sox2/Nphp4/Clic4/Tgfbr1/Foxn4/Phox2b/Ret/Foxc2/Kdr/Mitf/Nectin1/Tgfb2/Frem2/Rarb/Fat3/Dscam/Tgif1/Bhlhe23/Cryge/Apc/Dlx2/Prdm1/Thrb/Pou4f1/Abi2/Tmem135/Thy1/Mfrp/Nhs/Ptn/Foxe3	57
GO:0009953	dorsal/ventral pattern formation	23/1311	100/28832	0.23	5.058245614035088	8.872673343354835	9.581375745799168e-11	7.477579385614408e-8	5.806457782792578e-8	Nkx2-1/Smad6/Vax2/Gsc/Gpr161/Foxa2/Bmpr1b/Gli2/Grem2/Dmrt3/Pax7/Foxn4/Dbx1/Ascl1/Mdfi/Mapk8/Tgif1/En1/Apc/Ttc21b/Sfrp1/Sp8/Rnf220	23
GO:0001654	eye development	55/1311	475/28832	0.11578947368421053	2.5464852061503875	7.417567836518337	2.408812522553181e-10	1.6449178513385035e-7	1.2773045349854368e-7	Traf3ip1/Tdrd7/Twist2/Prss56/Col5a1/Vax2/Cln8/Sdk2/Rhoj/Dll1/Adamts18/Bmpr1b/Crybb3/Myf5/Tenm3/Tbx2/Crybg3/Lama1/Cryaa/Vegfa/Atf6/Slc1a1/Bmp7/Chrdl1/Dcx/Casp6/Sox2/Nphp4/Clic4/Tgfbr1/Foxn4/Ret/Foxc2/Kdr/Mitf/Nectin1/Tgfb2/Frem2/Rarb/Fat3/Dscam/Tgif1/Bhlhe23/Cryge/Apc/Dlx2/Prdm1/Thrb/Abi2/Tmem135/Thy1/Mfrp/Nhs/Ptn/Foxe3	55
GO:0002064	epithelial cell development	38/1311	262/28832	0.1450381679389313	3.189733377586016	7.771160120834671	2.7424266994299183e-10	1.6646530065539604e-7	1.29262919283071e-7	Onecut2/Cdk6/Dicer1/Dll1/Cldn3/Hpse/Dact2/Pde2a/Palld/Stc1/Pgr/Hrh2/F2rl1/Cryaa/Vegfa/Tfcp2l1/Dmrt1/Src/Clic4/Foxc2/Kdr/Podxl/Rarb/Onecut1/Cxcr4/Slc9a4/Col18a1/Prdm1/S1pr3/Rfx3/Nkx6-1/Gpat4/Abi2/Adam7/Fndc3a/Flnb/Esr1/Wnt5a	38
GO:0150063	visual system development	55/1311	478/28832	0.11506276150627615	2.530503081425594	7.364446013633462	3.048071540617531e-10	1.6651614826393572e-7	1.2930240324935423e-7	Traf3ip1/Tdrd7/Twist2/Prss56/Col5a1/Vax2/Cln8/Sdk2/Rhoj/Dll1/Adamts18/Bmpr1b/Crybb3/Myf5/Tenm3/Tbx2/Crybg3/Lama1/Cryaa/Vegfa/Atf6/Slc1a1/Bmp7/Chrdl1/Dcx/Casp6/Sox2/Nphp4/Clic4/Tgfbr1/Foxn4/Ret/Foxc2/Kdr/Mitf/Nectin1/Tgfb2/Frem2/Rarb/Fat3/Dscam/Tgif1/Bhlhe23/Cryge/Apc/Dlx2/Prdm1/Thrb/Abi2/Tmem135/Thy1/Mfrp/Nhs/Ptn/Foxe3	55
