loop_type	odds_ratio	ci_low	ci_high	p_value
Active_Enhancer-Active_Enhancer	Inf	0.011663621001764733	Inf	0.9999999999999999
Active_Enhancer-CTCF_Site	Inf	0.039223834607102034	Inf	1
Active_Promoter-Active_Enhancer	0.18139547033877237	0.012951004986827191	10.350939377454196	0.2231144806335589
Active_Promoter-Active_Promoter	Inf	0.011663621001764733	Inf	0.9999999999999999
Active_Promoter-CTCF_Site	Inf	0.011663621001764733	Inf	0.9999999999999999
Active_Promoter-Poised_Enhancer	Inf	0.011663621001764733	Inf	0.9999999999999999
Active_Promoter-Polycomb	Inf	0.0016698588709677447	Inf	1
Bivalent_Promoter-Other	0	0	2.516129088739443	0.060606060606060635
CTCF_Site-CTCF_Site	Inf	0.46140338777790824	Inf	0.21446501336675441
CTCF_Site-Other	Inf	0.21466475324340353	Inf	0.6013416759203969
Poised_Enhancer-CTCF_Site	Inf	0.11545781936098941	Inf	1
Poised_Enhancer-Poised_Enhancer	Inf	0.024944112205140877	Inf	1
Polycomb-CTCF_Site	Inf	0.039223834607102034	Inf	1
Polycomb-Other	Inf	0.024944112205140877	Inf	1
Polycomb-Poised_Enhancer	Inf	0.05394194228585729	Inf	0.9999999999999999
Polycomb-Polycomb	Inf	0.039223834607102034	Inf	1
Repressed_Promoter-Bivalent_Promoter	Inf	0.0016698588709677447	Inf	1
Repressed_Promoter-Other	Inf	0.024944112205140877	Inf	1
Repressed_Promoter-Polycomb	0.4632382574756188	0.08182987780947489	4.848068329990036	0.29893319616929465
Repressed_Promoter-Repressed_Promoter	0.5597284461759189	0.1254853624310449	2.833892730739016	0.46746363975577054
Active_Promoter-Other	Inf	0.0016698588709677447	Inf	1
Bivalent_Promoter-CTCF_Site	Inf	0.0016698588709677447	Inf	1
Other-Other	0	0	0.32399035815083765	0.0033259423503325925
Repressed_Promoter-CTCF_Site	Inf	0.011663621001764733	Inf	0.9999999999999999
Repressed_Promoter-Poised_Enhancer	Inf	0.011663621001764733	Inf	0.9999999999999999
