direction	loop_type_extended	n	pct	filter_label
down_in_mutant	Active_Enhancer-Active_Enhancer	138	0.11625947767481044	All loops
down_in_mutant	Active_Enhancer-CTCF_Site	27	0.02274641954507161	All loops
down_in_mutant	Active_Enhancer-Other	23	0.019376579612468407	All loops
down_in_mutant	Active_Enhancer-Poised_Enhancer	128	0.10783487784330244	All loops
down_in_mutant	Active_Promoter-Active_Enhancer	106	0.08930075821398484	All loops
down_in_mutant	Active_Promoter-Active_Promoter	66	0.05560235888795282	All loops
down_in_mutant	Active_Promoter-Bivalent_Promoter	1	8.424599831508003e-4	All loops
down_in_mutant	Active_Promoter-CTCF_Site	38	0.03201347935973041	All loops
down_in_mutant	Active_Promoter-Other	13	0.010951979780960405	All loops
down_in_mutant	Active_Promoter-Poised_Enhancer	63	0.05307497893850042	All loops
down_in_mutant	Active_Promoter-Polycomb	4	0.003369839932603201	All loops
down_in_mutant	Active_Promoter-Repressed_Promoter	4	0.003369839932603201	All loops
down_in_mutant	Bivalent_Promoter-Active_Enhancer	4	0.003369839932603201	All loops
down_in_mutant	Bivalent_Promoter-CTCF_Site	3	0.002527379949452401	All loops
down_in_mutant	Bivalent_Promoter-Other	2	0.0016849199663016006	All loops
down_in_mutant	Bivalent_Promoter-Poised_Enhancer	5	0.004212299915754001	All loops
down_in_mutant	CTCF_Site-CTCF_Site	99	0.08340353833192923	All loops
down_in_mutant	CTCF_Site-Other	38	0.03201347935973041	All loops
down_in_mutant	Other-Other	10	0.008424599831508003	All loops
down_in_mutant	Poised_Enhancer-CTCF_Site	111	0.09351305812973884	All loops
down_in_mutant	Poised_Enhancer-Other	38	0.03201347935973041	All loops
down_in_mutant	Poised_Enhancer-Poised_Enhancer	59	0.04970513900589722	All loops
down_in_mutant	Polycomb-Active_Enhancer	4	0.003369839932603201	All loops
down_in_mutant	Polycomb-CTCF_Site	28	0.02358887952822241	All loops
down_in_mutant	Polycomb-Other	6	0.005054759898904802	All loops
down_in_mutant	Polycomb-Poised_Enhancer	25	0.02106149957877001	All loops
down_in_mutant	Polycomb-Polycomb	19	0.016006739679865205	All loops
down_in_mutant	Repressed_Promoter-Active_Enhancer	2	0.0016849199663016006	All loops
down_in_mutant	Repressed_Promoter-Bivalent_Promoter	1	8.424599831508003e-4	All loops
down_in_mutant	Repressed_Promoter-CTCF_Site	26	0.02190395956192081	All loops
down_in_mutant	Repressed_Promoter-Other	1	8.424599831508003e-4	All loops
down_in_mutant	Repressed_Promoter-Poised_Enhancer	10	0.008424599831508003	All loops
down_in_mutant	Repressed_Promoter-Polycomb	39	0.03285593934288121	All loops
down_in_mutant	Repressed_Promoter-Repressed_Promoter	46	0.038753159224936815	All loops
up_in_mutant	Active_Enhancer-Active_Enhancer	4	0.0023215322112594312	All loops
up_in_mutant	Active_Enhancer-CTCF_Site	21	0.012188044109112013	All loops
up_in_mutant	Active_Enhancer-Other	4	0.0023215322112594312	All loops
up_in_mutant	Active_Enhancer-Poised_Enhancer	34	0.019733023795705164	All loops
up_in_mutant	Active_Promoter-Active_Enhancer	13	0.0075449796865931515	All loops
up_in_mutant	Active_Promoter-Active_Promoter	12	0.006964596633778294	All loops
up_in_mutant	Active_Promoter-Bivalent_Promoter	2	0.0011607661056297156	All loops
up_in_mutant	Active_Promoter-CTCF_Site	26	0.015089959373186303	All loops
up_in_mutant	Active_Promoter-Other	11	0.006384213580963436	All loops
up_in_mutant	Active_Promoter-Poised_Enhancer	40	0.023215322112594312	All loops
up_in_mutant	Active_Promoter-Polycomb	18	0.01044689495066744	All loops
up_in_mutant	Active_Promoter-Repressed_Promoter	15	0.008705745792222866	All loops
up_in_mutant	Bivalent_Promoter-CTCF_Site	5	0.002901915264074289	All loops
up_in_mutant	Bivalent_Promoter-Other	3	0.0017411491584445734	All loops
up_in_mutant	Bivalent_Promoter-Poised_Enhancer	16	0.009286128845037725	All loops
up_in_mutant	Bivalent_Promoter-Polycomb	7	0.004062681369704005	All loops
up_in_mutant	CTCF_Site-CTCF_Site	239	0.138711549622751	All loops
up_in_mutant	CTCF_Site-Other	90	0.0522344747533372	All loops
up_in_mutant	Other-Other	15	0.008705745792222866	All loops
up_in_mutant	Poised_Enhancer-CTCF_Site	195	0.11317469529889727	All loops
up_in_mutant	Poised_Enhancer-Other	42	0.024376088218224026	All loops
up_in_mutant	Poised_Enhancer-Poised_Enhancer	89	0.05165409170052235	All loops
up_in_mutant	Polycomb-Active_Enhancer	8	0.0046430644225188625	All loops
up_in_mutant	Polycomb-CTCF_Site	162	0.09402205455600697	All loops
up_in_mutant	Polycomb-Other	41	0.02379570516540917	All loops
up_in_mutant	Polycomb-Poised_Enhancer	103	0.05977945443993035	All loops
up_in_mutant	Polycomb-Polycomb	156	0.09053975623911782	All loops
up_in_mutant	Repressed_Promoter-Active_Enhancer	5	0.002901915264074289	All loops
up_in_mutant	Repressed_Promoter-CTCF_Site	105	0.06094022054556007	All loops
up_in_mutant	Repressed_Promoter-Other	25	0.014509576320371444	All loops
up_in_mutant	Repressed_Promoter-Poised_Enhancer	66	0.038305281485780614	All loops
up_in_mutant	Repressed_Promoter-Polycomb	133	0.0771909460243761	All loops
up_in_mutant	Repressed_Promoter-Repressed_Promoter	18	0.01044689495066744	All loops
down_in_mutant	Active_Enhancer-Active_Enhancer	78	0.0824524312896406	≥1 CTCF anchor
down_in_mutant	Active_Enhancer-CTCF_Site	27	0.02854122621564482	≥1 CTCF anchor
down_in_mutant	Active_Enhancer-Other	8	0.008456659619450317	≥1 CTCF anchor
down_in_mutant	Active_Enhancer-Poised_Enhancer	89	0.09408033826638477	≥1 CTCF anchor
down_in_mutant	Active_Promoter-Active_Enhancer	69	0.07293868921775898	≥1 CTCF anchor
down_in_mutant	Active_Promoter-Active_Promoter	56	0.05919661733615222	≥1 CTCF anchor
down_in_mutant	Active_Promoter-Bivalent_Promoter	1	0.0010570824524312897	≥1 CTCF anchor
down_in_mutant	Active_Promoter-CTCF_Site	38	0.040169133192389	≥1 CTCF anchor
down_in_mutant	Active_Promoter-Other	3	0.003171247357293869	≥1 CTCF anchor
down_in_mutant	Active_Promoter-Poised_Enhancer	51	0.05391120507399577	≥1 CTCF anchor
down_in_mutant	Active_Promoter-Polycomb	4	0.004228329809725159	≥1 CTCF anchor
down_in_mutant	Active_Promoter-Repressed_Promoter	3	0.003171247357293869	≥1 CTCF anchor
down_in_mutant	Bivalent_Promoter-Active_Enhancer	3	0.003171247357293869	≥1 CTCF anchor
down_in_mutant	Bivalent_Promoter-CTCF_Site	3	0.003171247357293869	≥1 CTCF anchor
down_in_mutant	Bivalent_Promoter-Other	1	0.0010570824524312897	≥1 CTCF anchor
down_in_mutant	Bivalent_Promoter-Poised_Enhancer	3	0.003171247357293869	≥1 CTCF anchor
down_in_mutant	CTCF_Site-CTCF_Site	99	0.10465116279069768	≥1 CTCF anchor
down_in_mutant	CTCF_Site-Other	38	0.040169133192389	≥1 CTCF anchor
down_in_mutant	Poised_Enhancer-CTCF_Site	111	0.11733615221987315	≥1 CTCF anchor
down_in_mutant	Poised_Enhancer-Other	22	0.023255813953488372	≥1 CTCF anchor
down_in_mutant	Poised_Enhancer-Poised_Enhancer	54	0.05708245243128964	≥1 CTCF anchor
down_in_mutant	Polycomb-Active_Enhancer	4	0.004228329809725159	≥1 CTCF anchor
down_in_mutant	Polycomb-CTCF_Site	28	0.02959830866807611	≥1 CTCF anchor
down_in_mutant	Polycomb-Other	4	0.004228329809725159	≥1 CTCF anchor
down_in_mutant	Polycomb-Poised_Enhancer	23	0.024312896405919663	≥1 CTCF anchor
down_in_mutant	Polycomb-Polycomb	14	0.014799154334038054	≥1 CTCF anchor
down_in_mutant	Repressed_Promoter-Active_Enhancer	2	0.0021141649048625794	≥1 CTCF anchor
down_in_mutant	Repressed_Promoter-Bivalent_Promoter	1	0.0010570824524312897	≥1 CTCF anchor
down_in_mutant	Repressed_Promoter-CTCF_Site	26	0.02748414376321353	≥1 CTCF anchor
down_in_mutant	Repressed_Promoter-Poised_Enhancer	10	0.010570824524312896	≥1 CTCF anchor
down_in_mutant	Repressed_Promoter-Polycomb	32	0.03382663847780127	≥1 CTCF anchor
down_in_mutant	Repressed_Promoter-Repressed_Promoter	41	0.04334038054968287	≥1 CTCF anchor
up_in_mutant	Active_Enhancer-Active_Enhancer	3	0.0018808777429467085	≥1 CTCF anchor
up_in_mutant	Active_Enhancer-CTCF_Site	21	0.013166144200626959	≥1 CTCF anchor
up_in_mutant	Active_Enhancer-Other	4	0.0025078369905956114	≥1 CTCF anchor
up_in_mutant	Active_Enhancer-Poised_Enhancer	28	0.01755485893416928	≥1 CTCF anchor
up_in_mutant	Active_Promoter-Active_Enhancer	9	0.005642633228840125	≥1 CTCF anchor
up_in_mutant	Active_Promoter-Active_Promoter	10	0.006269592476489028	≥1 CTCF anchor
up_in_mutant	Active_Promoter-Bivalent_Promoter	2	0.0012539184952978057	≥1 CTCF anchor
up_in_mutant	Active_Promoter-CTCF_Site	26	0.016300940438871474	≥1 CTCF anchor
up_in_mutant	Active_Promoter-Other	6	0.003761755485893417	≥1 CTCF anchor
up_in_mutant	Active_Promoter-Poised_Enhancer	35	0.0219435736677116	≥1 CTCF anchor
up_in_mutant	Active_Promoter-Polycomb	13	0.008150470219435737	≥1 CTCF anchor
up_in_mutant	Active_Promoter-Repressed_Promoter	14	0.00877742946708464	≥1 CTCF anchor
up_in_mutant	Bivalent_Promoter-CTCF_Site	5	0.003134796238244514	≥1 CTCF anchor
up_in_mutant	Bivalent_Promoter-Other	3	0.0018808777429467085	≥1 CTCF anchor
up_in_mutant	Bivalent_Promoter-Poised_Enhancer	12	0.007523510971786834	≥1 CTCF anchor
up_in_mutant	Bivalent_Promoter-Polycomb	6	0.003761755485893417	≥1 CTCF anchor
up_in_mutant	CTCF_Site-CTCF_Site	239	0.14984326018808777	≥1 CTCF anchor
up_in_mutant	CTCF_Site-Other	90	0.05642633228840126	≥1 CTCF anchor
up_in_mutant	Poised_Enhancer-CTCF_Site	195	0.12225705329153605	≥1 CTCF anchor
up_in_mutant	Poised_Enhancer-Other	32	0.02006269592476489	≥1 CTCF anchor
up_in_mutant	Poised_Enhancer-Poised_Enhancer	71	0.0445141065830721	≥1 CTCF anchor
up_in_mutant	Polycomb-Active_Enhancer	8	0.005015673981191223	≥1 CTCF anchor
up_in_mutant	Polycomb-CTCF_Site	162	0.10156739811912226	≥1 CTCF anchor
up_in_mutant	Polycomb-Other	31	0.019435736677115987	≥1 CTCF anchor
up_in_mutant	Polycomb-Poised_Enhancer	94	0.05893416927899686	≥1 CTCF anchor
up_in_mutant	Polycomb-Polycomb	143	0.0896551724137931	≥1 CTCF anchor
up_in_mutant	Repressed_Promoter-Active_Enhancer	4	0.0025078369905956114	≥1 CTCF anchor
up_in_mutant	Repressed_Promoter-CTCF_Site	105	0.06583072100313479	≥1 CTCF anchor
up_in_mutant	Repressed_Promoter-Other	19	0.011912225705329153	≥1 CTCF anchor
up_in_mutant	Repressed_Promoter-Poised_Enhancer	64	0.04012539184952978	≥1 CTCF anchor
up_in_mutant	Repressed_Promoter-Polycomb	126	0.07899686520376176	≥1 CTCF anchor
up_in_mutant	Repressed_Promoter-Repressed_Promoter	15	0.009404388714733543	≥1 CTCF anchor
