gene_symbol	gene_class	feature_label	n_features	min_distance	median_distance
0610030E20Rik	invariant	ChromHMM_ActiveEnhancer	71	9474	609926
0610030E20Rik	invariant	K27ac_ChIP	39	8460.5	624181
0610030E20Rik	invariant	P60	2	107277	231541.25
1110019D14Rik	DEG_down	ChromHMM_ActiveEnhancer	38	1174	663450
1110019D14Rik	DEG_down	K27ac_ChIP	12	425	532687
1110038B12Rik	invariant	ChromHMM_ActiveEnhancer	6	65829	1184079
1110038B12Rik	invariant	K27ac_ChIP	38	63946	480877
1110038B12Rik	invariant	P60	3	322686	751641.5
1110038F14Rik	invariant	ChromHMM_ActiveEnhancer	32	86294	1121950
1110038F14Rik	invariant	ENCODE	1	861038	861038
1110038F14Rik	invariant	K27ac_ChIP	61	68880.5	856894
1110038F14Rik	invariant	P60	5	427968.5	558118
1110059G10Rik	invariant	ChromHMM_ActiveEnhancer	35	334600	960500
1110059G10Rik	invariant	ENCODE	1	913789	913789
1110059G10Rik	invariant	K27ac_ChIP	39	434305.5	1130681
1110059G10Rik	invariant	P60	3	807110	908872.5
1300002E11Rik	invariant	ChromHMM_ActiveEnhancer	38	58182	884332
1300002E11Rik	invariant	K27ac_ChIP	36	274.5	990996.75
1300002E11Rik	invariant	P60	2	992932	1041793
1500004A13Rik	invariant	ChromHMM_ActiveEnhancer	39	203047	1201647
1500004A13Rik	invariant	ENCODE	1	684271	684271
1500004A13Rik	invariant	K27ac_ChIP	53	762	682211.5
1500004A13Rik	invariant	P60	4	212595	643541.25
1600010M07Rik	invariant	ChromHMM_ActiveEnhancer	32	163598	747450
1600010M07Rik	invariant	K27ac_ChIP	31	28188	931899.5
1600010M07Rik	invariant	P60	1	1114735.5	1114735.5
1700019A02Rik	DEG_down	ChromHMM_ActiveEnhancer	148	23864	928750
1700019A02Rik	DEG_down	K27ac_ChIP	47	37764	1005891
1700025G04Rik	invariant	ChromHMM_ActiveEnhancer	95	8125	885175
1700025G04Rik	invariant	K27ac_ChIP	57	1085	908625.5
1700025G04Rik	invariant	P60	4	3356.5	494965.75
1700026D11Rik	DEG_down	ChromHMM_ActiveEnhancer	53	18766	380834
1700026D11Rik	DEG_down	K27ac_ChIP	34	18968	324217.25
1700026D11Rik	DEG_down	P60	2	21796.5	127946.5
1700034P13Rik	invariant	ChromHMM_ActiveEnhancer	5	49552	98448
1700034P13Rik	invariant	K27ac_ChIP	7	230.5	196097.5
1700063D05Rik	DEG_down	ChromHMM_ActiveEnhancer	22	10546	670496
1700063D05Rik	DEG_down	K27ac_ChIP	44	7122	768994.75
1700063D05Rik	DEG_down	P60	7	421	451572.5
1700069L16Rik	DEG_up	ChromHMM_ActiveEnhancer	22	138128	1176622
1700069L16Rik	DEG_up	ENCODE	1	154752.5	154752.5
1700069L16Rik	DEG_up	K27ac_ChIP	70	594.5	714803.75
1700069L16Rik	DEG_up	P60	9	54844.5	685294.5
1700086O06Rik	invariant	ChromHMM_ActiveEnhancer	131	14335	789435
1700086O06Rik	invariant	K27ac_ChIP	76	620.5	732794.75
1700086O06Rik	invariant	P60	5	53325.5	681486.5
1700109H08Rik	invariant	ChromHMM_ActiveEnhancer	36	48834	912584
1700109H08Rik	invariant	K27ac_ChIP	15	24847.5	914070
1700112J16Rik	DEG_down	ChromHMM_ActiveEnhancer	56	5764	858714
