anchor_type	boundary_class	n	median_log2FC	mean_log2FC
Active_Enhancer	gained	5	-1.14631259487077	-1.110676750664086
Active_Enhancer	lost	32	-0.817405052428527	-0.9126690083562593
Active_Promoter	gained	20	-0.6239698110742751	-0.39341971239087853
Active_Promoter	lost	67	-0.701138176260292	-0.7498275248405113
Bivalent_Promoter	gained	8	0.818919119714648	0.8265641809701645
Bivalent_Promoter	lost	6	-1.17455174299519	-0.28481956685352
Other	gained	85	0.63679243406607	0.3261992233441276
Other	lost	60	-0.57188405451215	-0.564252635469022
Poised_Enhancer	gained	38	0.016829807842435485	0.1605719788101566
Poised_Enhancer	lost	41	-0.618208637112793	-0.6319676525790686
Polycomb	gained	33	0.567854658774411	0.6932119165226164
Polycomb	lost	6	0.5433219425088325	0.6050607114473259
Repressed_Promoter	gained	38	0.613527630642218	0.7752896110301983
Repressed_Promoter	lost	18	-0.4637495979665795	0.04253634521022124
