gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score
0610009E02Rik	-0.333899	0.416098	77.816098	FALSE	-0.069572	-0.106707	3	0	0	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	-0.4685159427419435	-0.08463934459593114
0610030E20Rik	-0.004591	0.989496	223.23571	FALSE	0.131822	0.063139	15	2	1	TRUE	Control	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	-0.20309545318072192	0.18078114496529046
0610040J01Rik	-0.410215	0.080169	142.972051	FALSE	0.029388	0.024599	12	3	3	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.6398517974010299	-1.2559751992550177
0610043K17Rik	0.271408	0.585818	41.93564	FALSE	0.101162	-0.04619	13	1	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.3338230388826826	-0.9499464407366702
1110002E22Rik	-0.041783	0.982414	6.030834	FALSE	-0.44004	-0.98772	11	4	4	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	1.1110792046759945	0.4949558028220069
1110002J07Rik	0.156335	0.945376	2.732645	FALSE	-0.227702	-0.111744	11	4	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	0.2057160574880319	-0.4104073443659557
1110004F10Rik	0.122802	0.530699	338.735746	FALSE	-2.73e-4	0.453186	7	5	2	FALSE	NA	NA	NA	NA	NA	NA	FALSE	FALSE	0	0	-0.26792424068364157	-0.3481991611703461	-0.7639918384223146	-1.3801152402763022
1110018N20Rik	0.920083	0.148889	7.40112	FALSE	0.523258	1.198916	11	3	1	FALSE	NA	1	0	1	0.403551848107034	0.403551848107034	TRUE	TRUE	2	0	0.9044788099717969	2.313793747793759	1.4659026954439582	4.6841752532095136
1110019D14Rik	-0.622608	7e-5	157.279584	TRUE	0.070498	-0.119015	8	4	1	FALSE	NA	5	5	0	0.443589692460237	-0.3597895482894942	TRUE	TRUE	2	0	5.594091012593551	2.57789973134551	-0.46456767971650265	7.707423064222558
1110038B12Rik	-0.052412	0.959898	16.839645	FALSE	0.093309	-0.10553	12	1	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.3673065265055625	-0.9834299283595501
1110038F14Rik	-0.090599	0.896425	39.25877	FALSE	0.285009	0.307588	5	3	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	0.4500606678540549	-0.1660627339999327
1110059E24Rik	-0.289425	5.6e-4	354.643936	FALSE	-0.453273	-0.423372	5	2	2	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	1.1675018446497076	1.55137844279572
1110059G10Rik	0.001786	0.998044	56.811989	FALSE	-0.080771	-0.126243	9	1	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.4207658373187127	-1.0368892391727003
1110065P20Rik	-0.329356	0.756357	8.799343	FALSE	-0.066874	0.051742	6	0	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.4800196291810789	-1.0961430310350666
1300002E11Rik	-0.006516	0.985649	375.11011	FALSE	-0.158507	-0.219587	5	0	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.08931640476399579	-0.7054398066179834
1500004A13Rik	0.030705	0.943211	188.076355	FALSE	0.148267	0.693168	7	2	0	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.13297754232394612	-0.7491009441779337
1500009L16Rik	0.304749	0.125404	78.783842	FALSE	0.161537	0.419595	11	3	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.07639714238053401	-0.6925205442345216
1500012K07Rik	-1.099014	0.063366	9.304954	FALSE	0.114453	-1.744084	8	1	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.2771530994970088	-0.8932765013509965
1600012H06Rik	0.204943	0.582742	46.357459	FALSE	-0.417166	-0.00128	7	3	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	1.0135494331382695	0.3974260312842819
1600014C10Rik	0.46774	0.338925	14.20423	FALSE	0.128135	-1.222209	7	2	4	TRUE	Control	3	3	0	0.400090888165631	-0.3683431714503043	TRUE	TRUE	3	1	3.249284911282674	2.290963841635629	-0.21881602097208294	6.321432731946219
1700001J03Rik	0.147465	0.934194	4.588423	FALSE	-0.463556	-0.426298	6	3	1	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	1.2113463248771463	0.5952229230231587
1700001K19Rik	-0.279436	0.457765	46.982215	FALSE	-0.073481	-0.094035	10	0	2	FALSE	NA	NA	NA	NA	NA	NA	TRUE	FALSE	1	0	-0.26792424068364157	-0.3481991611703461	-0.4518488151323882	-1.067972216986376
