name	degree	betweenness	closeness
Ccnh	6	0	1
Nfib	3	2.369949046095509e-5	1
Col15a1	3	0	1
Kcnd2	1	0	1
Ankrd37	0	0	NA
Igf2bp3	1	0	1
Cln8	5	1.5799660307303392e-5	1
Gm28703	4	0	1
Kcnma1	0	0	NA
Rit2	4	0	1
Tgfbr1	3	0	1
Spry2	0	0	NA
Fat3	0	0	NA
Csmd1	4	7.899830153651696e-6	1
Wwc1	3	0	0.75
Gm14061	0	0	NA
Gm31409	3	0	1
Ebf3	0	0	NA
Cobl	0	0	NA
Adam12	2	0	1
Gap43	2	0	1
Syt1	1	0	1
Cttn	0	0	NA
Mpdz	2	0	0.6666666666666666
Tmem161b	5	0	1
Angpt1	0	0	NA
Nckap5	1	0	1
Trim36	2	0	1
Cntnap2	2	0	1
Zmynd11	2	0	1
Gm28401	2	0	1
Dhx32	2	0	1
Tmem132b	0	0	NA
Nkain3	2	0	1
Ggh	2	0	1
Tigit	2	0	1
Epha5	1	0	1
Plxna2	0	0	NA
Svep1	0	0	NA
Tpk1	2	0	1
Gm15663	0	0	NA
Onecut2	0	0	NA
Grik4	0	0	NA
Cdh8	0	0	NA
Rsrc1	3	1.1849745230477545e-4	0.8
Myc	0	0	NA
Kcnn2	2	0	1
Stxbp5l	0	0	NA
Khdrbs3	0	0	NA
Dlgap2	3	0	0.75
Fam133b	3	0	1
Nav3	1	0	1
Vps13a	2	0	1
Cenpc1	1	0	1
Gsdme	1	0	1
Nrg3	3	0	1
Etv1	1	0	0.6666666666666666
Grid1	2	0	1
Dipk2a	0	0	NA
Cnr1	2	0	1
Shb	2	0	1
Csmd3	0	0	NA
Ndst3	0	0	NA
Ostf1	2	0	1
Zfp462	0	0	NA
1700112J16Rik	1	0	0.6666666666666666
Elfn1	0	0	NA
Prkn	0	0	NA
Chrm3	2	0	1
Zfpm2	0	0	NA
Smarcad1	1	0	1
Bmp5	0	0	NA
Mecom	1	0	0.5
Adgrl3	0	0	NA
Kif16b	0	0	NA
Upp2	0	0	NA
Meis1	2	0	1
Epha7	0	0	NA
Stk39	0	0	NA
9330158H04Rik	0	0	NA
Dcun1d4	2	4.739898092191018e-5	0.75
Slitrk3	1	0	0.5
Mef2c	5	0	1
Srek1ip1	0	0	NA
Pard3b	3	4.739898092191018e-5	0.75
Oxr1	0	0	NA
Plekhf1	0	0	NA
Pax3	0	0	NA
Tenm4	3	2.369949046095509e-5	1
Rngtt	2	0	1
Skor1	0	0	NA
Lyn	0	0	NA
Tbx15	2	7.109847138286527e-5	0.6666666666666666
Prickle1	0	0	NA
Myt1l	0	0	NA
Lrrc40	0	0	NA
Khdrbs2	0	0	NA
Sh2d4b	3	0	1
Tmem117	0	0	NA
Klhl25	0	0	NA
Ptchd4	0	0	NA
Rack1	0	0	NA
Rbfox1	0	0	NA
Cdk6	3	0	1
Cetn3	4	0	1
Irx2	0	0	NA
Shisal1	1	0	1
Tenm2	3	0	0.75
Nrp2	2	0	0.5
Gm45159	1	0	0.6666666666666666
Serpinb8	2	0	1
Cdr1	1	0	1
Ptprm	1	0	1
Zic4	3	0	1
A230001M10Rik	1	0	0.4444444444444444
Stim2	1	0	0.6666666666666666
Syt4	3	0	1
Sulf2	0	0	NA
Ptgis	0	0	NA
Ctnna3	1	0	1
Wdr27	1	0	1
Cdh7	2	0	1
Idh1	2	4.739898092191018e-5	0.75
Slco4a1	0	0	NA
Kbtbd11	2	0	0.75
Pik3c3	3	0	1
Npm1	1	0	0.6
Nars2	2	0	0.6666666666666666
Fam81b	0	0	NA
Astn2	0	0	NA
H1f5	0	0	NA
Dgkb	2	2.369949046095509e-5	1
Gm29683	2	2.369949046095509e-5	1
Slc25a51	2	0	1
Bdnf	0	0	NA
Gfra1	2	0	1
Fgfr1	0	0	NA
Ntf3	0	0	NA
Adgra3	1	0	0.6666666666666666
Atp8a1	1	0	0.5
Srgap1	0	0	NA
Syt17	0	0	NA
Tox3	0	0	NA
Ppp2r5c	0	0	NA
Atrnl1	2	0	1
Dicer1	0	0	NA
Dll1	1	0	1
Mocs1	0	0	NA
Fstl4	0	0	NA
Iqsec3	0	0	NA
Add2	0	0	NA
Adgrb1	0	0	NA
Adgrb3	0	0	NA
Adgrl2	1	0	1
Adgrl4	1	0	1
