loop_id	sample	group	center_value	background_mean	enrichment
1	ctrl_M1	ctrl	13.0592365264893	13.0592365264893	1
1	ctrl_M2	ctrl	7.40404319763184	7.40404319763184	1
1	ctrl_M3	ctrl	11.1298408508301	11.1298408508301	1
1	mut_M1	mut	13.0140199661255	13.0140199661255	1
1	mut_M2	mut	12.1714162826538	12.1714162826538	1
1	mut_M3	mut	11.3027648925781	11.3027648925781	1
2	ctrl_M1	ctrl	14.8725957870483	14.8725957870483	1
2	ctrl_M2	ctrl	11.7609262466431	11.7609262466431	1
2	ctrl_M3	ctrl	6.83238458633423	6.83238458633423	1
2	mut_M1	mut	9.60270881652832	9.60270881652832	1
2	mut_M2	mut	17.67751121521	17.67751121521	1
2	mut_M3	mut	15.0491142272949	15.0491142272949	1
3	ctrl_M1	ctrl	17.209997177124	17.209997177124	1
3	ctrl_M2	ctrl	13.548623085022	13.548623085022	1
3	ctrl_M3	ctrl	17.4486598968506	17.4486598968506	1
3	mut_M1	mut	14.5954294204712	14.5954294204712	1
3	mut_M2	mut	17.0510425567627	17.0510425567627	1
3	mut_M3	mut	16.9338722229004	16.9338722229004	1
4	ctrl_M1	ctrl	14.7131853103638	14.7131853103638	1
4	ctrl_M2	ctrl	8.10852909088135	8.10852909088135	1
4	ctrl_M3	ctrl	9.68024444580078	9.68024444580078	1
4	mut_M1	mut	14.5730571746826	14.5730571746826	1
4	mut_M2	mut	11.2505979537964	11.2505979537964	1
4	mut_M3	mut	4.7887659072876	4.7887659072876	1
5	ctrl_M1	ctrl	4.73813199996948	4.73813199996948	1
5	ctrl_M2	ctrl	0.978758454322815	0.978758454322815	1
5	ctrl_M3	ctrl	3.55847811698914	3.55847811698914	1
5	mut_M1	mut	3.01537156105042	3.01537156105042	1
5	mut_M2	mut	1.84402453899384	1.84402453899384	1
5	mut_M3	mut	1.7593754529953	1.7593754529953	1
6	ctrl_M1	ctrl	5.88957023620605	5.88957023620605	1
6	ctrl_M2	ctrl	3.35134601593018	3.35134601593018	1
6	ctrl_M3	ctrl	0.502066493034363	0.502066493034363	1
6	mut_M1	mut	4.60928821563721	4.60928821563721	1
6	mut_M2	mut	2.36316204071045	2.36316204071045	1
6	mut_M3	mut	5.03641510009766	5.03641510009766	1
7	ctrl_M1	ctrl	19.77707862854	19.77707862854	1
7	ctrl_M2	ctrl	17.6935615539551	17.6935615539551	1
