loop_id	shift_detected	ctrl_peak_row	ctrl_peak_col	mut_peak_row	mut_peak_col	ctrl_centered	mut_centered
loop_1	FALSE	5	1	5	1	FALSE	FALSE
loop_2	FALSE	2	3	2	3	FALSE	FALSE
loop_3	FALSE	5	1	5	1	FALSE	FALSE
loop_4	FALSE	5	1	5	1	FALSE	FALSE
loop_5	FALSE	5	1	5	1	FALSE	FALSE
loop_6	FALSE	5	1	5	1	FALSE	FALSE
loop_7	FALSE	5	3	5	3	FALSE	FALSE
loop_8	FALSE	3	3	3	3	TRUE	TRUE
loop_9	FALSE	4	3	4	3	FALSE	FALSE
loop_10	FALSE	4	3	4	3	FALSE	FALSE
loop_11	FALSE	4	1	4	1	FALSE	FALSE
loop_12	TRUE	3	3	2	3	TRUE	FALSE
loop_13	FALSE	5	1	5	1	FALSE	FALSE
loop_14	TRUE	3	3	1	2	TRUE	FALSE
loop_15	FALSE	4	3	4	3	FALSE	FALSE
loop_16	FALSE	3	3	3	3	TRUE	TRUE
loop_17	TRUE	2	2	2	1	FALSE	FALSE
loop_18	TRUE	3	1	3	2	FALSE	FALSE
loop_19	FALSE	4	3	4	3	FALSE	FALSE
loop_20	TRUE	3	3	2	5	TRUE	FALSE
loop_21	FALSE	4	3	4	3	FALSE	FALSE
loop_22	FALSE	2	3	2	3	FALSE	FALSE
loop_23	TRUE	3	3	4	3	TRUE	FALSE
loop_24	TRUE	3	3	3	2	TRUE	FALSE
loop_25	FALSE	3	4	3	4	FALSE	FALSE
loop_26	FALSE	2	3	2	3	FALSE	FALSE
loop_27	FALSE	3	4	3	4	FALSE	FALSE
loop_28	FALSE	4	3	4	3	FALSE	FALSE
loop_29	TRUE	3	3	4	3	TRUE	FALSE
loop_30	FALSE	4	3	4	3	FALSE	FALSE
loop_31	FALSE	3	3	3	3	TRUE	TRUE
loop_32	TRUE	4	2	3	3	FALSE	TRUE
loop_33	FALSE	3	3	3	3	TRUE	TRUE
loop_34	TRUE	5	3	3	4	FALSE	FALSE
loop_35	TRUE	3	3	3	1	TRUE	FALSE
loop_36	FALSE	2	3	2	3	FALSE	FALSE
loop_37	TRUE	3	3	4	4	TRUE	FALSE
loop_38	TRUE	3	3	4	1	TRUE	FALSE
loop_39	FALSE	3	5	3	5	FALSE	FALSE
loop_40	TRUE	3	3	3	2	TRUE	FALSE
loop_41	TRUE	4	2	3	2	FALSE	FALSE
loop_42	TRUE	3	3	3	1	TRUE	FALSE
loop_43	TRUE	3	3	3	4	TRUE	FALSE
loop_44	FALSE	3	3	3	3	TRUE	TRUE
loop_45	FALSE	3	3	3	3	TRUE	TRUE
loop_46	TRUE	3	2	3	1	FALSE	FALSE
loop_47	FALSE	5	1	5	1	FALSE	FALSE
loop_48	TRUE	3	1	3	2	FALSE	FALSE
loop_49	FALSE	3	3	3	3	TRUE	TRUE
loop_50	TRUE	2	3	1	3	FALSE	FALSE
loop_51	TRUE	3	3	4	3	TRUE	FALSE
loop_52	FALSE	5	3	5	3	FALSE	FALSE
loop_53	TRUE	3	3	2	2	TRUE	FALSE
loop_54	FALSE	3	3	3	3	TRUE	TRUE
loop_55	FALSE	3	3	3	3	TRUE	TRUE
loop_56	TRUE	3	3	4	2	TRUE	FALSE
loop_57	FALSE	3	3	3	3	TRUE	TRUE
loop_58	TRUE	4	3	3	3	FALSE	TRUE
loop_59	TRUE	4	3	3	3	FALSE	TRUE
loop_60	TRUE	3	3	3	2	TRUE	FALSE
loop_61	TRUE	3	4	3	3	FALSE	TRUE
loop_62	TRUE	3	3	4	3	TRUE	FALSE
loop_63	FALSE	4	1	4	1	FALSE	FALSE
loop_64	FALSE	3	3	3	3	TRUE	TRUE
loop_65	TRUE	3	3	5	3	TRUE	FALSE
loop_66	FALSE	5	1	5	1	FALSE	FALSE
loop_67	FALSE	5	1	5	1	FALSE	FALSE
loop_68	FALSE	3	3	3	3	TRUE	TRUE
loop_69	TRUE	2	4	3	4	FALSE	FALSE
loop_70	FALSE	3	3	3	3	TRUE	TRUE
loop_71	FALSE	3	2	3	2	FALSE	FALSE
loop_72	FALSE	4	3	4	3	FALSE	FALSE
loop_73	FALSE	5	3	5	3	FALSE	FALSE
loop_74	TRUE	3	3	3	2	TRUE	FALSE
loop_75	FALSE	5	3	5	3	FALSE	FALSE
loop_76	TRUE	3	3	3	2	TRUE	FALSE
loop_77	TRUE	3	3	4	3	TRUE	FALSE
loop_78	FALSE	3	3	3	3	TRUE	TRUE
loop_79	TRUE	3	3	3	4	TRUE	FALSE
loop_80	FALSE	3	4	3	4	FALSE	FALSE
loop_81	FALSE	3	4	3	4	FALSE	FALSE
loop_82	TRUE	3	3	4	3	TRUE	FALSE
loop_83	FALSE	3	2	3	2	FALSE	FALSE
loop_84	FALSE	3	4	3	4	FALSE	FALSE
loop_85	TRUE	3	3	3	2	TRUE	FALSE
loop_86	TRUE	5	1	4	2	FALSE	FALSE
loop_87	FALSE	4	3	4	3	FALSE	FALSE
loop_88	FALSE	3	3	3	3	TRUE	TRUE
loop_89	TRUE	3	3	5	3	TRUE	FALSE
loop_90	FALSE	3	3	3	3	TRUE	TRUE
loop_91	TRUE	3	1	3	2	FALSE	FALSE
loop_92	TRUE	3	3	1	3	TRUE	FALSE
loop_93	FALSE	3	4	3	4	FALSE	FALSE
loop_94	FALSE	3	3	3	3	TRUE	TRUE
loop_95	TRUE	4	2	5	1	FALSE	FALSE
loop_96	FALSE	3	4	3	4	FALSE	FALSE
loop_97	FALSE	3	3	3	3	TRUE	TRUE
loop_98	FALSE	3	3	3	3	TRUE	TRUE
loop_99	TRUE	3	1	4	1	FALSE	FALSE
loop_100	TRUE	3	3	3	2	TRUE	FALSE
loop_101	TRUE	3	3	5	2	TRUE	FALSE
loop_102	FALSE	4	3	4	3	FALSE	FALSE
loop_103	FALSE	3	1	3	1	FALSE	FALSE
loop_104	FALSE	3	3	3	3	TRUE	TRUE
loop_105	TRUE	4	1	4	3	FALSE	FALSE
loop_106	TRUE	1	3	3	3	FALSE	TRUE
loop_107	TRUE	3	3	5	1	TRUE	FALSE
loop_108	TRUE	3	2	3	1	FALSE	FALSE
loop_109	TRUE	3	3	3	5	TRUE	FALSE
loop_110	TRUE	2	3	3	3	FALSE	TRUE
