	ctrl_M1	ctrl_M2	ctrl_M3	mut_M1	mut_M2	mut_M3
loop_1	558.996520996094	379.621125221252	369.630414962769	405.91242980957	479.623704910278	432.906257629395
loop_2	355.43971323967	295.259796857834	276.078472614288	358.85001707077	379.788201808929	377.370717525482
loop_3	381.098719120026	313.112954616547	310.219519138336	353.489371299744	365.363117218018	347.324863910675
loop_4	349.543878078461	249.544292926788	253.181437969208	265.927830696106	287.068591594696	267.987707614899
loop_5	328.493464946747	224.313319683075	226.101019382477	234.474404573441	264.069034099579	251.763948917389
loop_6	311.622688293457	186.906537771225	187.239387989044	186.951471805573	202.074450731277	193.538269519806
loop_7	468.913125514984	295.728391647339	311.39839553833	304.092275619507	324.100982189178	328.354996681213
loop_8	533.063672065735	373.076093673706	347.316583633423	374.868921279907	478.305302619934	441.996199131012
loop_9	229.593468427658	169.908574938774	175.137642383575	184.053466558456	174.780164480209	173.852663993835
loop_10	497.843334197998	320.678867340088	304.452725887299	366.075790405273	415.543822288513	383.048944473267
loop_11	335.119499206543	243.909815073013	234.501711606979	228.423316001892	240.813854217529	238.730280160904
loop_12	230.315186738968	187.960679531097	185.623946905136	211.211323976517	233.726944446564	235.30748462677
loop_13	423.889078140259	299.693930149078	294.139720439911	323.398299694061	368.278573036194	322.946834087372
loop_14	207.092391014099	147.23953127861	163.508049964905	157.365367650986	164.835558414459	156.79759645462
loop_15	206.095765590668	141.872930288315	139.936554193497	121.319485425949	140.920762896538	151.695551633835
loop_16	210.03382396698	139.480847835541	128.453080892563	152.374811887741	146.706223011017	163.577245950699
loop_17	324.978873252869	201.101973295212	209.205045223236	237.228323459625	281.289717912674	267.572791099548
loop_18	255.527547597885	225.798224925995	231.117911815643	280.591645240784	335.496577739716	290.411620378494
loop_19	299.837858200073	238.390673160553	230.523114442825	246.515384674072	304.177790641785	248.943266391754
loop_20	231.686006069183	185.439145565033	189.371146917343	198.403002500534	220.33877158165	195.114240169525
loop_21	361.894849300385	230.305428266525	251.936826467514	258.342078208923	276.599895238876	268.05387878418
loop_22	306.020114421844	268.25726556778	256.211561203003	247.867522001266	285.715177536011	284.232486724854
loop_23	162.714993596077	134.650771975517	128.712617516518	135.132216095924	144.530173897743	157.272693872452
loop_24	145.350695610046	108.594759225845	123.620101928711	120.78927385807	121.790910124779	126.675025224686
loop_25	136.107754468918	95.3131781816483	94.6992062330246	99.950254201889	123.411762177944	110.753258526325
loop_26	140.624599814415	133.130023241043	140.452865839005	141.007145881653	126.443958878517	145.023812353611
loop_27	212.424299716949	179.714028477669	150.287490367889	227.916674852371	292.94754242897	244.68097949028
loop_28	134.103970766068	101.563013195992	115.991895437241	122.126062273979	151.749764800072	133.071302354336
loop_29	204.038851499557	186.880797147751	185.171584963799	217.396189928055	196.73851776123	182.19338786602
loop_30	122.013917803764	94.3570945262909	87.2142105102539	124.520029783249	106.083629250526	105.444900512695
loop_31	193.248844742775	157.859577417374	177.314479589462	230.845549583435	222.802634000778	211.144222259521
loop_32	120.485715866089	85.7927030324936	118.111811637878	131.299271523952	365.945471763611	87.5551868677139
loop_33	150.566536307335	128.472949504852	128.835115909576	144.831682324409	173.401207566261	137.5263453722
loop_34	105.730797529221	78.9823546111584	80.8049201965332	71.5495662093163	76.3868798017502	75.5699265003204
loop_35	83.1675171256065	74.5807486772537	66.7979124188423	37.5356257855892	51.8448835611343	49.908244073391
loop_36	60.7617864608765	51.7423551976681	54.7795525789261	39.2288043498993	49.1341290473938	56.4472244977951
loop_37	131.253993868828	87.1222151517868	90.7182386517525	102.528879880905	119.461027383804	107.474884212017
loop_38	106.09399330616	87.9584348201752	91.9186847805977	82.5650468468666	99.4534093141556	87.4336714148521
loop_39	86.8760942816734	86.1853399276733	77.5730088949203	78.9066246151924	83.9847530126572	78.9664993286133
loop_40	67.6495692133904	63.7393153905869	57.7007196545601	63.701949596405	63.4334859251976	80.1935868561268
loop_41	82.0000904798508	94.3957257270813	82.2322646379471	108.618845701218	109.000326275826	112.618747115135
loop_42	37.6461609601974	27.1121933162212	23.5239419341087	23.4035102128983	24.5463216900826	16.5634476542473
loop_43	241.854363679886	175.594932079315	176.560502767563	211.795408725739	213.389020442963	219.52465057373
loop_44	230.474498033524	161.478472948074	138.331342458725	184.179160833359	185.735724449158	188.906792402267
loop_45	211.481764316559	150.389121472836	152.986815810204	172.880858898163	186.755802631378	194.166197061539
loop_46	250.34184885025	168.274911880493	186.705856084824	174.679344177246	203.494081497192	189.880677700043
loop_47	341.459828853607	252.989866733551	267.796534061432	282.666615962982	332.260130882263	320.282479286194
loop_48	322.592127799988	226.474876403809	240.587980508804	241.509570598602	315.786950111389	270.753504991531
loop_49	144.042207956314	92.8626515865326	93.9631526470184	105.043898940086	109.662072777748	123.984779834747
loop_50	170.531374692917	125.138583898544	127.93138551712	133.445430278778	156.378725886345	144.490263223648
loop_51	150.894298791885	99.0240786075592	111.534770727158	109.175259947777	121.008418798447	122.28945299983
loop_52	191.302803754807	143.454458594322	126.473249316216	148.015256524086	170.808646202087	155.453835606575
loop_53	170.247264146805	108.286041617393	118.543066501617	128.508226633072	134.143773674965	138.170490264893
loop_54	176.600675582886	149.568864107132	124.450156450272	138.377553582191	186.260137200356	192.866754055023
loop_55	120.618358135223	74.4298709630966	85.5402077436447	82.0785639286041	82.7623664140701	88.555676817894
loop_56	132.824663877487	70.6513157486916	84.1837812662125	113.463471412659	127.204379558563	115.602476477623
loop_57	97.8124413490295	83.273720741272	83.9571217894554	76.7204203605652	73.3369710445404	84.890802025795
loop_58	108.117275357246	63.4404276609421	66.9991633892059	62.1197242736816	71.3476957082748	77.5878243744373
loop_59	78.9919288754463	53.7725909054279	59.6033365130424	64.0613375902176	67.2333753108978	69.3754001557827
loop_60	73.980061352253	38.0757367610931	56.7428864836693	51.5223290920258	59.3435928821564	58.5644461214542
loop_61	74.2964302301407	54.9932703971863	50.1784275472164	68.0637043714523	66.2672491669655	68.2433481216431
loop_62	120.737918257713	76.5191295146942	81.4147689938545	91.8477128744125	108.785535335541	94.4416542053223
loop_63	113.116346418858	77.6126382350922	86.3880211114883	95.931233048439	99.6387153863907	87.4214038848877
loop_64	83.72791659832	70.5842885971069	83.8976526856422	99.4921629428864	74.4171522855759	72.9342046380043
loop_65	169.956392765045	128.238145232201	165.52741754055	142.704734683037	144.027432322502	176.226661682129
loop_66	33.2663470208645	29.3231977820396	32.6968444883823	38.7346949875355	40.1367284059525	33.1206112504005
loop_67	71.602038025856	44.0615538954735	58.5979011058807	49.2448091804981	54.2957315444946	47.3784626424313
loop_68	38.8328555524349	23.0038861036301	37.9681428074837	30.637000143528	36.2320838868618	32.498149484396
loop_69	776.861884117126	566.184669494629	570.752999305725	621.900094032288	707.385248184204	640.229293823242
loop_70	397.592233181	293.180438995361	303.028779983521	318.952281951904	364.094162940979	350.363951683044
loop_71	298.773245334625	241.295793294907	237.3294672966	282.444447040558	300.462255954742	326.211729049683
loop_72	354.437820911407	271.358153820038	275.309534788132	331.254148960114	352.220386981964	339.966499328613
loop_73	455.908299922943	370.743899345398	360.486749649048	366.131967544556	417.83097076416	387.846076965332
loop_74	486.014991760254	356.65091586113	342.764993667603	416.237402439117	525.4985704422	419.799165248871
loop_75	623.833657264709	451.894618034363	462.292498588562	518.096497535706	544.074031829834	501.374745368958
loop_76	359.200921535492	282.868713140488	286.396369934082	311.483780860901	316.627762317657	340.329546451569
loop_77	432.955260753632	424.76127243042	415.051042079926	463.625199794769	554.835529327393	470.151847839355
loop_78	462.748334884644	308.42129278183	323.573487281799	326.338622093201	342.74608039856	370.791929244995
loop_79	355.200244903564	304.507367134094	287.157272815704	328.614964962006	343.55838394165	315.147749423981
loop_80	274.653705120087	247.074657440186	254.84081029892	251.877830266953	283.802046298981	263.55303645134
loop_81	229.316414356232	165.934088945389	174.92357301712	189.17814207077	183.696619272232	185.860102653503
loop_82	317.425478935242	259.555140972137	275.395236492157	320.571220397949	338.658643722534	290.159695625305
loop_83	394.778207778931	308.773285388947	338.331351280212	357.983102798462	422.558829307556	361.749409198761
loop_84	249.558221101761	178.78889632225	216.226643323898	293.790144443512	238.800010681152	238.931045293808
loop_85	385.838475704193	294.31637263298	294.866502285004	354.641056060791	349.857016086578	362.081243991852
loop_86	312.62727689743	230.427134037018	209.931479930878	218.420241832733	283.0825715065	274.468990564346
loop_87	351.043781757355	323.194379806519	297.816789627075	273.700571060181	354.299154281616	315.955673217773
loop_88	309.459011554718	237.477336883545	264.247683048248	275.416173934937	280.647902488708	289.148104667664
loop_89	154.548611164093	125.260927200317	122.999990463257	133.493304014206	138.34863448143	126.163586854935
loop_90	248.243046998978	202.852391004562	171.56876707077	228.928641557693	216.444338798523	221.432328224182
loop_91	305.767949104309	252.593814373016	242.607102394104	246.541393399239	349.823699951172	310.337245464325
loop_92	172.004753112793	144.474259853363	138.39198577404	164.624381542206	180.255778312683	183.598645329475
loop_93	169.455338001251	126.976110696793	115.166188716888	134.909753441811	125.771840333939	148.87601351738
loop_94	160.856528520584	145.948498010635	151.618847131729	128.246886014938	160.578141689301	124.556279420853
loop_95	134.603538036346	95.0437512397766	110.786623716354	114.857266664505	136.627252817154	128.129891395569
loop_96	127.523397088051	117.705234408379	116.840243220329	139.975793838501	135.68831372261	130.082800745964
loop_97	181.53516304493	177.530041694641	180.372088491917	225.376499414444	211.988429546356	195.98012137413
loop_98	246.472550630569	189.196838855743	212.058677315712	218.319478034973	236.58983874321	218.299556493759
loop_99	126.933244585991	100.221639037132	102.374664664268	103.988161444664	123.600276529789	119.29903280735
loop_100	165.304312229156	120.590875387192	133.243287920952	128.767597436905	125.37975871563	152.389258146286
loop_101	119.561469197273	136.878253281116	184.07597720623	146.763111591339	130.58629155159	113.217082381248
loop_102	208.675503253937	184.448165416718	191.433281898499	209.976578474045	215.211725831032	204.4096326828
loop_103	163.714482784271	165.807490468025	173.043095111847	170.6171220541	183.45801448822	161.854438900948
loop_104	111.518399953842	97.7417410612106	105.800175309181	89.6343947649002	109.662515640259	98.8003163337708
loop_105	140.290673017502	179.347745299339	129.508586168289	194.498121738434	196.577180743217	152.221329689026
loop_106	86.251776099205	51.8191907405853	46.0781694054604	45.6178142130375	46.3717179298401	34.7888332605362
loop_107	70.7974461317062	61.7045753002167	61.1915490627289	56.313094586134	64.9472585916519	63.4242800474167
loop_108	151.921880364418	117.78388440609	123.961318850517	132.917623758316	131.826630353928	110.939817726612
loop_109	936.15950012207	751.019871711731	724.243895530701	967.76535987854	1012.97248077393	762.070453643799
loop_110	156.897640109062	141.494819402695	151.711759805679	154.608743071556	167.856845617294	119.622519493103
loop_111	118.438388228416	119.484389960766	122.329432487488	130.424813508987	109.697621703148	104.038088023663
loop_112	61.536781668663	31.9462032914162	46.1388975977898	40.5119708180428	37.7177732586861	41.9657522439957
loop_113	771.963924407959	559.098466873169	600.926115036011	637.638320922852	754.814720153809	684.190006256104
loop_114	465.472153663635	441.015159606934	417.075509548187	489.65146446228	502.643667221069	487.042676925659
loop_115	482.627885818481	362.97857427597	385.69314289093	400.573909759521	418.800901412964	428.105107307434
loop_116	345.426723241806	284.006078720093	266.900809049606	308.015161514282	346.939210891724	328.871753692627
loop_117	564.528384208679	410.154529571533	388.356538295746	451.863706588745	539.99754524231	480.208779335022
