direction	loop_type	count	direction_label	total	percentage
down_in_mutant	Active_Enhancer-Active_Enhancer	169	Down	1187	14.2375737152485
down_in_mutant	Active_Enhancer-Other	38	Down	1187	3.20134793597304
down_in_mutant	Active_Enhancer-Poised_Enhancer	107	Down	1187	9.01432181971356
down_in_mutant	Other-Other	239	Down	1187	20.1347935973041
down_in_mutant	Poised_Enhancer-Other	207	Down	1187	17.4389216512216
down_in_mutant	Poised_Enhancer-Poised_Enhancer	80	Down	1187	6.7396798652064
down_in_mutant	Promoter-Active_Enhancer	132	Down	1187	11.1204717775906
down_in_mutant	Promoter-Other	71	Down	1187	5.98146588037068
down_in_mutant	Promoter-Poised_Enhancer	76	Down	1187	6.40269587194608
down_in_mutant	Promoter-Promoter	68	Down	1187	5.72872788542544
up_in_mutant	Active_Enhancer-Active_Enhancer	6	Up	1723	0.348229831688915
up_in_mutant	Active_Enhancer-Other	34	Up	1723	1.97330237957052
up_in_mutant	Active_Enhancer-Poised_Enhancer	49	Up	1723	2.8438769587928
up_in_mutant	Other-Other	705	Up	1723	40.9170052234475
up_in_mutant	Poised_Enhancer-Other	558	Up	1723	32.3853743470691
up_in_mutant	Poised_Enhancer-Poised_Enhancer	188	Up	1723	10.9112013929193
up_in_mutant	Promoter-Active_Enhancer	13	Up	1723	0.754497968659315
up_in_mutant	Promoter-Other	74	Up	1723	4.29483459082995
up_in_mutant	Promoter-Poised_Enhancer	86	Up	1723	4.99129425420778
up_in_mutant	Promoter-Promoter	10	Up	1723	0.580383052814858
