"file","n_peaks","peak_width_mean","peak_width_median","max_peak_width","min_peak_width"
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_37_Bap1_Math1_ctrl1_H3K36me3_S14_L003_aligned_reads_treat_subtracted.bed",23201,1337.84875651912,1155,15682,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_38_Bap1_Math1_mut1_H3K36me3_S15_L003_aligned_reads_treat_subtracted.bed",22897,1611.96309560204,1347,19541,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_39_Bap1_Math1_ctrl2_H3K36me3_S16_L003_aligned_reads_treat_subtracted.bed",20784,1321.83169745958,1142,15926,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_40_Bap1_Math1_mut2_H3K36me3_S17_L003_aligned_reads_treat_subtracted.bed",19942,2075.44589308996,1722,22035,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_41_Bap1_Math1_ctrl3_H3K36me3_S18_L003_aligned_reads_treat_subtracted.bed",20443,1508.41911656802,1264,15785,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_42_Bap1_Math1_mut3_H3K36me3_S19_L003_aligned_reads_treat_subtracted.bed",19341,1650.97089085363,1380,19596,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_43_Bap1_Math1_ctrl4_H3K36me3_S20_L003_aligned_reads_treat_subtracted.bed",23243,1164.7955943725,996,10394,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_44_Bap1_Math1_mut4_H3K36me3_S21_L003_aligned_reads_treat_subtracted.bed",21751,1419.1884511057,1206,15909,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_45_Bap1_Math1_ctrl5_H3K36me3_S22_L003_aligned_reads_treat_subtracted.bed",23443,1467.51170925223,1247,19544,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_46_Bap1_Math1_mut5_H3K36me3_S23_L003_aligned_reads_treat_subtracted.bed",20807,1682.98476474263,1399,19049,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_47_Bap1_Math1_ctrl6_H3K36me3_S24_L003_aligned_reads_treat_subtracted.bed",18220,1437.89270032931,1245,15880,1
"/data/rs_256/workdir/blklist_subtract/subtracted_bedfiles/260221_index_48_Bap1_Math1_mut6_H3K36me3_S25_L003_aligned_reads_treat_subtracted.bed",20098,1143.48298338143,985,10542,1
