loop_type	count	percentage
Repressed_Promoter-Repressed_Promoter	46	27.8787878787879
CTCF_Site-CTCF_Site	28	16.969696969697
Repressed_Promoter-Polycomb	18	10.9090909090909
CTCF_Site-Other	15	9.09090909090909
Poised_Enhancer_Distal-CTCF_Site	8	4.84848484848485
Polycomb-Poised_Enhancer_Distal	5	3.03030303030303
Active_Enhancer_Distal-CTCF_Site	4	2.42424242424242
Active_Promoter-Active_Enhancer_Distal	4	2.42424242424242
Polycomb-CTCF_Site	4	2.42424242424242
Polycomb-Polycomb	4	2.42424242424242
Poised_Enhancer_Distal-Poised_Enhancer_Distal	3	1.81818181818182
Polycomb-Other	3	1.81818181818182
Repressed_Promoter-Other	3	1.81818181818182
Active_Enhancer_Distal-Active_Enhancer_Distal	2	1.21212121212121
Active_Promoter-Active_Promoter	2	1.21212121212121
Active_Promoter-CTCF_Site	2	1.21212121212121
Other-Other	2	1.21212121212121
Repressed_Promoter-CTCF_Site	2	1.21212121212121
Repressed_Promoter-Poised_Enhancer_Distal	2	1.21212121212121
Active_Promoter-Other	1	0.606060606060606
Active_Promoter-Poised_Enhancer_Distal	1	0.606060606060606
Active_Promoter-Poised_Enhancer_Proximal	1	0.606060606060606
Active_Promoter-Polycomb	1	0.606060606060606
Bivalent_Promoter-CTCF_Site	1	0.606060606060606
Bivalent_Promoter-Other	1	0.606060606060606
Poised_Enhancer_Proximal-CTCF_Site	1	0.606060606060606
Repressed_Promoter-Bivalent_Promoter	1	0.606060606060606
