gene_id	direction	symbol
11430	lost	Acox1
14027	lost	Evpl
14428	lost	Galr2
15223	lost	Foxj1
217333	lost	Trim47
217335	lost	Fbf1
217337	lost	Srp68
217340	lost	Rnf157
22378	lost	Wbp2
338364	lost	Trim65
53413	lost	Exoc7
60441	lost	Mrpl38
69535	lost	Ten1
69681	lost	Cdk3
70450	lost	Unc13d
328479	lost	Gm5089
68059	lost	Tm9sf2
68245	lost	1700108J01Rik
69634	lost	Clybl
18189	lost	Nrxn1
100042132	lost	Gm12371
100124457	lost	Mir873a
100124458	lost	Mir876
102465229	lost	Mir873b
102636890	lost	Gm12374
102636968	lost	Gm12381
242384	lost	Lingo2
434019	lost	Gm5570
101631	lost	Pwwp2b
26757	lost	Dpysl4
57740	lost	Stk32c
74004	lost	Jakmip3
76612	lost	Lrrc27
100041890	lost	Defa32
100041895	lost	Defa37
665927	lost	Defa42
68009	lost	Defa20
12876	lost	Cpe
66234	lost	Msmo1
77113	lost	Klhl2
19258	gained	Ptpn4
226351	gained	Tmem185b
226352	gained	Epb41l5
320069	gained	3830432H09Rik
628709	gained	Zfp997
218397	gained	Rasa1
320919	gained	A230107N01Rik
66671	gained	Ccnh
72745	gained	Tmem161b
22313	gained	Vmn2r104
321020	gained	Fpr-rs6
12722	gained	Clca3a1
229927	gained	Clca3b
229933	gained	Clca2
23844	gained	Clca1
52184	gained	Odf2l
54673	gained	Sh3glb1
622139	gained	Clca4c-ps
71355	gained	Col24a1
80797	gained	Clca3a2
99663	gained	Clca4a
99709	gained	Clca4b
102465637	gained	Mir7052
102466796	gained	Mir7053
16504	gained	Kcnc3
16541	gained	Napsa
18971	gained	Pold1
22260	gained	Nr1h2
233199	gained	Mybpc2
243963	gained	Zfp473
272381	gained	Lrrc4b
272382	gained	Spib
66124	gained	Josd2
68352	gained	Aspdh
69578	gained	2310016G11Rik
69683	gained	Emc10
71368	gained	5430431A17Rik
71960	gained	Myh14
75510	gained	Izumo2
75538	gained	Garin5a
209387	gained	Trim30d
258809	gained	Or52h9
259050	gained	Or52h7
625321	gained	Trim30e-ps1
100040599	gained	Potefam3a
547150	gained	6820431F20Rik
330767	gained	1190028D05Rik
