gene_id	direction	symbol
260315	lost	Nav3
102631730	lost	4930512M02Rik
268379	lost	Abca13
319922	lost	Vwc2
53604	lost	Zpbp
73862	lost	Spmip7
224224	lost	Impg2
271377	lost	Zbtb11
52575	lost	Trmt10c
66315	lost	Senp7
66391	lost	Zbtb11os1
68193	lost	Rpl24
74201	lost	Cep97
76302	lost	Pcnp
74409	lost	Hyal6
77042	lost	Hyal4
14115	lost	Fbln2
232232	lost	Hdac11
54563	lost	Nup210
108150	lost	Galnt7
78353	lost	2500002B13Rik
97165	lost	Hmgb2
102502	lost	Pls1
22063	lost	Trpc1
67958	lost	U2surp
75552	lost	Paqr9
76477	lost	Pcolce2
77531	gained	Anks1b
664619	gained	4921533I20Rik
102465114	gained	Mir3084-2
107358	gained	Tm9sf3
83490	gained	Pik3ap1
14601	gained	Ghrh
20014	gained	Rpn2
20779	gained	Src
629499	gained	Mroh8
69161	gained	Manbal
