ctrl_M1	ctrl_M2	ctrl_M3	mut_M1	mut_M2	mut_M3
stripe_0001	2797	2583	2594	2810	3129	2914
stripe_0002	2260	2040	2030	2274	2654	2378
stripe_0003	2762	2293	2365	2599	3052	2665
stripe_0004	3308	2913	2966	3208	3600	3314
stripe_0005	2386	2083	2156	2366	2726	2326
stripe_0006	4462	3945	4005	4496	5067	4461
stripe_0007	4779	4232	4240	4619	5207	4840
stripe_0008	2415	2178	2170	2482	2675	2528
stripe_0009	3355	2886	2862	3271	3707	3357
stripe_0010	1755	1489	1556	1755	2021	1819
stripe_0011	2259	2046	2069	2312	2587	2278
stripe_0012	3690	3197	3266	3492	3963	3686
stripe_0013	2523	2221	2223	2373	2741	2455
stripe_0014	2709	2265	2432	2567	2873	2701
stripe_0015	2516	2275	2229	2490	2744	2550
stripe_0016	3119	2827	2822	3078	3409	3170
stripe_0017	3917	3401	3464	3711	4086	3740
stripe_0018	2413	2173	2090	2397	2545	2372
stripe_0019	2270	1952	1958	2271	2501	2303
stripe_0020	3750	3125	3228	3478	4011	3588
stripe_0021	4881	4242	4324	4612	5145	4675
stripe_0022	3639	3137	3268	3536	3780	3543
stripe_0023	3976	3372	3418	3595	4126	3692
stripe_0024	3341	2873	2971	3138	3529	3148
stripe_0025	2864	2440	2402	2620	2933	2656
stripe_0026	2988	2719	2697	2988	3400	3000
stripe_0027	3754	3312	3307	3693	4316	3742
stripe_0028	4130	3576	3486	3728	4433	3787
stripe_0029	2559	2224	2205	2387	2719	2439
stripe_0030	3334	2843	2792	3079	3488	3193
stripe_0031	1763	1529	1518	1657	1957	1671
stripe_0032	4520	3943	3857	4407	5035	4481
stripe_0033	3623	3047	3158	3459	3974	3558
stripe_0034	3357	2982	2961	3184	3616	3227
stripe_0035	3767	3246	3296	3581	4020	3705
stripe_0036	5035	4388	4500	4794	5396	4987
stripe_0037	5061	4308	4330	4686	5266	4859
stripe_0038	2935	2612	2624	2868	3125	2969
stripe_0039	3738	3241	3380	3636	4060	3709
stripe_0040	2002	1728	1764	2006	2353	2008
stripe_0041	3780	3217	3381	3529	3957	3689
stripe_0042	3159	2807	2916	3157	3361	3096
stripe_0043	4233	3553	3715	3966	4410	4085
stripe_0044	4037	3514	3502	3885	4301	3893
stripe_0045	3543	2984	3075	3284	3842	3374
stripe_0046	4477	3820	3774	4264	4689	4223
stripe_0047	4382	3740	3683	4187	4596	4138
stripe_0048	3689	3357	3377	3856	4264	3865
stripe_0049	2954	2681	2577	2931	3404	3031
stripe_0050	3655	3145	3298	3627	4014	3639
stripe_0051	3507	3043	3089	3392	3830	3409
stripe_0052	1990	1788	1731	1908	2122	1906
stripe_0053	2687	2344	2268	2528	2795	2506
stripe_0054	2650	2294	2360	2392	2739	2492
stripe_0055	2222	1874	1868	2169	2465	2174
stripe_0056	3520	2885	2980	3173	3561	3144
stripe_0057	3799	3240	3327	3485	3916	3662
stripe_0058	2679	2274	2372	2416	2839	2551
stripe_0059	2723	2310	2301	2518	2894	2626
stripe_0060	2216	2029	1969	2211	2363	2285
stripe_0061	2873	2469	2436	2630	2976	2827
stripe_0062	2807	2406	2448	2799	3176	2924
stripe_0063	2893	2574	2336	2622	3039	2751
stripe_0064	3217	2866	2928	3137	3579	3276
stripe_0065	5376	4658	4752	5070	5826	5273
stripe_0066	4977	4324	4397	4971	5501	5198
stripe_0067	3804	3363	3360	3935	4477	3956
stripe_0068	2826	2438	2476	2898	3298	2891
stripe_0069	3215	2838	2899	3185	3490	3179
stripe_0070	2391	1977	2052	2100	2349	2152
stripe_0071	3868	3359	3505	3743	4070	3694
stripe_0072	4166	3629	3689	4124	4520	4233
stripe_0073	4109	3687	3695	4095	4515	4219
stripe_0074	3801	3395	3481	3549	3989	3757
stripe_0075	5268	4703	4793	4967	5487	5146
stripe_0076	3890	3330	3584	3867	4150	3851
